,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_PANCREAS_BETA_CELLS,0.09151521237071995,0.7162492512850548,1.4666660272886853,0.009127789046653144,PDX1;GCK;NKX2-2;PCSK2;SCGN;NEUROD1;DPP4;SYT13;FOXO1;ELP4;ABCC8;HNF1A;SEC11A;SLC2A2;NEUROG3;NKX6-1;SST;SRPRB;PAX4;CHGA;ISL1;PCSK1;SRP14,6.97%,PDX1;GCK;NKX2-2;PCSK2;SCGN,5/23
1,HALLMARK_FATTY_ACID_METABOLISM,0.5702480168691637,0.5287797620315294,1.1610441207602218,0.058,BLVRA;INMT;CA2;TP53INP2;ACSS1;DECR1;NBN;YWHAH;CBR1;CBR3;HSD17B7;ALDH9A1;CD1D;LGALS1;ECH1;GAPDHS;FMO1;PRDX6;S100A10;ACADL;REEP6;SUCLA2;HSPH1;MLYCD;SDHD;FH;PTS;ACADS;CYP1A1;ACAA2;ENO2;ADIPOR2;PDHB;PTPRG;DHCR24;UROD;CPT2;VNN1;IDI1;GABARAPL1;ME1;DLD;MDH2;SUCLG2;SERINC1;ACAT2;MDH1;SUCLG1;RETSAT;FABP1;ODC1;ELOVL5;UROS;ECHS1;PCBD1;UGDH;RDH16;AUH;HSDL2;ALAD;GPD1;GRHPR;TDO2;METAP1;HADH;ACSL1;OSTC;ACOT2;DLST;HSD17B11;BMPR1B;CA6;AOC3;CA4;FASN;HSP90AA1;RDH11;CPOX;CEL;NTHL1;LTC4S;HSD17B4;SLC22A5;ACO2;MIF,10.37%,BLVRA;INMT;CA2;TP53INP2;ACSS1;DECR1;NBN;YWHAH;CBR1;CBR3;HSD17B7;ALDH9A1;CD1D;LGALS1,14/85
2,HALLMARK_MYC_TARGETS_V1,0.5830694081026325,0.5036478172080604,1.1018910608198713,0.139,PPIA;PSMA2;AIMP2;PABPC1;MYC;PSMA7;CYC1;EIF2S2;MCM5;EIF3D;RANBP1;STARD7;FBL;RPL18;RUVBL2;SNRPA;DDX18;PSMD8;HSPE1;MCM6;PSMD14;UBA2;ILF2;PSMD1;TUFM;SSBP1;CUL1;MRPS18B;RPS10;LSM2;LSM7;SF3B3;PSMD7;PRPF31;PSMA1;COPS5;CLNS1A;RPS3;SRPK1;MRPL23;RRM1;COX5A;SNRPA1;PSMA6;HDAC2;CCT5;RRP9;SMARCC1;IMPDH2;CDC20;PSMB2;SNRPD1;RAN;HDDC2;PWP1;PSMC6;CCT2;RPS6;XPO1;CCT4;SNRPG;YWHAQ;HSP90AB1;ODC1;GLO1;NOLC1;DDX21;DHX15;HNRNPA3;PTGES3;FAM120A;RAD23B;TRA2B;PA2G4;CDK4;CAD;GOT2;EXOSC7;CCNA2;MAD2L1;TYMS;RPL22;SRM;PSMB3;PSMD3;KPNB1;ERH;EIF2S1;MCM2;SET;VDAC1;ETF1;RSL1D1;NDUFAB1;AP3S1;SNRPD3;XRCC6;NOP16;EIF3J;C1QBP,38.90%,PPIA;PSMA2;AIMP2;PABPC1;MYC;PSMA7;CYC1;EIF2S2;MCM5;EIF3D;RANBP1;STARD7;FBL;RPL18;RUVBL2;SNRPA;DDX18;PSMD8;HSPE1;MCM6;PSMD14;UBA2;ILF2;PSMD1;TUFM;SSBP1;CUL1;MRPS18B;RPS10;LSM2;LSM7;SF3B3;PSMD7;PRPF31;PSMA1;COPS5;CLNS1A;RPS3;SRPK1;MRPL23;RRM1,41/100
3,HALLMARK_DNA_REPAIR,0.6091788834220304,0.5095212698371484,1.1032321884734888,0.184,POLR1D;RPA3;RALA;RRM2B;ADA;MRPL40;POLR2F;DGCR8;LIG1;ERCC3;ELL;GTF2F1;POLR3C;POLR3GL;POLR2D;TK2;NUDT21;POLR2E;ERCC5;CSTF3;POLR2C;SAC3D1;RFC3;DDB2;DDB1;SSRP1;STX3;POLR2G;POLD1;POLA2;SNAPC4;EDF1;TAF10;TSG101;POLD3;TMED2;GTF2H3;VPS37B;SNAPC5;RAD52;IMPDH2;SF3A3;RPA2;CDA;GTF2H5;PNP;REV3L;VPS37D;GTF2A2;POLR2H;POLE4;CMPK2;POLH;POLL;PRIM1;AAAS;NPR2;EIF1B;TAF13;GTF2B;TYMS;SUPT4H1;NT5C;COX17;HCLS1;SEC61A1;SURF1;AK1;CCNO;ARL6IP1;ERCC4;NME3;RBX1;BRF2;POLB;RNMT;POLR2A,36.85%,POLR1D;RPA3;RALA;RRM2B;ADA;MRPL40;POLR2F;DGCR8;LIG1;ERCC3;ELL;GTF2F1;POLR3C;POLR3GL;POLR2D;TK2;NUDT21;POLR2E;ERCC5;CSTF3;POLR2C;SAC3D1;RFC3;DDB2;DDB1;SSRP1;STX3;POLR2G;POLD1;POLA2;SNAPC4;EDF1;TAF10;TSG101,34/77
4,HALLMARK_PROTEIN_SECRETION,0.6306904462140931,0.5194315057386473,1.116978878252889,0.23493975903614459,YKT6;EGFR;ARFGEF2;RAB22A;SOD1;NAPA;SEC22B;VAMP4;VPS45;CLN5;RAB2A;TSG101;ARFGEF1;CTSC;TMED2;STAM;STX12;STX7;DST;TMX1;ADAM10;BET1;SH3GL2;IGF2R;ATP6V1B1;TSPAN8;BNIP3;GBF1;USO1;ABCA1;MON2;GOLGA4;SEC24D;TMED10;VAMP3;KIF1B;TOM1L1;CLTC;RAB14;AP3B1;SCAMP1;SNX2;AP3S1;VPS4B;LMAN1;NAPG,3.51%,YKT6;EGFR;ARFGEF2;RAB22A,4/46
5,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.6386384175117984,0.5465080197464012,1.162326501529886,0.125250501002004,IL6;IL7;PTPN1;HMOX1;CSF2RB;IL10RB;IFNAR1;IFNGR2;IL17RA;TGFB1;IL1R1;TYK2;ITGA4;STAM2;IL18R1;IL4R;TNF;EBI3;CBL;PTPN11;A2M;TNFRSF1A;LTBR;CD9;SOCS3;OSMR;IL17RB;MAP3K8;IL2RA;IRF9;IFNGR1;REG1A;TNFRSF21;PIM1;CXCL13;CXCL1;PF4;CXCL9;CXCL3;CD38;STAT2;INHBE;SOCS1;MYD88;PDGFC;TLR2;TNFRSF1B;CCL7;ITGB3;TNFRSF12A;CSF2;IRF1;IL1B,30.47%,IL6;IL7;PTPN1;HMOX1;CSF2RB;IL10RB;IFNAR1;IFNGR2;IL17RA;TGFB1;IL1R1;TYK2;ITGA4;STAM2;IL18R1;IL4R;TNF;EBI3,18/53
6,HALLMARK_APICAL_JUNCTION,0.6415905211366603,0.5032686457492761,1.1042513810955576,0.159,EGFR;SKAP2;FSCN1;ACTB;TNFRSF11B;CDH4;MMP9;JAM3;MYH9;YWHAH;ADAMTS5;RAC2;AKT2;ACTN4;VASP;ATP1A3;SYMPK;ICAM5;ICAM1;GTF2F1;NRTN;THBS3;ITGA10;ADAM23;SPEG;CX3CL1;CDH11;MVD;TAOK2;EXOC4;MMP2;STX4;PARVA;CDH15;CDK8;PBX2;AMH;CDH1;CDH3;INPPL1;LAYN;MAP4K2;RRAS;ACTN2;ACTN3;ACTA1;THY1;RHOF;VWF;CDH6;PTEN;GNAI2;NEGR1;LDLRAP1;COL9A1;SDC3;COL16A1;PPP2R2C;CLDN11;CLDN15;GNAI1;ACTG2;MAPK13;COL17A1;SLIT2;SLC30A3;PIK3CB;CLDN18;CDH8;ITGA9;B4GALT1;AMIGO1;HADH;WASL;NEXN;KRT31;WNK4;TUBG1;CD86;TRAF1;ITGA2;CERCAM;CTNNA1;TGFBI;ADRA1B;EVL;PCDH1;ACTG1;ACTC1;BMP1;SORBS3;PFN1;CLDN7;FBN1;MYH10;NLGN2,35.24%,EGFR;SKAP2;FSCN1;ACTB;TNFRSF11B;CDH4;MMP9;JAM3;MYH9;YWHAH;ADAMTS5;RAC2;AKT2;ACTN4;VASP;ATP1A3;SYMPK;ICAM5;ICAM1;GTF2F1;NRTN;THBS3;ITGA10;ADAM23;SPEG;CX3CL1;CDH11;MVD;TAOK2;EXOC4;MMP2;STX4;PARVA;CDH15;CDK8;PBX2;AMH;CDH1;CDH3;INPPL1;LAYN;MAP4K2;RRAS;ACTN2;ACTN3;ACTA1,46/96
7,HALLMARK_ALLOGRAFT_REJECTION,0.6556950162332229,0.5103528991564484,1.12030304034651,0.084,INHBA;EGFR;IL6;IL7;MMP9;LY86;HLA-G;HLA-A;RIPK2;IL11;EIF3D;IFNGR2;CD1D;IL2RB;LIF;ZAP70;IL10;RPS19;BCL3;TGFB1;INHBB;IL18RAP;IL27RA;STAT4;ACVR2A;ICAM1;LY75;CD2;CTSS;CD28;CCL22;ELANE;IL4R;HLA-E;TNF;HLA-DRA;HLA-DOB;TAP1;HLA-DMA;HLA-DOA;HLA-DMB;ETS1;IRF8;PSMB10;CD3E;RPS9;PRKCG;TRAF2;CD3G;F2;CRTAM;THY1;IL16;GALNT1;PTPN6;CD4;CCND2;STAB1;EIF4G3;IL2RA;GZMB;UBE2N;IL12A;IFNG;IFNGR1;CAPG;BCAT1;EIF3A;SRGN;UBE2D1;TLR6;TLR1;CXCL13;PF4;CXCL9;EREG;KRT1;NCK1;SOCS1;SIT1;CCL19;JAK2;TLR2;RPS3A;GLMN;TLR3;GBP2;BCL10;IL2;GPR65;CCL2;CCL7;CCL11;CCL5;NOS2;CD7;MRPL3;CD80;TRAT1;CD86;HCLS1;GZMA;CARTPT;IL9;ITK;LCP2;IL12B;RPL3L;ST8SIA4;IL13;F2R;IL1B;EIF3J;B2M;IKBKB,38.62%,INHBA;EGFR;IL6;IL7;MMP9;LY86;HLA-G;HLA-A;RIPK2;IL11;EIF3D;IFNGR2;CD1D;IL2RB;LIF;ZAP70;IL10;RPS19;BCL3;TGFB1;INHBB;IL18RAP;IL27RA;STAT4;ACVR2A;ICAM1;LY75;CD2;CTSS;CD28;CCL22;ELANE;IL4R;HLA-E;TNF;HLA-DRA;HLA-DOB;TAP1;HLA-DMA;HLA-DOA;HLA-DMB;ETS1;IRF8;PSMB10;CD3E;RPS9;PRKCG;TRAF2;CD3G;F2;CRTAM;THY1,52/115
8,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.657645821552576,0.5027204127102387,1.0815094850858036,0.309,FKBP14;SSR1;TUBB2A;EXOSC4;ATF6;LSM4;CALR;KHSRP;CEBPG;DNAJC3;CNOT4;EEF2;EDC4;ATP6V0D1;SLC7A5;DDX10;YIF1A;SEC11A;RRP9;DCP1A;KIF5B;HSP90B1;NFYB;NOP14;CNOT2;DNAJB9;EIF2AK3;ERN1;ZBTB17;NOLC1;EXOSC1;BAG3;IFIT1;DDIT4;SDAD1;EIF4A2;PREB;PDIA6;SRPRB;TATDN2;EDEM1;SPCS3;CCL2;WIPI1;EIF2S1;EXOSC2;HSPA5;HSPA9;DCP2;STC2;CNOT6;EIF4A3;EIF4EBP1,34.95%,FKBP14;SSR1;TUBB2A;EXOSC4;ATF6;LSM4;CALR;KHSRP;CEBPG;DNAJC3;CNOT4;EEF2;EDC4;ATP6V0D1;SLC7A5;DDX10;YIF1A,17/53
9,HALLMARK_KRAS_SIGNALING_UP,0.665502560498042,0.5181638933166096,1.1329758630330937,0.068,IKZF1;INHBA;AVL9;TSPAN13;TRIB1;CA2;MMP9;SLPI;F13A1;BMP2;KCNN4;PCP4;FCER1G;PTGS2;LIF;AKT2;CFH;CFHR2;PIGR;PPP1R15A;WDR33;IL1RL2;MALL;CXCR4;SCN1B;KIF5C;RGS16;RABGAP1L;CTSS;PLVAP;ITGBL1;SPRY2;FGF9;USP12;CDADC1;LCP1;ETS1;CFB;IRF8;ANO1;RBM4;SDCCAG8;SPON1;LY96;CBL;MMP10;ALDH1A3;C3AR1;CCND2;ANKH;IL7R;NRP1;FUCA1;LAPTM5;YRDC;TSPAN1;NR0B2;EMP1;NR1H4;PDCD1LG2;IL33;AKAP12;PRDM1;ZNF639;ABCB1;ARG1;MAP7;TNFAIP3;STRN;ID2;ADAM17;PTPRR;DNMBP;RBP4;HKDC1;PRKG2;PPBP;EREG;BTC;GALNT3;HOXD11;GADD45G;KLF4;ETV5;APOD;MYCN;WNT7A;CBR4;ZNF277;EVI5;PTBP2;CPE;NGF;SERPINA3;TNFRSF1B;MMD;SOX9;ACE;CBX8;PLEK2;DCBLD2;TRAF1;ITGA2;MAP3K1;DOCK2;GPRC5B;PTCD2;CSF2;F2RL1;GFPT2;HBEGF;MMP11;FLT4;IL1B;MTMR10;EPB41L3,32.31%,IKZF1;INHBA;AVL9;TSPAN13;TRIB1;CA2;MMP9;SLPI;F13A1;BMP2;KCNN4;PCP4;FCER1G;PTGS2;LIF;AKT2;CFH;CFHR2;PIGR;PPP1R15A;WDR33;IL1RL2;MALL;CXCR4;SCN1B;KIF5C;RGS16;RABGAP1L;CTSS;PLVAP;ITGBL1;SPRY2;FGF9;USP12;CDADC1;LCP1;ETS1;CFB;IRF8;ANO1;RBM4,41/116
