,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_GLYCOLYSIS,0.21301278076684602,0.4954515684588817,1.2668188755356296,0.001,FKBP4;FBP2;TXN;ALDOB;SPAG4;ARPP19;CLN6;ENO2;GLCE;MPI;COL5A1;EGLN3;HSPA5;GNE;ISG20;SRD5A3;NDST3;SAP30;PGM2;PYGB;NANP;MIF;GAL3ST1;BIK;CHPF2;PAXIP1;DLD;B4GALT7;STC2;HOMER1;GNPDA1;MDH2;TPST1;GUSB;EGFR;PPIA;PGAM2;ALG1;PMM2;B4GALT1;CHST12;GYS2;GOT2;TGFBI;KIF20A;NOL3;ALDH7A1;CHST6;CHST2;B3GNT3;PGLS;FAM162A;GAPDHS;TALDO1;CHST1;B3GAT3;CAPN5;TFF3;SOD1;ALDH9A1;EFNA3;LHX9;PPFIA4;EXT1;ZNF292;SDC2;STMN1;IRS2;PFKP;SDC3;RRAGD;ME1;NT5E;MDH1;GFPT1;HK2;GCLC;DPYSL4;DDIT4;PGAM1;GOT1;MXI1;IER3;GPC1;CXCR4;LCT;STC1;SLC35A3;PLOD1;ENO1;CHPF;ABCB6;GALK1;SOX9;XYLT2;ADORA2B;MERTK;SLC25A10,36.85%,FKBP4;FBP2;TXN;ALDOB;SPAG4;ARPP19;CLN6;ENO2;GLCE;MPI;COL5A1;EGLN3;HSPA5;GNE;ISG20;SRD5A3;NDST3;SAP30;PGM2;PYGB;NANP;MIF;GAL3ST1;BIK;CHPF2;PAXIP1;DLD;B4GALT7;STC2;HOMER1;GNPDA1;MDH2;TPST1;GUSB;EGFR;PPIA;PGAM2;ALG1;PMM2;B4GALT1;CHST12;GYS2;GOT2;TGFBI;KIF20A;NOL3;ALDH7A1;CHST6,48/98
1,HALLMARK_ANGIOGENESIS,0.30783665201730287,0.4990919742162249,1.1476563741423693,0.164,OLR1;CCND2;SERPINA5;PF4;CXCL6;JAG1;MSX1;LRPAP1;LUM;KCNJ8;SLCO2A1;PGLYRP1;FSTL1;PRG2;NRP1;TNFRSF21;COL3A1;COL5A2;STC1;APOH;VTN;LPL,30.63%,OLR1;CCND2;SERPINA5;PF4;CXCL6;JAG1;MSX1;LRPAP1;LUM;KCNJ8,10/22
2,HALLMARK_HEDGEHOG_SIGNALING,0.3150189011340681,0.5470882165204302,1.223026247130961,0.09528585757271815,TLE1;NKX6-1;UNC5C;CRMP1;MYH9;CELSR1;SHH;RTN1;ETS2;THY1;NRP1;HEY2;SLIT1;LDB1;SCG2;DPYSL2;CDK5R1,19.91%,TLE1;NKX6-1;UNC5C;CRMP1;MYH9;CELSR1;SHH,7/17
3,HALLMARK_PANCREAS_BETA_CELLS,0.32001920115206905,0.5005379567238227,1.1515070275869965,0.143,SRP14;CHGA;HNF1A;SEC11A;NKX6-1;ISL1;PCSK2;NKX2-2;PAX4;PCSK1;GCK;SRPRB;SLC2A2;SST;ELP4;ABCC8;SYT13;PDX1;FOXO1;NEUROG3;NEUROD1;DPP4;SCGN,26.77%,SRP14;CHGA;HNF1A;SEC11A;NKX6-1;ISL1;PCSK2;NKX2-2;PAX4;PCSK1;GCK,11/23
4,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.352021121267276,0.5602538008273343,1.2768773771559858,0.033,CCND2;NOTCH1;JAG1;CUL1;MAML1;GNAI1;WNT1;NKD1;NCSTN;MYC;HDAC2;DKK4;DKK1;HEY2;DLL1;ADAM17;NOTCH4;WNT6;AXIN2;KAT2A;DVL2,35.56%,CCND2;NOTCH1;JAG1;CUL1;MAML1;GNAI1;WNT1;NKD1,8/21
5,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3544657123871877,0.4668377258225497,1.1517606079318292,0.076,A2M;CD9;TNFRSF1A;LTBR;PTPN11;PF4;CXCL1;CXCL3;CXCL13;CXCL9;TLR2;PDGFC;OSMR;CD38;CSF2RB;PTPN1;IL17RA;HMOX1;TNFRSF12A;SOCS1;IL4R;IL6;STAT2;INHBE;IRF9;IRF1;CSF2;TYK2;MYD88;EBI3;TGFB1;IL17RB;IL10RB;IFNGR2;CBL;IFNAR1;SOCS3;IL7;MAP3K8;IL2RA;STAM2;IFNGR1;REG1A;TNFRSF21;PIM1;ITGA4;TNF;TNFRSF1B;ITGB3;CCL7;IL1R1;IL18R1;IL1B,36.72%,A2M;CD9;TNFRSF1A;LTBR;PTPN11;PF4;CXCL1;CXCL3;CXCL13;CXCL9;TLR2;PDGFC;OSMR;CD38;CSF2RB;PTPN1;IL17RA;HMOX1;TNFRSF12A;SOCS1;IL4R;IL6;STAT2;INHBE;IRF9;IRF1;CSF2,27/53
6,HALLMARK_FATTY_ACID_METABOLISM,0.3645933041696787,0.45830783530514313,1.165638367929724,0.03,ADIPOR2;GABARAPL1;ALAD;HSDL2;TP53INP2;ENO2;CYP1A1;DLST;CEL;ACADS;AUH;GRHPR;HSD17B11;OSTC;HADH;BMPR1B;METAP1;ACSL1;TDO2;UGDH;ACSS1;MIF;YWHAH;LGALS1;ACO2;DLD;LTC4S;MDH2;BLVRA;NTHL1;INMT;RDH16;ACOT2;RDH11;GPD1;HSD17B4;SLC22A5;ACAA2;MLYCD;SUCLG2;PDHB;PTPRG;GAPDHS;ECH1;CPOX;HSP90AA1;SDHD;PTS;CBR3;CBR1;REEP6;ALDH9A1;HSD17B7;CD1D;PRDX6;FMO1;S100A10;FH;DECR1;CA2;NBN;CPT2;DHCR24;UROD;VNN1;IDI1;ME1;SERINC1;ACAT2;MDH1;FABP1;SUCLG1;RETSAT;ELOVL5;HSPH1;ODC1;SUCLA2;UROS;ECHS1;PCBD1;CA6;CA4;ACADL;AOC3;FASN,37.26%,ADIPOR2;GABARAPL1;ALAD;HSDL2;TP53INP2;ENO2;CYP1A1;DLST;CEL;ACADS;AUH;GRHPR;HSD17B11;OSTC;HADH;BMPR1B;METAP1;ACSL1;TDO2;UGDH;ACSS1;MIF;YWHAH;LGALS1;ACO2;DLD;LTC4S;MDH2;BLVRA;NTHL1;INMT;RDH16;ACOT2;RDH11;GPD1;HSD17B4;SLC22A5;ACAA2;MLYCD,39/85
7,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.3672720363221793,0.4486547902548191,1.1566488226809784,0.022,KLRK1;TDRD7;SPPL2A;SAMHD1;C1R;PTPN6;B2M;NFKBIA;PNP;OAS3;TOR1B;ISG20;CXCL9;GZMA;IRF2;DDX60;CD38;LAP3;CSF2RB;IL2RB;PTPN1;ZNFX1;USP18;OGFR;APOL6;PARP12;NAMPT;LCP2;ST8SIA4;SAMD9L;SRI;PSMA2;CIITA;SOCS1;JAK2;IL4R;NOD1;IL6;BTG1;STAT2;PSME2;IRF9;RNF31;ITGB7;PSMB10;IRF1;ISOC1;IRF8;NUP93;NLRC5;MT2A;PLSCR1;ICAM1;TNFSF10;RTP4;MYD88;BST2;IFI30;CD86;PARP14;TNFAIP2;FPR1;IFIT2;TRIM21;IFIT1;BATF2;MX2;SLAMF7;SELP;PLA2G4A;CFH;PTGS2;SOCS3;LGALS3BP;RIPK2;IL7;PSMB2;PFKP;TXNIP;TNFAIP6;NMI;TNFAIP3;PNPT1;ST3GAL5;VAMP5;VAMP8;PIM1;LATS2;RSAD2;CMPK2;ARID5B;SLC25A28;TRIM26;HLA-A;HLA-G;STAT4;IDO1;RIPK1;HLA-B;HLA-DMA;HLA-DRB1;TAP1;CFB;IFI44;GBP4;GBP6;CCL5;TRIM25;DHX58;IFI35;CCL7;CCL2;SECTM1;RNF213,42.08%,KLRK1;TDRD7;SPPL2A;SAMHD1;C1R;PTPN6;B2M;NFKBIA;PNP;OAS3;TOR1B;ISG20;CXCL9;GZMA;IRF2;DDX60;CD38;LAP3;CSF2RB;IL2RB;PTPN1;ZNFX1;USP18;OGFR;APOL6;PARP12;NAMPT;LCP2;ST8SIA4;SAMD9L;SRI;PSMA2;CIITA;SOCS1;JAK2;IL4R;NOD1;IL6;BTG1;STAT2;PSME2;IRF9;RNF31;ITGB7;PSMB10;IRF1;ISOC1;IRF8;NUP93;NLRC5;MT2A;PLSCR1;ICAM1;TNFSF10;RTP4;MYD88,56/114
8,HALLMARK_APICAL_SURFACE,0.4074411131334547,0.48412594447562657,1.1244499618929562,0.187,ADIPOR2;ADAM10;NCOA6;RHCG;SLC34A3;IL2RB;SCUBE1;EFNA5;EPHB4;HSPB1;B4GALT1;CX3CL1;ATP8B1;LYPD3;DCBLD2;THY1;CROCC;PCSK9;CD160;AKAP7;MDGA1;FLOT2;RTN4RL1;SLC2A4,38.67%,ADIPOR2;ADAM10;NCOA6;RHCG;SLC34A3;IL2RB;SCUBE1;EFNA5;EPHB4;HSPB1;B4GALT1;CX3CL1;ATP8B1,13/24
9,HALLMARK_ANDROGEN_RESPONSE,0.4233587348574248,0.47583081937790195,1.1658912239215493,0.067,PIAS1;SORD;B2M;PTPN21;HERC3;BMPR1B;SEC24D;ANKH;SPCS3;IQGAP2;XRCC6;ALDH1A3;DNAJB9;ELL2;SRP19;TNFAIP8;SLC26A2;STEAP4;B4GALT1;SLC38A2;PA2G4;KRT8;LMAN1;HSD17B14;FADS1;GPD1L;CCND1;ADAMTS1;RAB4A;TMEM50A;DHCR24;IDI1;AKAP12;PGM3;UBE2J1;MAP7;SGK1;SRF;ELOVL5;TSC22D1;ARID5B;ZMIZ1;SCD;STK39;ABCC4;GSR;NKX3-1;MAK;SPDEF;GNAI3;APPBP2;XRCC5;KRT19;MERTK,34.17%,PIAS1;SORD;B2M;PTPN21;HERC3;BMPR1B;SEC24D;ANKH;SPCS3;IQGAP2;XRCC6;ALDH1A3;DNAJB9;ELL2;SRP19;TNFAIP8;SLC26A2;STEAP4;B4GALT1;SLC38A2;PA2G4;KRT8,22/54
