,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.38508251437048024,-0.47231639350234944,-1.491393460665607,0.0718954248366013,ATOX1;PFKP;MPO;SOD1;STK25;SRXN1;GPX3;GCLC;GSR;PRDX6;TXNRD2;SBNO2;LSP1;TXN;TXNRD1;NDUFA6;FTL;HHEX;GCLM;PDLIM1;CAT;OXSR1,10.01%,OXSR1;CAT;PDLIM1;GCLM;HHEX;FTL;NDUFA6,7/22
1,HALLMARK_UV_RESPONSE_DN,0.4256999814574448,-0.32982451897669474,-1.334559710031529,0.07758620689655173,ANXA4;MAP1B;SMAD7;DBP;PIK3CD;PHF3;CAP2;SCHIP1;HAS2;ITGB3;ZMIZ1;DLC1;RXRA;RND3;PTPN21;SRI;BMPR1A;MYC;PRKCE;TGFBR3;ADORA2B;F3;RUNX1;SIPA1L1;GRK5;ACVR2A;PIAS3;PTEN;DAB2;LDLR;NEK7;MGMT;IGF1R;PRKAR2B;WDR37;COL1A1;SDC2;MT1E;PEX14;AGGF1;SLC7A1;COL1A2;KALRN;RASA2;NFIB;FBLN5;COL5A2;NRP1;SNAI2;DUSP1;MRPS31;CAV1;IGFBP5;CDKN1B;MTA1;PRKCA;SYNJ2;LTBP1;BHLHE40;MAGI2;COL3A1;CDON;PDGFRB;SMAD3;SCN8A;LAMC1;NOTCH2,15.52%,NOTCH2;LAMC1;SCN8A;SMAD3;PDGFRB;CDON;COL3A1;MAGI2;BHLHE40;LTBP1;SYNJ2;PRKCA;MTA1;CDKN1B;IGFBP5;CAV1,16/67
2,HALLMARK_MYC_TARGETS_V1,0.4748748377526423,-0.3480095010461951,-1.5554923887792962,0.004662004662004662,MAD2L1;MCM6;HSPE1;PSMD1;UBA2;HDDC2;CCT5;RPL22;HSP90AB1;SRM;MRPL23;ERH;RPS10;RPS6;GLO1;IMPDH2;XPO1;RPL18;EIF2S1;HDAC2;HNRNPA3;DDX21;VDAC1;STARD7;GOT2;MRPS18B;EIF3J;PSMA6;RUVBL2;CUL1;TUFM;PSMD14;RPS3;PSMA2;PWP1;MCM2;RANBP1;PSMC6;MYC;PSMD8;NOP16;LSM7;SNRPD3;NOLC1;PRPF31;LSM2;C1QBP;SRPK1;FAM120A;MCM5;PA2G4;ODC1;YWHAQ;CDC20;PTGES3;SNRPA;EIF3D;PSMA1;SET;FBL;AIMP2;CCT4;ETF1;CAD;CYC1;EIF2S2;SNRPG;PABPC1;PSMD3;PSMB2;ILF2;TYMS;COX5A;SNRPA1;CLNS1A;EXOSC7;CDK4;PSMA7;CCNA2;PSMB3;TRA2B;NDUFAB1;CCT2;XRCC6;RRM1;PSMD7;RSL1D1;COPS5;RAN;PPIA;RAD23B;SF3B3;SSBP1;SNRPD1;DHX15;DDX18;AP3S1;KPNB1;RRP9;SMARCC1,14.76%,SMARCC1;RRP9;KPNB1;AP3S1;DDX18;DHX15;SNRPD1;SSBP1;SF3B3;RAD23B;PPIA;RAN;COPS5;RSL1D1;PSMD7;RRM1;XRCC6;CCT2;NDUFAB1;TRA2B;PSMB3;CCNA2;PSMA7;CDK4;EXOSC7,25/100
3,HALLMARK_G2M_CHECKPOINT,0.4857222325236418,-0.30465697840382616,-1.3506349997701175,0.050359712230215826,NCL;MAD2L1;MCM3;MCM6;BCL3;PRPF4B;RPS6KA5;POLA2;EGF;CTCF;UCK2;KIF5B;STAG1;SQLE;LMNB1;RBM14;CENPE;HOXC10;XPO1;PLK4;PLK1;MEIS1;PTTG1;HIRA;FANCC;CUL3;TGFB1;RASAL2;ESPL1;E2F1;NUMA1;UPF1;ODF2;CUL1;CKS2;GINS2;KIF2C;MCM2;E2F3;AURKB;SLC7A5;CENPF;MYC;NOLC1;PBK;RPA2;EFNA5;UBE2S;CHAF1A;CCNF;MCM5;SFPQ;TRAIP;NEK2;POLQ;KIF20B;ODC1;RAD21;MNAT1;SLC12A2;BRCA2;CUL5;CDC20;KIF22;PRIM2;TROAP;E2F4;BARD1;PAFAH1B1;SLC7A1;CCNT1;STMN1;TOP2A;KIF11;MYBL2;CCNB2;CCND1;MARCKS;HMGN2;ABL1;CDKN1B;CDK4;CCNA2;HUS1;TRA2B;E2F2;MT2A;SAP30;RAD23B;CDC6;TOP1;SNRPD1;PDS5B;BUB1;DBF4;SMAD3;WRN;NOTCH2;KPNB1;TACC3;SMARCC1,7.60%,SMARCC1;TACC3;KPNB1;NOTCH2;WRN;SMAD3;DBF4;BUB1;PDS5B;SNRPD1;TOP1;CDC6;RAD23B;SAP30,14/101
4,HALLMARK_KRAS_SIGNALING_DN,0.5040021014895852,-0.25267793724299403,-1.1406859009759878,0.183206106870229,GPRC5C;ALOX12B;NRIP2;CDH16;CDKAL1;EGF;AMBN;MFSD6;KRT4;IGFBP2;SCN10A;EFHD1;SYNPO;SNN;ATP6V1B1;ATP4A;GRID2;CD80;TG;CKM;NR4A2;THNSL2;GP1BA;LFNG;TFCP2L1;PROP1;RYR2;SPTBN2;TSHB;SLC29A3;IFNG;INSL5;KRT5;ENTPD7;YBX2;ITIH3;LYPD3;CYP11B2;PTPRJ;NTF3;TLX1;TGM1;HSD11B2;SLC6A3;CPB1;MAST3;CCR8;TFAP2B;IL12B;SIDT1;OXT;CLSTN3;COPZ2;TCF7L1;FGF22;SLC25A23;NGB;TNNI3;EDAR;SLC5A5;RSAD2;EDN2;TFF2;TEX15;PDK2;CCDC106;CHST2;SLC16A7;BARD1;SLC38A3;NPHS1;PRODH;DCC;KCNE2;CALCB;CELSR2;SPHK2;KCNN1;CPA2;SLC30A3;MYO15A;NOS1;ABCB11;CACNG1;SOX10;GPR19;BTG2;CLPS;ACTC1;MEFV;SGK1;CPEB3;C5;MYH7;MTHFR;KLHDC8A;CYP39A1;PAX4;YPEL1;RIBC2;PNMT;VPREB1;BMPR1B;KRT1;KRT15;HNF1A,18.29%,HNF1A;KRT15;KRT1;BMPR1B;VPREB1;PNMT;RIBC2;YPEL1;PAX4;CYP39A1;KLHDC8A;MTHFR;MYH7;C5;CPEB3;SGK1;MEFV;ACTC1;CLPS;BTG2;GPR19;SOX10;CACNG1;ABCB11;NOS1;MYO15A;SLC30A3,27/106
5,HALLMARK_MYOGENESIS,0.5245318004821063,-0.2688893092889105,-1.1700672979434443,0.20276497695852536,STC2;IGFBP7;MYH9;NOTCH1;PPP1R3C;EIF4A2;CNN3;ACTN3;ACTN2;SPARC;PGAM2;SCHIP1;CFD;TGFB1;CKM;ITGB5;ACSL1;TNNC2;SCD;FGF2;ADCY9;FLII;RB1;EPHB3;PPFIA4;CASQ2;LPIN1;MYBPC3;HRC;GPX3;SYNGR2;DES;AK1;APOD;OCEL1;HSPB2;GADD45B;BDKRB2;CHRNB1;AEBP1;ACTA1;TNNI1;SOD3;RIT1;MYOM2;GABARAPL2;PFKM;MYH1;COL1A1;SGCG;MYL3;COL6A2;VIPR1;SORBS3;SPDEF;MEF2D;COX7A1;MYH3;KLF5;LSP1;CKB;PVALB;TPM3;TNNC1;PTGIS;COL15A1;MYF6;NOS1;CACNG1;HBEGF;HSPB8;COL4A2;ACTC1;TCAP;COX6A2;SPEG;GNAO1;AKT2;ITGA7;CDH13;MYH4;MAPRE3;BHLHE40;MYH8;SLN;MYH7;MYBPH;DAPK2;MYL2;COL3A1;MYL7;NAV2;ERBB3,14.97%,ERBB3;NAV2;MYL7;COL3A1;MYL2;DAPK2;MYBPH;MYH7;SLN;MYH8;BHLHE40;MAPRE3;MYH4;CDH13;ITGA7;AKT2;GNAO1;SPEG;COX6A2;TCAP;ACTC1;COL4A2;HSPB8;HBEGF,24/93
6,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.5383156617163664,-0.2526182486435061,-1.1449699064064047,0.19954128440366972,APOL6;CMPK2;ISG20;NAMPT;PTGS2;SLAMF7;TNFSF10;JAK2;PNPT1;SPPL2A;PNP;ARID5B;OGFR;TDRD7;PLSCR1;RIPK2;LATS2;CSF2RB;PLA2G4A;PSMB10;SECTM1;SAMD9L;LCP2;CFH;PSME2;PFKP;SLC25A28;IL4R;SOCS3;GBP6;C1R;NLRC5;OAS3;ST8SIA4;KLRK1;USP18;PTPN1;DHX58;SRI;HLA-DMA;ISOC1;PSMA2;ICAM1;IRF8;TNFAIP6;IFI44;RIPK1;DDX60;IDO1;TOR1B;IL2RB;IRF2;HLA-DRB1;VAMP8;RNF31;LAP3;IRF1;CFB;TAP1;RSAD2;CIITA;RNF213;FPR1;BTG1;IFI35;SOCS1;GZMA;HLA-B;CD38;PTPN6;ZNFX1;HLA-G;IFI30;CCL7;NFKBIA;TRIM26;PARP12;NMI;CD86;IRF9;LGALS3BP;MYD88;IL7;PSMB2;TNFAIP3;TRIM25;SAMHD1;TNFAIP2;BATF2;TRIM21;TXNIP;PARP14;BST2;IFIT1;STAT2;PIM1;ST3GAL5;MT2A;CCL2;RTP4;IFIT2;NOD1;CCL5;GBP4;ITGB7;VAMP5;SELP;CXCL9;NUP93;HLA-A;IL6;B2M;MX2;STAT4,9.26%,STAT4;MX2;B2M;IL6;HLA-A;NUP93;CXCL9;SELP;VAMP5;ITGB7;GBP4;CCL5;NOD1;IFIT2;RTP4;CCL2;MT2A,17/114
7,HALLMARK_ALLOGRAFT_REJECTION,0.5668768156251932,-0.26155226126123854,-1.1760382934973947,0.1937046004842615,CXCL13;HLA-DOA;NOS2;BCL3;JAK2;UBE2N;GLMN;EIF4G3;HLA-DRA;TRAT1;RPL3L;RIPK2;INHBB;LY86;HCLS1;TRAF2;SRGN;PSMB10;RPS9;IL10;LCP2;CD1D;CD80;CAPG;GBP2;IL4R;EIF3A;ELANE;TGFB1;BCL10;GALNT1;EIF3J;ST8SIA4;ZAP70;IL2RA;IFNG;IL27RA;MMP9;HLA-DMA;TLR6;ICAM1;IRF8;IL9;ETS1;CCL19;EGFR;IL1B;SIT1;IL2RB;GPR65;IL12B;EREG;INHBA;IL12A;CRTAM;LIF;IFNGR1;LY75;ACVR2A;TAP1;STAB1;CARTPT;TLR1;SOCS1;GZMA;TNF;NCK1;EIF3D;CD7;PTPN6;UBE2D1;TLR2;HLA-G;CCL7;IL13;IL16;F2R;HLA-DOB;IKBKB;IFNGR2;CTSS;CD86;TLR3;F2;IL7;IL11;BCAT1;PRKCG;THY1;CCL22;CCL11;CCND2;HLA-E;CD28;CD2;IL18RAP;ITK;IL2;CD3G;RPS19;CCL2;PF4;CCL5;MRPL3;HLA-DMB;RPS3A;GZMB;CD3E;CXCL9;HLA-A;KRT1;IL6;B2M;STAT4;CD4,8.66%,CD4;STAT4;B2M;IL6;KRT1;HLA-A;CXCL9;CD3E;GZMB;RPS3A;HLA-DMB;MRPL3;CCL5;PF4;CCL2,15/115
8,HALLMARK_HEME_METABOLISM,0.5741702206564064,-0.2526530017032087,-1.0975562583923557,0.28935185185185186,CA2;TFDP2;TAL1;CPOX;TYR;C3;MBOAT2;OSBP2;SLC30A1;SIDT2;ARL2BP;TMEM9B;HMBS;SLC25A37;PDZK1IP1;LRP10;BLVRA;MOCOS;ALDH6A1;MGST3;PGLS;TSPAN5;KAT2B;DCUN1D1;ABCB6;MAP2K3;UBAC1;MINPP1;SLC30A10;HBBP1;ARHGEF12;SLC4A1;HBB;ELL2;NFE2L1;SLC7A11;GCLC;RANBP10;SLC2A1;FN3K;MFHAS1;TMCC2;ISCA1;CIR1;GMPS;KEL;BNIP3L;KLF3;NEK7;TNS1;DAAM1;USP15;ALAD;MXI1;DCAF10;SPTB;RCL1;UCP2;EPOR;BLVRB;ANK1;PSMD9;SLC22A4;GAPVD1;KLF1;EZH1;PPP2R5B;AGPAT4;SLC11A2;SELENBP1;CDR2;BTG2;SPTA1;ABCG2;RAD23A;RIOK3;UROS;SLC25A38;KHNYN;UROD;E2F2;ALDH1L1;FOXJ2;TOP1;GCLM;TRAK2;CCDC28A;HEBP1;VEZF1;RBM5;CAT;ENDOD1;RHAG,18.20%,RHAG;ENDOD1;CAT;RBM5;VEZF1;HEBP1;CCDC28A;TRAK2;GCLM;TOP1;FOXJ2;ALDH1L1;E2F2;UROD;KHNYN;SLC25A38;UROS;RIOK3;RAD23A;ABCG2;SPTA1;BTG2;CDR2;SELENBP1;SLC11A2;AGPAT4;PPP2R5B,27/93
9,HALLMARK_PEROXISOME,0.5809382532913036,-0.3518249774366011,-1.36997010284436,0.07912087912087912,FIS1;SULT2B1;CRABP1;IDH2;DHCR24;MSH2;ABCB1;BCL10;SOD1;ACSL1;ABCC5;RDH11;ALB;SLC35B2;YWHAH;IDE;SLC25A4;ISOC1;TTR;HSD17B4;PEX11A;EPHX2;SCP2;ERCC3;HSD11B2;CEL;SLC25A17;ABCC8;RETSAT;MLYCD;CRABP2;SEMA3C;PEX14;PABPC1;ECH1;SERPINA6;IDI1;TOP2A;CLN8;ALDH9A1;CACNA1B;ABCD2;FADS1;DHRS3;CLN6;CDK7;VPS4B;ELOVL5;PEX6;HSD17B11;LONP2;CAT;SMARCC1,2.35%,SMARCC1;CAT;LONP2;HSD17B11,4/53
