,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_HYPOXIA,0.10463158803470453,0.3808075198413886,1.6338117702808581,0.0021141649048625794,CDKN1B;IL6;DUSP1;AMPD3;EFNA3;IER3;ALDOC;SLC25A1;SDC4;MT2A;ZFP36;EDN2;PPARGC1A;MIF;STBD1;EXT1;MYH9;HSPA5;FOSL2;MT1E;NCAN;PDK1;BTG1;DDIT4;GBE1;IRS2;CAV1;ISG20;MAP3K1;RORA;STC2;PLIN2;HAS1;BHLHE40;ADORA2B;HOXB9;HS3ST1;PCK1;F3;KLHL24;SELENBP1;HEXA;GCNT2;PGM2;NAGK;AKAP12;SULT2B1;CP;STC1;SDC2;PFKFB3;LOX;CHST3;GPI;BCAN;KIF5A;ERRFI1;DPYSL4;RRAGD;PIM1;SLC2A1;TES;PGAM2;ZNF292;PGM1;GRHPR;SIAH2;ADM;PNRC1;ENO2;BCL2;SDC3;HMOX1;CXCR4;CHST2;PRKCA;NDST1;CSRP2;ALDOB;TGFBI;PPP1R15A;TMEM45A;SLC2A5;FOS;GAPDH;MXI1;LALBA;GALK1;BNIP3L;ENO1;PPP1R3C;PPFIA4;TNFAIP3;NDST2;GPC1;PDGFB;PGF;GAPDHS;PFKP;CCNG2;KLF7;SAP30;TIPARP;HK2;ILVBL;COL5A1;GCK;FAM162A;ETS1;EGFR;TGFB3,19.86%,CDKN1B;IL6;DUSP1;AMPD3;EFNA3;IER3;ALDOC;SLC25A1;SDC4;MT2A;ZFP36;EDN2;PPARGC1A;MIF;STBD1;EXT1;MYH9;HSPA5;FOSL2;MT1E;NCAN;PDK1;BTG1;DDIT4;GBE1;IRS2;CAV1;ISG20;MAP3K1;RORA;STC2;PLIN2;HAS1;BHLHE40;ADORA2B;HOXB9;HS3ST1;PCK1,38/111
1,HALLMARK_APOPTOSIS,0.12819959425044244,0.39284567784400526,1.5702918120779887,0.0125,BTG2;CDKN1B;HSPB1;TNFRSF12A;GADD45B;IL6;CCND2;IER3;IFNGR1;ETF1;GSR;PLCB2;IL1A;DPYD;NEDD9;CAV1;ISG20;TNFSF10;TXNIP;BMP2;AVPR1A;EMP1;BIK;GNA15;GUCY2D;DNAJC3;VDAC2;SOD1;SLC20A1;ANKH;BCL2L10;SMAD7;CCND1;CD38;TAP1;BCL10;EREG;MMP2;ENO2;EGR3;DAP;ANXA1;GADD45A;HMOX1;TIMP2;TOP2A;MGMT;F2;RNASEL;IRF1;GPX3;BNIP3L;ERBB3;FEZ1;LUM;IGFBP6;TGFBR3;TNF;IL1B;F2R;PEA15;PDGFRB;CD2;BCL2L2;ROCK1;PPP3R1;RHOT2;RETSAT;PPP2R5B;IGF2R,9.67%,BTG2;CDKN1B;HSPB1;TNFRSF12A;GADD45B;IL6;CCND2;IER3;IFNGR1;ETF1;GSR;PLCB2;IL1A;DPYD,14/70
2,HALLMARK_ADIPOGENESIS,0.12923555056761774,0.35239307448809615,1.5170117819005247,0.011389521640091117,APOE;VEGFB;CAT;LPCAT3;SLC25A1;LTC4S;DRAM2;PREB;ACAA2;IFNGR1;SULT1A1;CHCHD10;HADH;MRPL15;NKIRAS1;EPHX2;TANK;CS;CYC1;UQCRQ;RIOK3;GBE1;GPAM;C3;IDH3A;PLIN2;UQCRC1;NDUFA5;MTCH2;ACO2;ACADS;ACADL;SUCLG1;RNF11;CPT2;LPL;TALDO1;GHITM;TST;REEP6;HSPB8;SCP2;PEMT;SAMM50;PFKFB3;SOD1;DLAT;MCCC1;GRPEL1;ALDH2;BAZ2A;ADIPOQ;DBT;PGM1;CD302;ANGPT1;SLC27A1;DNAJB9;MGST3;JAGN1;BCL2L13;PTCD3;SDHB;ME1;LIPE;MAP4K3;ADIG;ADIPOR2;GADD45A;NMT1;ATP1B3;ITGA7;REEP5;ABCB8;ETFB;UCP2;GPX3;COQ9;CHUK;FZD4;SNCG;COL4A1;COX6A1;MDH2;DNAJC15;ABCA1;ECH1;NDUFAB1;FAH;SLC25A10;COX8A;NDUFB7;DHRS7B;COQ3;COQ5;ECHS1;QDPR;ESRRA;PPP1R15B;CCNG2;DLD;DECR1;DHRS7;YWHAG;COL15A1;SLC19A1;ESYT1;PEX14;STAT5A;POR;RETSAT,19.02%,APOE;VEGFB;CAT;LPCAT3;SLC25A1;LTC4S;DRAM2;PREB;ACAA2;IFNGR1;SULT1A1;CHCHD10;HADH;MRPL15;NKIRAS1;EPHX2;TANK;CS;CYC1;UQCRQ;RIOK3;GBE1;GPAM;C3;IDH3A;PLIN2;UQCRC1;NDUFA5;MTCH2;ACO2;ACADS;ACADL,32/111
3,HALLMARK_MTORC1_SIGNALING,0.14327275866534295,0.35978013560839306,1.5272604811181498,0.004484304932735426,BTG2;SLC9A3R1;CYB5B;PNP;HMBS;PSMC2;NAMPT;SSR1;ACTR3;GOT1;GGA2;HSPA5;ETF1;GSR;RPN1;CD9;EGLN3;PITPNB;EIF2S2;PDK1;DDIT4;DHCR24;GBE1;RIT1;MTHFD2L;BHLHE40;ABCF2;GMPS;ATP6V1D;SKAP2;SORD;HSPA9;HSPA4;CALR;STARD4;STC1;MAP2K3;GCLC;GPI;TMEM97;TM7SF2;PLK1;SLC2A1;TES;PNO1;IDI1;PGM1;CTSC;YKT6;NUP205;PDAP1;EDEM1;ARPC5L;RDH11;SEC11A;MLLT11;PSMC6;DAPP1;ME1;ADIPOR2;SLC7A11;PHGDH;SLC7A5;USO1;NMT1;CXCR4;LTA4H;LDLR;BCAT1;RPA1;PPIA;PPP1R15A;IFI30;HSPE1;CCNF;FADS2;GAPDH;MCM2;ENO1;FADS1;SDF2L1;NUFIP1;UFM1;UCHL5;SQLE;COPS5;CORO1A;SRD5A1;IGFBP5;ELOVL5;QDPR;TXNRD1;SCD;SERPINH1;STIP1;PPA1;BUB1;HSP90B1;HK2;TUBA4A;POLR3G;TUBG1;RRP9;PSMD14,13.04%,BTG2;SLC9A3R1;CYB5B;PNP;HMBS;PSMC2;NAMPT;SSR1;ACTR3;GOT1;GGA2;HSPA5;ETF1;GSR;RPN1;CD9;EGLN3;PITPNB;EIF2S2;PDK1;DDIT4;DHCR24;GBE1,23/104
4,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.14373893900807183,0.5492488092498218,1.6422813260237286,0.02620967741935484,DVL2;CCND2;DLL1;WNT1;JAG1;NOTCH4;HEY2;MYC;DKK1;CUL1;NOTCH1;ADAM17;MAML1;GNAI1;AXIN2;NCSTN;WNT6;HDAC2;NKD1;DKK4;KAT2A,37.15%,DVL2;CCND2;DLL1;WNT1;JAG1;NOTCH4;HEY2;MYC;DKK1;CUL1;NOTCH1;ADAM17;MAML1;GNAI1;AXIN2;NCSTN,16/21
5,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.17714853023697502,0.3927236361332866,1.7049009818209975,0.002105263157894737,BTG2;IER2;GADD45B;IL6;DUSP1;IER3;MARCKS;NAMPT;B4GALT1;SDC4;NFKBIE;ZFP36;NFKBIA;IFNGR2;DRAM1;FOSL2;PTGS2;TRIP10;TANK;IL1A;REL;CCNL1;RIPK2;CSF2;BTG1;CXCL2;DUSP2;IRS2;CXCL3;JAG1;TRIB1;IL7R;KLF9;ZC3H12A;F2RL1;ETS2;BIRC2;BHLHE40;BMP2;MYC;F3;EHD1;SOCS3;TNFAIP6;TNFSF9;TNFAIP2;FOSL1;DENND5A;CCL5;MAP2K3;CCL2;GFPT2;PFKFB3;IL12B;KLF4;HBEGF;AREG;TNC;OLR1;SMAD3;CCND1;EGR1;MXD1;TAP1;PNRC1;EGR3;RELB;GADD45A;CXCL1;CD80;B4GALT5;TUBB2A;DUSP5;LDLR;TNFRSF9;ID2;PPP1R15A;CXCL6;TSC22D1;MAP3K8;DNAJB4;IRF1;KYNU;SNN;SPSB1;FOS;EIF1;PER1;LIF;HES1;SGK1;IFIT2;YRDC;ICAM1;ABCA1;TNFAIP3;NR4A2;KLF2;KDM6B;PTGER4;TNFAIP8;PANX1;TNF;IL1B;MSC;PLK2;TRAF1;NINJ1;KLF10;TIPARP;TNIP1;PLEK;INHBA;IL23A;STAT5A;BCL3;TLR2,17.97%,BTG2;IER2;GADD45B;IL6;DUSP1;IER3;MARCKS;NAMPT;B4GALT1;SDC4;NFKBIE;ZFP36;NFKBIA;IFNGR2;DRAM1;FOSL2;PTGS2;TRIP10;TANK;IL1A;REL;CCNL1;RIPK2;CSF2;BTG1;CXCL2;DUSP2;IRS2;CXCL3;JAG1;TRIB1;IL7R;KLF9;ZC3H12A;F2RL1;ETS2;BIRC2;BHLHE40,38/117
6,HALLMARK_ESTROGEN_RESPONSE_LATE,0.24843527431259985,0.31777203547052857,1.3822886437209319,0.03389830508474576,SLC9A3R1;PTGES;CELSR2;KCNK5;GINS2;ZFP36;AGR2;PTPN6;UNC13B;FDFT1;IDH2;CA2;CD9;AFF1;RAB31;CKB;OLFM1;KRT19;DUSP2;RNASEH2A;CAV1;ISG20;PERP;SLC22A5;FRK;CDH1;UGDH;MAPK13;NPY1R;CDC20;COX6C;JAK2;EMP2;SORD;TST;PCP4;OPN3;IMPA2;ACOX2;SULT2B1;HSPB8;DCXR;GAL;CHPT1;DNAJC1;METTL3;ANXA9;KLF4;ITPK1;CLIC3;HSPA4L;AREG;DNAJC12;SLC24A3;AMFR;SERPINA3;CYP26B1;CCND1;OVOL2;TRIM29;TFPI2;SIAH2;RPS6KA2;TFAP2C;FAM102A;EGR3;CPE;BCL2;MICB;FKBP4;SLC7A5;TSPAN13;TFF1;BATF;ID2;PRKAR2B;LTF;TNNC1;TOP2A;SERPINA5;SLC26A2;FOS;SNX10;ETFB;ST6GALNAC2;S100A9;TIAM1;TJP3;SGK1;FABP5;ABCA3;FARP1;NMU;IGFBP4;TFF3;PRSS23;ELOVL5;CDC6;ARL3;BLVRB;PLK4;KIF20A;ST14;NAB2;DLG5;PGR;RAPGEFL1;PPIF;NRIP1;CXCL14;IL17RB;SLC2A8;PRLR;JAK1,25.45%,SLC9A3R1;PTGES;CELSR2;KCNK5;GINS2;ZFP36;AGR2;PTPN6;UNC13B;FDFT1;IDH2;CA2;CD9;AFF1;RAB31;CKB;OLFM1;KRT19;DUSP2;RNASEH2A;CAV1;ISG20;PERP;SLC22A5;FRK;CDH1;UGDH;MAPK13;NPY1R;CDC20;COX6C;JAK2;EMP2;SORD;TST;PCP4;OPN3;IMPA2;ACOX2,39/114
7,HALLMARK_P53_PATHWAY,0.26986662062416367,0.3239228087379994,1.353794679048092,0.02575107296137339,BTG2;VAMP8;MAPKAPK3;CCND2;IER3;TRAF4;POLH;NUDT15;DEF6;LDHB;SOCS1;DRAM1;FUCA1;PPM1D;GLS2;IL1A;ZFP36L1;BTG1;TM4SF1;DDIT4;PERP;EPHA2;SLC19A2;TXNIP;BMP2;PRKAB1;CLCA2;ABCC5;TNFSF9;CDKN2AIP;TPRKB;RGS16;ADA;RPL18;NOTCH1;DCXR;CGRRF1;SLC35D1;KLF4;HBEGF;GPX2;HSPA4L;PMM1;TM7SF3;RAD9A;RALGDS;SEC61A1;ABHD4;MXD1;TNNI1;TAP1;RAB40C;SLC7A11;RPS27L;GADD45A;RXRA;HMOX1;CSRNP2;SERPINB5;MXD4;PPP1R15A;IFI30;TCHH;TSC22D1;CDH13;ERCC5;WWP1;INHBB;CTSF;FOS;ZNF365;LIF;HDAC3;PLK3;RB1;DDB2;RRP8;TGFB1;PTPN14;CDK5R1;PROCR;ST14;EPS8L2;DNTTIP2;SESN1;F2R;PLK2;CD81;TCN2;NINJ1;TAX1BP3;S100A10;ANKRA2;AK1;PVT1;FAM162A;AEN;KIF13B;RETSAT,14.75%,BTG2;VAMP8;MAPKAPK3;CCND2;IER3;TRAF4;POLH;NUDT15;DEF6;LDHB;SOCS1;DRAM1;FUCA1;PPM1D;GLS2;IL1A;ZFP36L1;BTG1;TM4SF1;DDIT4;PERP;EPHA2;SLC19A2,23/99
8,HALLMARK_UV_RESPONSE_UP,0.27526839284943483,0.3453667331674955,1.3880990651820588,0.0457516339869281,BTG2;CYB5B;IL6;NFKBIA;POLG2;SPR;SULT1A1;CA2;RPN1;CHRNA5;OLFM1;NPTXR;BTG1;CXCL2;FGF18;IGFBP2;PRKACA;DDX21;ATP6V1F;BMP2;POLR2H;GGH;TST;UROD;EPCAM;GAL;SLC25A4;ONECUT1;WIZ;GRPEL1;NPTX2;PSMC3;KLHDC3;PPP1R2;CDO1;PPAT;YKT6;PDAP1;GLS;TAP1;MRPL23;ENO2;PLCL1;FKBP4;HSPA13;DNAJB1;HMOX1;MSX1;CYB5R1;TCHH;PRPF3;IRF1;ABCB1;CEBPG;FOS;GPX3;CCK;TACR3;CDC34;TYRO3;CNP;ICAM1;STK25;CYP1A1;LHX2;PPIF;FURIN;CDC5L;STIP1;CREG1;MMP14;FMO1;TUBA4A;APOM;RXRB,19.31%,BTG2;CYB5B;IL6;NFKBIA;POLG2;SPR;SULT1A1;CA2;RPN1;CHRNA5;OLFM1;NPTXR;BTG1;CXCL2;FGF18;IGFBP2;PRKACA;DDX21;ATP6V1F;BMP2;POLR2H,21/75
9,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.30923296067682476,0.3095384710302095,1.3008395920942015,0.07111111111111111,COX7C;NDUFB1;COX6B1;ATP6V1G1;TIMM17A;NDUFS4;SUPV3L1;MRPS30;COX17;LDHB;NDUFV2;GOT2;ACAA2;MRPS15;IDH2;UQCRFS1;MRPL15;COX10;SUCLA2;CS;CYC1;UQCRQ;NDUFC1;VDAC1;TIMM50;NDUFA9;COX5B;IDH3A;UQCRC1;NDUFA5;ATP6V1F;AFG3L2;ACO2;UQCRB;TIMM13;SUCLG1;COX6C;ALDH6A1;ATP6V1D;SLC25A20;ATP6V0C;HSPA9;ACAT1;SLC25A4;FDX1;MRPS22;VDAC2;GLUD1;SLC25A12;DLAT;GPI;GRPEL1;MTRF1;ISCA1;NDUFA6;MGST3;SDHB;UQCRH;LRPPRC;PDHB;POLR2F;NDUFS6;COX5A;MRPL34;NDUFB2;TOMM22;SURF1;OXA1L;ETFB;CYB5R3;NDUFA4;DLST;COX6A1;TIMM10;MDH2;UQCRC2;ECH1;NDUFS7;NDUFAB1;ATP6V0E1;PDK4;COX8A;NDUFB7;COX4I1;MDH1;OAT;ECHS1;FH;ACADSB;DLD;NDUFC2;DECR1;PMPCA;NDUFB5;NDUFS8;NDUFA7;NQO2;NDUFA3;RHOT2;SDHD;POR;NDUFB8;RETSAT,22.21%,COX7C;NDUFB1;COX6B1;ATP6V1G1;TIMM17A;NDUFS4;SUPV3L1;MRPS30;COX17;LDHB;NDUFV2;GOT2;ACAA2;MRPS15;IDH2;UQCRFS1;MRPL15;COX10;SUCLA2;CS;CYC1;UQCRQ;NDUFC1;VDAC1;TIMM50;NDUFA9;COX5B;IDH3A;UQCRC1;NDUFA5;ATP6V1F;AFG3L2;ACO2;UQCRB;TIMM13;SUCLG1;COX6C;ALDH6A1;ATP6V1D,39/103
