,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.03180854286579825,-0.457228087226359,-1.7669273835466726,0.00196078431372549,OGFR;SLC25A28;GBP2;SAMD9L;TDRD7;IL7;CMPK2;IFI30;PLSCR1;NMI;PNPT1;RIPK2;RSAD2;RNF31;SAMD9;STAT2;DHX58;USP18;TXNIP;ISG20;PROCR;SELL;TRIM26;GMPR;TRIM25;IRF2;TRIM21;NUB1;RTP4;BATF2;IFI35;TAP1;IL4R;PSME2;IFIT2;GBP4;UBA7;TMEM140;IRF1;CNP;LGALS3BP;LAMP3;LAP3;IRF9;BST2;IFI44;PARP12;PARP14;DDX60;B2M;HLA-C,21.17%,HLA-C;B2M;DDX60;PARP14;PARP12;IFI44;BST2;IRF9;LAP3;LAMP3;LGALS3BP;CNP;IRF1;TMEM140;UBA7;GBP4;IFIT2;PSME2;IL4R;TAP1;IFI35;BATF2;RTP4;NUB1,24/51
1,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.07087148185825703,0.536927436567245,1.6870529372916965,0.014198782961460446,GNAI1;NCSTN;MAML1;MYC;JAG1;ADAM17;HEY2;WNT1;DKK4;DVL2;AXIN2;WNT6;NOTCH4;NOTCH1;KAT2A;DKK1;DLL1;CCND2;NKD1;CUL1;HDAC2,15.41%,GNAI1;NCSTN;MAML1;MYC;JAG1;ADAM17;HEY2,7/21
2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.11190233977619532,0.35415269112789866,1.571820582460321,0.00663716814159292,ACAA2;OXA1L;ATP6V1F;NDUFV2;FH;UQCRB;MRPS30;CYC1;COX5B;NDUFA4;MRPL15;NDUFB1;MRPL34;UQCRC1;NDUFA6;FDX1;SDHB;UQCRFS1;GOT2;NDUFAB1;NDUFA7;DLAT;COX7C;ACO2;ECH1;SLC25A4;UQCRQ;COX6C;AFG3L2;NDUFA9;ATP6V1G1;VDAC2;TIMM17A;IDH3A;SUCLA2;NDUFB5;CS;TIMM50;SUCLG1;NDUFA5;ATP6V1D;PDHB;TIMM13;NDUFA3;UQCRH;COX17;GLUD1;SLC25A12;MDH2;GPI;SURF1;MTRF1;UQCRC2;VDAC1;ISCA1;NDUFB7;NDUFS4;NQO2;NDUFB2;SLC25A20;ATP6V0C;CYB5R3;COX4I1;NDUFB8;LDHB;OAT;PMPCA;DLST;ALDH6A1;ETFB;COX6A1;MRPS22;IDH2;MDH1;TOMM22;ECHS1;NDUFS6;MGST3;HSPA9;ACADSB;COX10;RHOT2;DECR1;ACAT1;COX8A;NDUFC2;GRPEL1;TIMM10;NDUFC1;NDUFS7;SDHD;DLD;POLR2F;PDK4;ATP6V0E1;POR;COX6B1;MRPS15;SUPV3L1;NDUFS8;RETSAT;COX5A;LRPPRC,25.81%,ACAA2;OXA1L;ATP6V1F;NDUFV2;FH;UQCRB;MRPS30;CYC1;COX5B;NDUFA4;MRPL15;NDUFB1;MRPL34;UQCRC1;NDUFA6;FDX1;SDHB;UQCRFS1;GOT2;NDUFAB1;NDUFA7;DLAT;COX7C;ACO2;ECH1;SLC25A4;UQCRQ;COX6C;AFG3L2;NDUFA9;ATP6V1G1;VDAC2;TIMM17A;IDH3A;SUCLA2;NDUFB5;CS;TIMM50;SUCLG1;NDUFA5,40/103
3,HALLMARK_INFLAMMATORY_RESPONSE,0.1643441381399576,-0.3500077809048471,-1.5643233128385379,0.005484460694698354,IL1A;EMP3;TLR3;TACR1;MYC;IFNAR1;TNFSF9;GNA15;GNAI3;DCBLD2;ITGB8;MMP14;PCDH7;HAS2;KIF1B;ABCA1;ACVR2A;ITGB3;IL7R;NMI;EBI3;HBEGF;TLR1;GP1BA;RAF1;CCL22;IL12B;IFNGR2;KCNJ2;CD48;TNFSF10;BTG2;CALCRL;FPR1;RIPK2;IL2RB;SLC7A1;TNFAIP6;PTGER4;CXCL6;F3;P2RX4;SLAMF1;IL18R1;SRI;SEMA4D;RGS16;SELE;PTGER2;IL18RAP;ADM;TNFRSF1B;CXCL9;STAB1;CCL5;CHST2;RNF144B;MXD1;CCL2;CX3CL1;TNFRSF9;ITGA5;LIF;IRAK2;FZD5;LCP2;ADORA2B;SELL;C5AR1;TLR2;INHBA;IL1R1;EREG;TNFSF15;MEFV;CCL24;SLC11A2;LDLR;RTP4;NPFFR2;CD70;SCN1B;MARCO;IL4R;OPRK1;C3AR1;OSMR;NFKBIA;AHR;IRF1;TACR3;RHOG;CCL17;GPR132;OSM;NMUR1;BDKRB1;IL1B;NAMPT;LAMP3;CCR7;ROS1;BST2;CCL7;IL6;P2RX7;SLC31A2;ICAM1;RGS1;OLR1;IL10;NOD2;SLC1A2;PTGIR,20.63%,PTGIR;SLC1A2;NOD2;IL10;OLR1;RGS1;ICAM1;SLC31A2;P2RX7;IL6;CCL7;BST2;ROS1;CCR7;LAMP3;NAMPT;IL1B;BDKRB1;NMUR1;OSM;GPR132;CCL17;RHOG;TACR3;IRF1;AHR;NFKBIA;OSMR;C3AR1;OPRK1;IL4R;MARCO;SCN1B;CD70;NPFFR2;RTP4,36/114
4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.31949914167424015,-0.31896700054967314,-1.4314805133292374,0.0149812734082397,HES1;IL1A;REL;AREG;GADD45B;MYC;EIF1;JAG1;TNFSF9;B4GALT1;KLF10;DUSP1;PER1;PFKFB3;TNFAIP8;TUBB2A;ZFP36;TNFAIP3;SDC4;FOSL2;BTG1;ABCA1;IL7R;CD80;HBEGF;KYNU;IL12B;PTGS2;CSF2;TNC;FOSL1;IFNGR2;SMAD3;BTG2;RIPK2;CCNL1;TNFAIP6;PTGER4;CXCL6;F2RL1;CXCL2;F3;EGR1;CXCL3;SGK1;RELB;IER3;KDM6B;DNAJB4;SPSB1;CCND1;MARCKS;YRDC;CCL5;MXD1;CCL2;PNRC1;EGR3;TNFRSF9;LIF;TNFAIP2;CXCL1;KLF2;NR4A2;TNF;TSC22D1;IRS2;MSC;BMP2;TLR2;DUSP2;INHBA;ZC3H12A;TRIP10;BIRC2;IER2;DENND5A;SNN;GADD45A;LDLR;MAP3K8;ID2;BHLHE40;DUSP5;TAP1;NFKBIE;SOCS3;IFIT2;B4GALT5;NFKBIA;MAP2K3;TRAF1;IRF1;TIPARP;PLK2;TANK;ETS2;KLF4;KLF9;STAT5A;GFPT2;IL1B;NAMPT;PPP1R15A;BCL3;PLEK;NINJ1;IL6;EHD1;DRAM1;ICAM1;PANX1;OLR1;FOS;TRIB1;IL23A;TNIP1,17.09%,TNIP1;IL23A;TRIB1;FOS;OLR1;PANX1;ICAM1;DRAM1;EHD1;IL6;NINJ1;PLEK;BCL3;PPP1R15A;NAMPT;IL1B;GFPT2;STAT5A;KLF9;KLF4;ETS2;TANK;PLK2;TIPARP;IRF1;TRAF1;MAP2K3;NFKBIA;B4GALT5;IFIT2;SOCS3;NFKBIE,32/117
5,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.3342547712814299,-0.31396538477588354,-1.3886483743726283,0.030360531309297913,PIM1;SOCS1;PTPN6;OGFR;PNP;SLC25A28;SLAMF7;CIITA;C1R;JAK2;SAMHD1;TOR1B;MX2;SAMD9L;TDRD7;IL7;GZMA;NLRC5;GBP6;ISOC1;TNFAIP3;CMPK2;CSF2RB;KLRK1;BTG1;OAS3;SECTM1;IFI30;PLSCR1;ST3GAL5;NMI;HLA-A;HLA-DRB1;ST8SIA4;PTGS2;PSMB10;TNFSF10;PNPT1;FPR1;RIPK2;IL2RB;TNFAIP6;RSAD2;RNF31;IRF8;STAT2;DHX58;CD38;SRI;PSMA2;USP18;CFB;CXCL9;RIPK1;CCL5;CCL2;LATS2;TXNIP;ISG20;SELP;TNFAIP2;LCP2;NUP93;PTPN1;TRIM26;CFH;SPPL2A;TRIM25;VAMP5;IRF2;ARID5B;TRIM21;VAMP8;ITGB7;RNF213;RTP4;MYD88;BATF2;IFI35;TAP1;IL4R;SOCS3;NOD1;PSME2;IFIT2;GBP4;NFKBIA;HLA-DMA;STAT4;IRF1;CD86;IDO1;APOL6;LGALS3BP;NAMPT;HLA-G;HLA-B;LAP3;ZNFX1;IRF9;BST2;IFI44;CCL7;PARP12;IL6;PSMB2;PARP14;IFIT1;ICAM1;MT2A;DDX60;B2M;PFKP;PLA2G4A,21.75%,PLA2G4A;PFKP;B2M;DDX60;MT2A;ICAM1;IFIT1;PARP14;PSMB2;IL6;PARP12;CCL7;IFI44;BST2;IRF9;ZNFX1;LAP3;HLA-B;HLA-G;NAMPT;LGALS3BP;APOL6;IDO1;CD86;IRF1;STAT4;HLA-DMA;NFKBIA;GBP4;IFIT2;PSME2;NOD1;SOCS3;IL4R;TAP1;IFI35;BATF2;MYD88;RTP4;RNF213;ITGB7,41/114
6,HALLMARK_UV_RESPONSE_UP,0.4034383520145411,-0.31739549752641694,-1.3028973119649296,0.08964143426294821,ATP6V1F;SPR;KLHDC3;TST;TUBA4A;GLS;FGF18;FKBP4;GGH;SLC25A4;MMP14;CA2;BTG1;DDX21;PPP1R2;CDC5L;APOM;POLR2H;WIZ;UROD;CEBPG;HSPA13;MRPL23;BTG2;RXRB;STK25;CXCL2;PRKACA;NPTX2;LHX2;ENO2;PLCL1;RPN1;MSX1;YKT6;FURIN;EPCAM;POLG2;ONECUT1;BMP2;NPTXR;CYB5B;PPIF;FMO1;TCHH;CDO1;ABCB1;DNAJB1;STIP1;IGFBP2;GRPEL1;PPAT;PDAP1;TAP1;GPX3;CCK;PRPF3;OLFM1;GAL;NFKBIA;CYP1A1;IRF1;TYRO3;CNP;TACR3;SULT1A1;CREG1;CHRNA5;IL6;ICAM1;PSMC3;CYB5R1;FOS;HMOX1;CDC34,19.01%,CDC34;HMOX1;FOS;CYB5R1;PSMC3;ICAM1;IL6;CHRNA5;CREG1;SULT1A1;TACR3;CNP;TYRO3;IRF1;CYP1A1;NFKBIA;GAL;OLFM1;PRPF3;CCK;GPX3;TAP1;PDAP1,23/75
7,HALLMARK_GLYCOLYSIS,0.43111178430778546,-0.3052693679170726,-1.3216728085038398,0.055226824457593686,MPI;GOT1;DDIT4;HSPA5;PPIA;ALDH9A1;EFNA3;MIF;GOT2;PMM2;FKBP4;EGLN3;PYGB;B4GALT1;NOL3;STMN1;CLN6;GCLC;PGLS;SOX9;KIF20A;HOMER1;GAL3ST1;MDH2;PLOD1;ZNF292;TALDO1;ALDOB;SLC35A3;SDC2;GNE;TPST1;GFPT1;COL5A1;PGAM1;LCT;ABCB6;RRAGD;SPAG4;IER3;NANP;SLC25A10;B3GAT3;GUSB;CXCR4;ENO2;DPYSL4;MXI1;BIK;GALK1;CHST2;FAM162A;MERTK;STC1;ARPP19;GYS2;ISG20;MDH1;SDC3;ME1;SOD1;PPFIA4;LHX9;CHST6;CAPN5;ENO1;ADORA2B;IRS2;CHST12;NDST3;PGAM2;NT5E;ALDH7A1;GNPDA1;TXN;XYLT2;TGFBI;STC2;DLD;CHPF2;GPC1;TFF3;PGM2;SRD5A3;SAP30;GLCE;ALG1;B3GNT3;CHST1;EGFR;FBP2;EXT1;CHPF;B4GALT7;HK2;GAPDHS;PAXIP1;PFKP,6.16%,PFKP;PAXIP1;GAPDHS;HK2;B4GALT7;CHPF;EXT1;FBP2;EGFR;CHST1;B3GNT3;ALG1,12/98
8,HALLMARK_ADIPOGENESIS,0.447920198937493,0.29427592805375125,1.3452290391697772,0.029723991507430998,ACAA2;COQ5;LTC4S;SAMM50;CYC1;MRPL15;CHCHD10;APOE;UQCRC1;SCP2;ATP1B3;REEP5;CHUK;TST;SDHB;SLC25A1;COL4A1;NDUFAB1;EPHX2;PEMT;BAZ2A;DLAT;CD302;ACO2;ECH1;UQCRQ;ANGPT1;LPCAT3;RIOK3;GPAM;PFKFB3;CPT2;DBT;IDH3A;HADH;ABCA1;CS;SUCLG1;NDUFA5;PGM1;ABCB8;SNCG;GBE1;GHITM;ADIPOQ;COL15A1;ACADL;RNF11;MDH2;PPP1R15B;ESRRA;DRAM2;TALDO1;NDUFB7;LPL;LIPE;ADIPOR2;SLC27A1;DHRS7B;PREB;NKIRAS1;SLC25A10;BCL2L13;MTCH2;ETFB;COX6A1;ALDH2;QDPR;ESYT1;ME1;SOD1;MAP4K3;ECHS1;CAT;FZD4;DHRS7;DNAJB9;MGST3;JAGN1;NMT1;ITGA7;HSPB8;UCP2;CCNG2;C3;GADD45A;IFNGR1;DECR1;COX8A;GRPEL1;SLC19A1;VEGFB;DLD;GPX3;POR;ACADS;COQ3;TANK;STAT5A;FAH;SULT1A1;ADIG;PTCD3;RETSAT;REEP6;PEX14;COQ9;DNAJC15;MCCC1;YWHAG;PLIN2,15.46%,ACAA2;COQ5;LTC4S;SAMM50;CYC1;MRPL15;CHCHD10;APOE;UQCRC1;SCP2;ATP1B3;REEP5;CHUK;TST;SDHB;SLC25A1;COL4A1;NDUFAB1;EPHX2;PEMT;BAZ2A;DLAT;CD302;ACO2;ECH1;UQCRQ;ANGPT1;LPCAT3;RIOK3;GPAM;PFKFB3,31/111
9,HALLMARK_ANDROGEN_RESPONSE,0.5175483214649034,0.32474238957215357,1.2826768085626725,0.09871244635193133,KRT8;PGM3;SLC26A2;IQGAP2;RAB4A;ABCC4;SLC38A2;SRP19;GNAI3;B4GALT1;AKAP12;GSR;SORD;TNFAIP8;PTPN21;STK39;UBE2J1;NKX3-1;XRCC5;LMAN1;SGK1;APPBP2;SEC24D;ADAMTS1;ELOVL5;PA2G4;IDI1;CCND1;STEAP4;MERTK;MAK;BMPR1B;KRT19;SPCS3;TSC22D1;XRCC6;DNAJB9;ANKH;SPDEF;MAP7;ALDH1A3;GPD1L;SRF;TMEM50A;ARID5B;HERC3;FADS1;DHCR24;PIAS1;ELL2;ZMIZ1;HSD17B14;SCD;B2M,18.04%,KRT8;PGM3;SLC26A2;IQGAP2;RAB4A;ABCC4;SLC38A2;SRP19;GNAI3;B4GALT1;AKAP12;GSR;SORD;TNFAIP8;PTPN21,15/54
