,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.09819524200164069,-0.447870041298709,-1.64242518188484,0.0055248618784530384,CD9;IL18R1;IFNGR2;TNFRSF12A;LTBR;IL10RB;PF4;TYK2;HMOX1;CSF2RB;PDGFC;CXCL13;PIM1;IL6;SOCS3;A2M;CSF2;PTPN11;TGFB1;INHBE;IL17RB;IL1R1;IL4R;IL7;IL2RA;MAP3K8;PTPN1;CXCL1;OSMR;REG1A;TNFRSF1A;IRF9;MYD88;CXCL9;CCL7;TNFRSF21;IRF1;TNFRSF1B;STAM2;EBI3;IFNGR1;CD38;TLR2;IFNAR1;SOCS1;CBL;IL17RA;CXCL3;ITGA4;IL1B;TNF;STAT2;ITGB3,24.67%,ITGB3;STAT2;TNF;IL1B;ITGA4;CXCL3;IL17RA;CBL;SOCS1;IFNAR1;TLR2;CD38;IFNGR1;EBI3;STAM2;TNFRSF1B;IRF1;TNFRSF21;CCL7;CXCL9;MYD88,21/53
1,HALLMARK_PROTEIN_SECRETION,0.09991796554552913,-0.4384623804490867,-1.5964347326540267,0.013333333333333334,VAMP4;IGF2R;MON2;STX7;ARFGEF1;ADAM10;TMED10;BNIP3;SEC24D;CTSC;AP3S1;NAPA;TSPAN8;GOLGA4;CLN5;EGFR;TOM1L1;STAM;SNX2;ATP6V1B1;GBF1;ABCA1;AP3B1;CLTC;KIF1B;USO1;SOD1;BET1;DST;RAB22A;RAB14;ARFGEF2;SCAMP1;TSG101;RAB2A;VPS45;TMX1;TMED2;LMAN1;VPS4B;SEC22B;VAMP3;NAPG;YKT6;STX12;SH3GL2,15.93%,SH3GL2;STX12;YKT6;NAPG;VAMP3;SEC22B;VPS4B;LMAN1;TMED2;TMX1;VPS45;RAB2A;TSG101;SCAMP1;ARFGEF2;RAB14,16/46
2,HALLMARK_INFLAMMATORY_RESPONSE,0.10037735849056605,-0.3713734641197182,-1.5459670044773552,0.005076142131979695,CCR7;TNFSF15;GNA15;STAB1;EREG;RHOG;F3;ADORA2B;SCN1B;IL18R1;CCL17;IFNGR2;SLC7A1;ITGB8;GPR132;RGS1;RGS16;SELE;NMUR1;SLC11A2;CCL5;RIPK2;RNF144B;CXCL6;MEFV;IL6;PTGIR;SLC31A2;FZD5;LAMP3;P2RX7;CCL2;GP1BA;ACVR2A;TACR3;CD70;ABCA1;NPFFR2;SLC1A2;RAF1;CX3CL1;IL1R1;BDKRB1;MYC;C3AR1;IL4R;EMP3;OPRK1;MXD1;PCDH7;BST2;KIF1B;TNFSF10;TNFAIP6;C5AR1;ITGA5;SRI;TLR3;IL1A;ADM;GNAI3;TLR1;AHR;IL2RB;OSMR;RTP4;FPR1;MARCO;ICAM1;TNFSF9;NAMPT;HBEGF;CXCL9;NFKBIA;CCL7;IL12B;CCL24;IRF1;LCP2;CHST2;TNFRSF1B;PTGER2;MMP14;IL7R;EBI3;IL10;CALCRL;P2RX4;LDLR;IRAK2;SLAMF1;NOD2;INHBA;CCL22;SEMA4D;CD48;TLR2;LIF;IFNAR1;PTGER4;BTG2;SELL;OSM;OLR1;NMI;IL1B;IL18RAP;TACR1;DCBLD2;ROS1;KCNJ2;HAS2;TNFRSF9;ITGB3,26.03%,ITGB3;TNFRSF9;HAS2;KCNJ2;ROS1;DCBLD2;TACR1;IL18RAP;IL1B;NMI;OLR1;OSM;SELL;BTG2;PTGER4;IFNAR1;LIF;TLR2;CD48;SEMA4D;CCL22;INHBA;NOD2;SLAMF1;IRAK2;LDLR;P2RX4;CALCRL;IL10;EBI3;IL7R;MMP14;PTGER2;TNFRSF1B;CHST2;LCP2;IRF1;CCL24;IL12B;CCL7;NFKBIA;CXCL9;HBEGF;NAMPT,44/114
3,HALLMARK_MITOTIC_SPINDLE,0.10164068908941756,-0.3758254758943992,-1.566206144237833,0.005249343832020997,NCK1;ALMS1;ABL1;LRPPRC;ARHGAP29;KIF3B;SASS6;NEK2;RASA2;FGD4;CD2AP;DYNC1H1;ARFGEF1;PREX1;KIF5B;NEDD9;CENPJ;ROCK1;TAOK2;SPTBN1;KPTN;MYO1E;ARHGDIA;RASAL2;SOS1;MAP1S;MAP3K11;DYNLL2;ESPL1;MYH10;KIF2C;CDC42EP4;TRIO;NOTCH2;CDC42EP2;ECT2;PLEKHG2;KIF3C;TBCD;CENPF;NUMA1;CAPZB;LATS1;ANLN;KNTC1;SHROOM1;ARL8A;MYH9;PAFAH1B1;ARHGEF3;KIF1B;RABGAP1;CENPE;CDC42EP1;DOCK4;STK38L;CEP250;KATNB1;RHOT2;RAPGEF5;DOCK2;KIF22;MARK4;SMC3;MAPRE1;FARP1;ARHGEF12;FSCN1;PIF1;TUBD1;RHOF;DST;LLGL1;SAC3D1;RFC1;PLK1;PKD2;TOP2A;ACTN4;TIAM1;ARHGAP10;TUBGCP2;TUBA4A;SYNPO;KIF20B;FGD6;WASF2;SSH2;CCNB2;MARCKS;CEP57;HOOK3;BUB1;TUBGCP3;PPP4R2;KIFAP3;PCM1;RICTOR;BRCA2;NET1;PCGF5;ARAP3;CEP192;LMNB1;WASL;RANBP9;RAB3GAP1;KIF11,15.62%,KIF11;RAB3GAP1;RANBP9;WASL;LMNB1;CEP192;ARAP3;PCGF5;NET1;BRCA2;RICTOR;PCM1;KIFAP3;PPP4R2;TUBGCP3;BUB1;HOOK3;CEP57;MARCKS;CCNB2;SSH2;WASF2;FGD6;KIF20B;SYNPO;TUBA4A;TUBGCP2;ARHGAP10;TIAM1;ACTN4;TOP2A;PKD2,32/108
4,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.11550451189499591,-0.3596167773415604,-1.490401630680484,0.007772020725388601,PTGS2;KLF4;DUSP1;SDC4;BHLHE40;TNFAIP2;TRIP10;FOSL2;B4GALT1;F3;ETS2;PNRC1;CCND1;IFNGR2;RELB;BMP2;FOS;TRIB1;DRAM1;SPSB1;CCL5;NINJ1;TNIP1;RIPK2;CXCL6;SMAD3;EGR1;TIPARP;JAG1;B4GALT5;IL6;PPP1R15A;SGK1;CCL2;CCNL1;SOCS3;PFKFB3;DNAJB4;EIF1;CSF2;PER1;MSC;ABCA1;TANK;AREG;EGR3;DUSP5;BCL3;F2RL1;PANX1;MYC;PLK2;IER3;GFPT2;MXD1;CXCL2;TNFAIP6;SNN;MAP3K8;IL1A;IER2;KLF9;BIRC2;CXCL1;FOSL1;REL;ICAM1;YRDC;KYNU;TNFSF9;NR4A2;ZC3H12A;NAMPT;IL23A;HBEGF;KDM6B;NFKBIA;IL12B;TNC;STAT5A;IRF1;IFIT2;IL7R;BTG1;IRS2;CD80;KLF2;TNFAIP3;HES1;LDLR;TAP1;EHD1;TUBB2A;DUSP2;INHBA;GADD45B;TLR2;LIF;PTGER4;BTG2;MARCKS;ID2;OLR1;CXCL3;NFKBIE;TRAF1;KLF10;TNFAIP8;DENND5A;IL1B;MAP2K3;TNF;ZFP36;TSC22D1;PLEK;GADD45A;TNFRSF9,26.34%,TNFRSF9;GADD45A;PLEK;TSC22D1;ZFP36;TNF;MAP2K3;IL1B;DENND5A;TNFAIP8;KLF10;TRAF1;NFKBIE;CXCL3;OLR1;ID2;MARCKS;BTG2;PTGER4;LIF;TLR2;GADD45B;INHBA;DUSP2;TUBB2A;EHD1;TAP1;LDLR;HES1;TNFAIP3;KLF2;CD80;IRS2;BTG1;IL7R;IFIT2;IRF1;STAT5A;TNC;IL12B;NFKBIA;KDM6B;HBEGF;IL23A;NAMPT;ZC3H12A;NR4A2,47/117
5,HALLMARK_P53_PATHWAY,0.12614164615805307,-0.36784176042068817,-1.4999612185755813,0.00646830530401035,WWP1;KLF4;CSRNP2;HSPA4L;GLS2;ZFP36L1;NUDT15;TRAF4;PROCR;SLC19A2;PERP;PMM1;ABCC5;RAD9A;BMP2;FOS;RGS16;DRAM1;NINJ1;CGRRF1;SEC61A1;SERPINB5;HMOX1;VAMP8;PVT1;AK1;DCXR;CDKN2AIP;PPP1R15A;S100A10;GPX2;TM7SF3;FUCA1;CTSF;LDHB;CDH13;DDIT4;INHBB;RPL18;TCHH;TGFB1;ABHD4;TM4SF1;RB1;NOTCH1;POLH;KIF13B;RALGDS;PLK2;IER3;TCN2;PRKAB1;MXD1;MAPKAPK3;IL1A;MXD4;ZNF365;TAX1BP3;TPRKB;DEF6;TNFSF9;PLK3;HBEGF;TNNI1;CCND2;RETSAT;AEN;SESN1;BTG1;CDK5R1;RAB40C;RXRA;EPS8L2;PTPN14;CD81;PPM1D;TAP1;SLC35D1;SLC7A11;ANKRA2;ERCC5;ADA;LIF;EPHA2;SOCS1;IFI30;BTG2;F2R;RRP8;ST14;TXNIP;CLCA2;DNTTIP2;RPS27L;HDAC3;FAM162A;DDB2;TSC22D1;GADD45A,22.52%,GADD45A;TSC22D1;DDB2;FAM162A;HDAC3;RPS27L;DNTTIP2;CLCA2;TXNIP;ST14;RRP8;F2R;BTG2;IFI30;SOCS1;EPHA2;LIF;ADA;ERCC5;ANKRA2;SLC7A11;SLC35D1;TAP1;PPM1D;CD81;PTPN14;EPS8L2;RXRA;RAB40C;CDK5R1;BTG1;SESN1;AEN;RETSAT,34/99
6,HALLMARK_MYC_TARGETS_V1,0.13998723908486008,-0.3529178565021024,-1.4401227093017328,0.02423469387755102,EIF2S1;RANBP1;SSBP1;MCM6;SNRPD3;HDDC2;CUL1;PSMC6;PSMD1;PSMA1;PSMB3;AIMP2;EIF3D;GLO1;AP3S1;PWP1;PSMA7;PSMD7;RUVBL2;CDK4;NOP16;SRM;NDUFAB1;CCT5;RPS10;EXOSC7;LSM2;MCM5;RPL18;LSM7;RRM1;VDAC1;IMPDH2;CDC20;MRPL23;MYC;HSPE1;UBA2;EIF2S2;HNRNPA3;ETF1;PRPF31;SNRPD1;HDAC2;PA2G4;YWHAQ;RPS6;PSMD8;EIF3J;PABPC1;SF3B3;XPO1;SNRPA;STARD7;FAM120A;PSMD14;ILF2;MAD2L1;RPL22;DDX21;ERH;RPS3;MRPS18B;MCM2;PSMA2;SRPK1;CCNA2;RRP9;COPS5;COX5A;HSP90AB1;TUFM;SNRPA1;PSMA6;SMARCC1;CCT4;SNRPG;C1QBP;PPIA;NOLC1;SET;RSL1D1;PTGES3;RAN;DDX18;DHX15;PSMD3;XRCC6;CCT2;FBL;CAD;GOT2;PSMB2;RAD23B;TYMS;ODC1;KPNB1;CYC1;CLNS1A;TRA2B,25.18%,TRA2B;CLNS1A;CYC1;KPNB1;ODC1;TYMS;RAD23B;PSMB2;GOT2;CAD;FBL;CCT2;XRCC6;PSMD3;DHX15;DDX18;RAN;PTGES3;RSL1D1;SET;NOLC1;PPIA;C1QBP;SNRPG;CCT4;SMARCC1;PSMA6;SNRPA1;TUFM;HSP90AB1;COX5A;COPS5;RRP9;CCNA2;SRPK1;PSMA2;MCM2;MRPS18B;RPS3;ERH;DDX21;RPL22;MAD2L1,43/100
7,HALLMARK_ALLOGRAFT_REJECTION,0.15045118949958985,-0.39998987978940537,-1.6709849278435915,0.0,NCK1;KRT1;STAB1;SRGN;EREG;GPR65;IL11;F2;EIF3D;IFNGR2;JAK2;HCLS1;NOS2;GZMB;RPL3L;PF4;CCL5;PRKCG;RIPK2;TRAF2;CXCL13;CTSS;IL6;EGFR;CCL2;IL16;ZAP70;PSMB10;ACVR2A;INHBB;GZMA;TGFB1;HLA-DOA;BCL3;TLR6;HLA-G;CD3G;LY75;IL4R;IL7;CARTPT;IL2RA;BCL10;HLA-E;UBE2D1;TLR3;PTPN6;GLMN;MMP9;CAPG;TLR1;IL2RB;IRF8;ELANE;BCAT1;ETS1;RPS9;IL12A;HLA-A;EIF3J;CRTAM;MRPL3;IL2;ICAM1;CD1D;LY86;CD7;EIF4G3;CCL11;CCND2;CXCL9;CCL7;IL12B;HLA-DMA;LCP2;CCL19;CD4;CD80;TRAT1;IL9;IL10;IFNG;HLA-DRA;TAP1;HLA-DMB;IFNGR1;GBP2;STAT4;IKBKB;UBE2N;INHBA;CCL22;ITK;B2M;TLR2;GALNT1;LIF;CD86;SOCS1;CD3E;F2R;CD2;EIF3A;IL27RA;RPS19;CD28;THY1;RPS3A;IL13;IL1B;IL18RAP;TNF;SIT1;HLA-DOB;ST8SIA4,25.32%,ST8SIA4;HLA-DOB;SIT1;TNF;IL18RAP;IL1B;IL13;RPS3A;THY1;CD28;RPS19;IL27RA;EIF3A;CD2;F2R;CD3E;SOCS1;CD86;LIF;GALNT1;TLR2;B2M;ITK;CCL22;INHBA;UBE2N;IKBKB;STAT4;GBP2;IFNGR1;HLA-DMB;TAP1;HLA-DRA;IFNG;IL10;IL9;TRAT1;CD80;CD4;CCL19;LCP2;HLA-DMA;IL12B;CCL7;CXCL9;CCND2;CCL11;EIF4G3,48/115
8,HALLMARK_E2F_TARGETS,0.15619360131255128,-0.3571015572515942,-1.4416644192712424,0.025232403718459494,MELK;RPA3;EIF2S1;RANBP1;AURKB;POP7;MCM6;STMN1;BRMS1L;TUBG1;E2F8;RNASEH2A;PLK4;HELLS;CIT;GINS4;STAG1;SPC24;HUS1;PDS5B;TK1;WDR90;ESPL1;CDK4;TACC3;SLBP;KIF2C;CDCA3;UBE2S;POLD1;DCLRE1B;CTCF;KIF18B;PRIM2;NUDT21;PTTG1;MCM5;PNN;NUP205;MSH2;CDC20;TRIP13;MYC;CENPE;RPA1;LIG1;NCAPD2;PA2G4;KIF22;SMC3;POLE4;MCM3;SPC25;XPO1;CDKN1B;ASF1A;MAD2L1;MYBL2;ATAD2;TIMELESS;MCM2;ASF1B;RAD21;DONSON;DSCC1;RFC1;RFC3;PLK1;BARD1;POLD3;TOP2A;PPM1D;TUBB;GINS1;DCTPP1;NOLC1;NUP153;NUP107;RAN;IPO7;EXOSC8;XRCC6;CCNB2;POLA2;BRCA2;DIAPH3;CDCA8;NAA38;SSRP1;TRA2B;CKS2;LMNB1;DCK;NBN;SPAG5;RPA2;BUB1B,22.84%,BUB1B;RPA2;SPAG5;NBN;DCK;LMNB1;CKS2;TRA2B;SSRP1;NAA38;CDCA8;DIAPH3;BRCA2;POLA2;CCNB2;XRCC6;EXOSC8;IPO7;RAN;NUP107;NUP153;NOLC1;DCTPP1;GINS1;TUBB;PPM1D;TOP2A;POLD3;BARD1;PLK1;RFC3;RFC1;DSCC1;DONSON;RAD21;ASF1B;MCM2;TIMELESS;ATAD2,39/97
9,HALLMARK_DNA_REPAIR,0.2389991796554553,-0.3458138656779059,-1.362179331418088,0.0681198910081744,RPA3;NPR2;POLR2A;RALA;TAF13;SNAPC4;NME3;VPS37B;POLR2C;POLR1D;REV3L;COX17;HCLS1;RRM2B;TAF10;SEC61A1;ARL6IP1;BRF2;AK1;POLR2E;ERCC3;POLD1;POLR2H;POLR3C;CSTF3;NUDT21;SF3A3;POLR2F;VPS37D;STX3;GTF2H5;POLR3GL;POLH;IMPDH2;ELL;RAD52;POLB;GTF2B;GTF2A2;MRPL40;POLR2D;DDB1;NT5C;LIG1;POLR2G;EDF1;POLE4;POLL;DGCR8;SUPT4H1;ERCC4;PNP;CCNO;CDA;SAC3D1;SURF1;SNAPC5;RFC3;PRIM1;POLD3;TK2;TSG101;ERCC5;ADA;GTF2F1;TMED2;GTF2H3;POLA2;CMPK2;TYMS;RBX1;AAAS;SSRP1;RNMT;DDB2;EIF1B;RPA2,20.44%,RPA2;EIF1B;DDB2;RNMT;SSRP1;AAAS;RBX1;TYMS;CMPK2;POLA2;GTF2H3;TMED2;GTF2F1;ADA;ERCC5;TSG101;TK2;POLD3;PRIM1;RFC3;SNAPC5;SURF1;SAC3D1,23/77
