,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_DNA_REPAIR,0.04662333992653292,-0.594693738343599,-1.6514727536326408,0.0,POLR3GL;POLR3C;GTF2H3;TMED2;VPS37B;SNAPC5;RAD52;RRM2B;POLB;IMPDH2;CDA;RPA2;ADA;SF3A3;GTF2H5;PNP;GTF2F1;REV3L;VPS37D;GTF2A2;RALA;POLR2H;RPA3;POLE4;CMPK2;POLH;POLR1D;RFC3;POLL;BRF2;POLR2E;PRIM1;AAAS;ERCC5;EIF1B;NPR2;GTF2B;TYMS;RNMT;NT5C;SUPT4H1;POLR2A;ELL;SEC61A1;HCLS1;COX17;AK1;SURF1;SNAPC4;EDF1;CCNO;POLD1;LIG1;ERCC3;POLR2D;NME3;ARL6IP1;ERCC4;TK2;POLR2C;NUDT21;CSTF3;DDB1;POLR2G;POLA2;SAC3D1;POLD3;SSRP1;DDB2;STX3;TAF13;POLR2F;RBX1;TSG101;TAF10;DGCR8;MRPL40,11.12%,MRPL40;DGCR8;TAF10;TSG101;RBX1;POLR2F;TAF13;STX3;DDB2;SSRP1;POLD3;SAC3D1;POLA2;POLR2G;DDB1;CSTF3;NUDT21;POLR2C;TK2,19/77
1,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.485918809456532,-0.49982505674447225,-1.413972843822093,0.015317286652078774,LAD1;OPN3;SLC19A2;ISG20L2;ANXA9;HSPB8;MED13L;IGF1R;THSD4;LRIG1;MYC;FKBP4;KLF10;TFAP2C;IL17RB;KCNK15;SLC2A1;TTC39A;SLC24A3;SIAH2;TIPARP;CHPT1;KDM4B;OVOL2;BLVRB;ADCY1;CYP26B1;ELOVL5;RPS6KA2;KCNK5;ARL3;INPP5F;PPIF;AREG;PEX11A;BCL2;KLF4;UGCG;KRT8;HES1;RAB17;FRK;TUBB2B;GREB1;FARP1;EGR3;FDFT1;TJP3;TFF3;TFF1;SLC37A1;TIAM1;BHLHE40;B4GALT1;ELOVL2;MICB;NPY1R;OLFML3;NRIP1;AFF1;DHRS3;ITPK1;RAB31;FOS;MREG;SLC9A3R1;INHBB;AKAP1;KRT19;RAPGEFL1;KRT15;IGFBP4;CLDN7;FASN;DLC1;PTGES;OLFM1;CLIC3;SULT2B1;FAM102A;RHOBTB3;ABCA3;STC2;SLC22A5;SNX24;ADCY9;SLC26A2;NADSYN1;MPPED2;CCND1;AMFR;ESRP2;PRSS23;RHOD;SYT12;GAB2;TSKU;JAK2;SLC1A1;SEC14L2;CELSR2;PGR;CELSR1;SYNGR1;CBFA2T3;NAV2;ENDOD1;SLC7A5,10.67%,SLC7A5;ENDOD1;NAV2;CBFA2T3;SYNGR1;CELSR1;PGR;CELSR2;SEC14L2;SLC1A1;JAK2;TSKU;GAB2;SYT12;RHOD;PRSS23;ESRP2;AMFR;CCND1;MPPED2;NADSYN1,21/108
2,HALLMARK_HEDGEHOG_SIGNALING,0.5555429970801545,-0.6187042347943345,-1.3423864511324766,0.1058282208588957,NRP1;HEY2;RTN1;CRMP1;LDB1;SLIT1;NKX6-1;TLE1;SCG2;DPYSL2;ETS2;SHH;UNC5C;CDK5R1;MYH9;CELSR1;THY1,4.38%,THY1;CELSR1;MYH9,3/17
3,HALLMARK_NOTCH_SIGNALING,0.5853819346331355,-0.5945529509503508,-1.3624631943555865,0.09465648854961832,DTX1;WNT5A;HEYL;DLL1;JAG1;NOTCH3;NOTCH2;LFNG;FZD5;HES1;CUL1;SAP30;PRKCA;KAT2A;ST3GAL6;NOTCH1;CCND1;DTX4;RBX1;MAML2,10.10%,MAML2;RBX1;DTX4;CCND1,4/20
4,HALLMARK_MYC_TARGETS_V1,0.6529569976871474,-0.4500037142906463,-1.2473755147885763,0.1252821670428894,ILF2;UBA2;COX5A;SNRPA1;CYC1;PSMA6;MYC;HDAC2;PABPC1;FBL;CCT5;COPS5;PSMD8;PSMA7;SMARCC1;IMPDH2;RRP9;EIF2S2;RAN;PSMB2;CDC20;SNRPD1;HDDC2;PSMC6;PWP1;CCT2;SNRPA;EIF3J;PSMA2;PPIA;AIMP2;RPS6;CCT4;XPO1;SNRPG;HSP90AB1;SRPK1;YWHAQ;ODC1;GLO1;NOLC1;DDX21;MRPS18B;DHX15;HNRNPA3;HSPE1;PSMD14;LSM7;PTGES3;PA2G4;RAD23B;TRA2B;CDK4;FAM120A;PSMD1;CAD;MCM6;EXOSC7;TUFM;LSM2;RPS10;CUL1;SSBP1;MAD2L1;CCNA2;RPL22;SRM;TYMS;DDX18;KPNB1;PSMD3;PSMB3;C1QBP;ERH;EIF2S1;MCM2;SET;PRPF31;RUVBL2;RPL18;NDUFAB1;NOP16;STARD7;AP3S1;VDAC1;ETF1;RSL1D1;SF3B3;GOT2;PSMD7;MRPL23;CLNS1A;RPS3;SNRPD3;EIF3D;MCM5;XRCC6;RRM1;PSMA1;RANBP1,10.77%,RANBP1;PSMA1;RRM1;XRCC6;MCM5;EIF3D;SNRPD3;RPS3;CLNS1A;MRPL23;PSMD7;GOT2;SF3B3,13/100
5,HALLMARK_APICAL_JUNCTION,0.6791466515964961,-0.5072465680391653,-1.420916383674831,0.02040816326530612,ACTA1;THBS3;ITGA10;ACTN2;RHOF;TNFRSF11B;VWF;CDH6;ACTN4;GNAI2;CDH4;PTEN;LDLRAP1;NEGR1;MMP9;COL9A1;COL16A1;SDC3;ICAM1;ICAM5;NRTN;GTF2F1;PPP2R2C;CLDN11;AKT2;SYMPK;VASP;FBN1;ACTC1;GNAI1;EGFR;CLDN15;FSCN1;ACTB;ACTG2;MAPK13;CDK8;COL17A1;SKAP2;SLIT2;ADAM23;TAOK2;AMH;SLC30A3;CLDN18;SORBS3;BMP1;PIK3CB;ADAMTS5;ITGA9;B4GALT1;PBX2;WASL;EXOC4;HADH;NEXN;SPEG;TUBG1;WNK4;KRT31;PFN1;MYH10;NLGN2;CLDN7;CD86;ITGA2;TRAF1;CERCAM;RRAS;ATP1A3;EVL;ADRA1B;TGFBI;STX4;CTNNA1;PCDH1;ACTG1;CX3CL1;CDH11;CDH8;ACTN3;INPPL1;MMP2;CDH3;CDH1;MAP4K2;RAC2;MYH9;YWHAH;LAYN;AMIGO1;MVD;CDH15;PARVA;THY1;JAM3,11.11%,JAM3;THY1;PARVA;CDH15;MVD;AMIGO1;LAYN;YWHAH;MYH9;RAC2;MAP4K2;CDH1;CDH3;MMP2;INPPL1;ACTN3;CDH8;CDH11;CX3CL1,19/96
6,HALLMARK_MYC_TARGETS_V2,0.6792761608740698,-0.4961750604982517,-1.2579843874325836,0.1592920353982301,MYC;RRP9;MRTO4;MAP3K6;NOC4L;UTP20;IPO4;FARSA;NDUFAF4;SORD;AIMP2;HK2;BYSL;NOLC1;PPRC1;SUPV3L1;HSPE1;PA2G4;CDK4;WDR43;IMP4;SLC19A1;PLK4;SRM;DDX18;TMEM97;GRWD1;PLK1;NOP16;DUSP2;DCTPP1;SLC29A2;WDR74;RCL1;MCM5;PES1,10.45%,PES1;MCM5;RCL1;WDR74;SLC29A2,5/36
7,HALLMARK_ADIPOGENESIS,0.6838089855891495,-0.4544631113307828,-1.2948433343775656,0.06584821428571429,PPP1R15B;MGST3;ACADS;COX6A1;HSPB8;COQ5;ALDH2;ACAA2;FAH;IDH3A;CYC1;COQ3;ADIPOR2;LPCAT3;DECR1;ANGPT1;MRPL15;ECH1;UQCRC1;PGM1;SDHB;GADD45A;CPT2;ADIG;SCP2;RNF11;RIOK3;COL4A1;PFKFB3;DHRS7;NDUFB7;C3;ME1;GRPEL1;MCCC1;APOE;YWHAG;MDH2;POR;GBE1;DLD;DNAJB9;IFNGR1;PLIN2;SUCLG1;RETSAT;PTCD3;MAP4K3;DNAJC15;ECHS1;GPAM;CHUK;SNCG;GHITM;QDPR;CCNG2;CD302;TANK;REEP6;BAZ2A;ABCA1;CS;ITGA7;ADIPOQ;ESYT1;COL15A1;PREB;EPHX2;ATP1B3;JAGN1;SOD1;SLC19A1;SULT1A1;NKIRAS1;NDUFA5;ABCB8;HADH;DBT;DRAM2;PEX14;ACADL;STAT5A;NMT1;DHRS7B;PEMT;SLC27A1;LPL;ETFB;LIPE;NDUFAB1;LTC4S;REEP5;GPX3;UQCRQ;SLC25A10;COQ9;UCP2;TALDO1;ESRRA;VEGFB;CAT;COX8A;FZD4;MTCH2;CHCHD10;DLAT;TST;ACO2;SAMM50;BCL2L13;SLC25A1,11.10%,SLC25A1;BCL2L13;SAMM50;ACO2;TST;DLAT;CHCHD10;MTCH2;FZD4;COX8A;CAT;VEGFB;ESRRA;TALDO1;UCP2;COQ9,16/111
8,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.7052705230156487,-0.4459009403291745,-1.2714456769286484,0.10167597765363129,TIMM17A;MGST3;FH;COX6A1;GPI;COX5A;ACAA2;IDH3A;IDH2;CYC1;NDUFA9;DECR1;COX6C;TIMM50;NDUFS6;MRPL15;UQCRB;ECH1;COX6B1;PDHB;UQCRC1;SLC25A20;UQCRH;SDHB;MRPS15;OXA1L;NDUFB7;NDUFA7;GRPEL1;NDUFB5;MRPS30;MDH2;POR;PDK4;DLD;NDUFA4;SUCLG1;RETSAT;MDH1;LRPPRC;MTRF1;SUCLA2;LDHB;ECHS1;ACADSB;SUPV3L1;GLUD1;NDUFB8;OAT;VDAC2;SLC25A12;TIMM13;NDUFS7;CS;ISCA1;NQO2;MRPS22;NDUFA5;ATP6V1F;NDUFC1;SLC25A4;NDUFB2;NDUFB1;DLST;ALDH6A1;AFG3L2;NDUFV2;UQCRFS1;COX10;MRPL34;ATP6V1D;COX17;NDUFS4;ETFB;SURF1;PMPCA;ATP6V1G1;NDUFA3;UQCRC2;NDUFAB1;ATP6V0C;RHOT2;COX7C;COX5B;ATP6V0E1;UQCRQ;VDAC1;HSPA9;GOT2;NDUFS8;COX8A;NDUFC2;TIMM10;ACAT1;SDHD;DLAT;ACO2;POLR2F;TOMM22;FDX1;NDUFA6;CYB5R3;COX4I1,10.60%,COX4I1;CYB5R3;NDUFA6;FDX1;TOMM22;POLR2F;ACO2;DLAT;SDHD;ACAT1;TIMM10;NDUFC2;COX8A;NDUFS8;GOT2,15/103
9,HALLMARK_PANCREAS_BETA_CELLS,0.7203478697686102,-0.4921946759903241,-1.1514809699976403,0.2822349570200573,HNF1A;SEC11A;SRP14;NKX2-2;PCSK2;SLC2A2;GCK;PDX1;FOXO1;NEUROG3;NKX6-1;NEUROD1;DPP4;SST;SCGN;SRPRB;PAX4;CHGA;ISL1;PCSK1;SYT13;ELP4;ABCC8,8.35%,ABCC8;ELP4;SYT13,3/23
