,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_TGF_BETA_SIGNALING,0.6557255314822513,0.38361407144640003,1.0602435171656428,0.40493319630010277,CDH1;KLF10;LEFTY2;BMP2;BMPR2;ID2;SPTBN1;SLC20A1;SMURF2;SMAD7;RAB31;BMPR1A;BCAR3;HDAC1;ID3;CDK9;LTBP2;THBS1;FURIN;SMAD3;IFNGR2;RHOA;PPP1R15A;TGFB1,9.92%,CDH1;KLF10;LEFTY2,3/24
1,HALLMARK_APOPTOSIS,0.6579760730745897,0.33957537630162954,1.0677239287988467,0.374,F2R;MMP2;IRF1;DAP;ANKH;GPX3;ETF1;TXNIP;PEA15;BTG2;RNASEL;PDGFRB;CD38;BMP2;F2;CCND1;PPP2R5B;IL6;NEDD9;IGF2R;EREG;PPP3R1;RETSAT;SLC20A1;IL1A;IL1B;TAP1;TNF;IER3;HSPB1;GSR;BNIP3L;EGR3;EMP1;ROCK1;TIMP2;CAV1;SMAD7;MGMT;GUCY2D;VDAC2;FEZ1;ENO2;TOP2A;CDKN1B;RHOT2;TNFRSF12A;CCND2;DPYD;TGFBR3;BCL10;DNAJC3;GADD45A;TNFSF10;CD2;IGFBP6;ERBB3;AVPR1A;LUM;BCL2L2;PLCB2;HMOX1;GNA15;ISG20;BCL2L10;BIK;SOD1;ANXA1;IFNGR1;GADD45B,36.27%,F2R;MMP2;IRF1;DAP;ANKH;GPX3;ETF1;TXNIP;PEA15;BTG2;RNASEL;PDGFRB;CD38;BMP2;F2;CCND1;PPP2R5B;IL6;NEDD9;IGF2R;EREG;PPP3R1;RETSAT;SLC20A1;IL1A;IL1B;TAP1;TNF;IER3;HSPB1;GSR;BNIP3L;EGR3,33/70
2,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.661380240304305,0.33554518608121503,1.0926839255007386,0.313,ESRP2;AMFR;RHOBTB3;SNX24;SLC22A5;KLF10;STC2;ANXA9;LAD1;SLC19A2;SLC26A2;MYC;ISG20L2;OPN3;KCNK15;RAB17;SLC24A3;OVOL2;GREB1;PRSS23;GAB2;TSKU;NADSYN1;SYT12;CCND1;RHOD;ENDOD1;PGR;MREG;MPPED2;NAV2;ELOVL2;NPY1R;FRK;RPS6KA2;AREG;AFF1;KCNK5;ELOVL5;CYP26B1;INHBB;TUBB2B;MICB;EGR3;ADCY1;KRT15;KRT19;FDFT1;DLC1;AKAP1;FASN;BCL2;RAB31;SLC9A3R1;INPP5F;CLDN7;ARL3;PPIF;FKBP4;RAPGEFL1;IGFBP4;ADCY9;ABCA3;TTC39A;CELSR2;BHLHE40;FARP1;SLC2A1;CHPT1;OLFML3;DHRS3;FAM102A;OLFM1;UGCG;KLF4;KRT8;PTGES;MED13L;HSPB8;ITPK1;FOS;TFF3;TFF1;SLC37A1;KDM4B;TJP3;THSD4;PEX11A;IGF1R;CELSR1;SYNGR1;SLC7A5;NRIP1;SEC14L2;TIAM1;TFAP2C;IL17RB;LRIG1;B4GALT1;TIPARP;SIAH2;HES1;SULT2B1;BLVRB;JAK2;SLC1A1;CBFA2T3;CLIC3,29.18%,ESRP2;AMFR;RHOBTB3;SNX24;SLC22A5;KLF10;STC2;ANXA9;LAD1;SLC19A2;SLC26A2;MYC;ISG20L2;OPN3;KCNK15;RAB17;SLC24A3;OVOL2;GREB1;PRSS23;GAB2;TSKU;NADSYN1;SYT12;CCND1;RHOD;ENDOD1;PGR;MREG;MPPED2;NAV2;ELOVL2;NPY1R;FRK;RPS6KA2;AREG;AFF1;KCNK5;ELOVL5,39/108
3,HALLMARK_COAGULATION,0.6624159546453103,0.3452975582603135,1.0836215808983893,0.337,MMP15;ITGA2;MMP2;SPARC;CTSK;F13B;CFH;RABIF;SERPINC1;CAPN2;LEFTY2;F12;MMP9;PROC;DPP4;CAPN5;PRSS23;MMP7;MMP10;MMP8;F2;KLF7;PREP;FGA;CTSO;PF4;CFI;PLEK;CFB;BMP1;TFPI2;MSRB2;GNB2;SH2B2;HTRA1;GP1BA;CPN1;ITGB3;APOA1;APOC3;C1R;A2M;OLR1;DUSP14;CD9;VWF;F3;C8B;C8A;GNG12;PEF1;TF;C1QA;MASP2;LRP1;LTA4H;PROZ;F10;MMP14;THBS1;COMP;MMP11;C3;FBN1;FURIN;PDGFB;TMPRSS6;ACOX2;ARF4;GP9;GDA;ANXA1;APOC2;APOC1;CRIP2;CFD;F11;KLKB1;C8G,18.95%,MMP15;ITGA2;MMP2;SPARC;CTSK;F13B;CFH;RABIF;SERPINC1;CAPN2;LEFTY2;F12;MMP9;PROC;DPP4;CAPN5;PRSS23;MMP7;MMP10;MMP8;F2,21/79
4,HALLMARK_HYPOXIA,0.6711644524352073,0.3319239603184004,1.0717210017146583,0.354,MT1E;MT2A;MAP3K1;LOX;TGFBI;EXT1;SDC2;STC2;DUSP1;SELENBP1;PPFIA4;EFNA3;BCAN;NDST1;PPARGC1A;HS3ST1;SDC4;PGM2;PDK1;FOSL2;GPC1;CXCR4;KLF7;IL6;SAP30;GCNT2;CCNG2;STBD1;ZNF292;PNRC1;RRAGD;NAGK;HK2;IER3;PIM1;STC1;BNIP3L;PGAM2;GCK;EGFR;HOXB9;PFKP;PFKFB3;PRKCA;CAV1;TES;BCL2;GALK1;DPYSL4;MXI1;ALDOC;PPP1R3C;AMPD3;ADM;NDST2;DDIT4;CHST3;ETS1;ENO2;CDKN1B;ADORA2B;GAPDH;PGM1;F3;BHLHE40;IRS2;EDN2;SDC3;SLC2A1;KLHL24;SLC2A5;ENO1;ERRFI1;HSPA5;ALDOB;COL5A1;LALBA;KIF5A;CSRP2;BTG1;FOS;PGF;TGFB3;SLC25A1;ILVBL;HMOX1;MYH9;MIF;GPI;GAPDHS;NCAN;ISG20;HEXA;PDGFB;RORA;PCK1;FAM162A;GRHPR;TIPARP;SIAH2;CHST2;CP;HAS1;PPP1R15A;SULT2B1;GBE1;TMEM45A;ZFP36;AKAP12;PLIN2;TNFAIP3,13.18%,MT1E;MT2A;MAP3K1;LOX;TGFBI;EXT1;SDC2;STC2;DUSP1;SELENBP1;PPFIA4;EFNA3;BCAN;NDST1;PPARGC1A;HS3ST1;SDC4;PGM2,18/111
5,HALLMARK_ANDROGEN_RESPONSE,0.6875121594514998,0.3497525458560788,1.0931146302451569,0.35040160642570284,IQGAP2;ELL2;TNFAIP8;SRP19;ANKH;SLC26A2;RAB4A;STK39;CCND1;XRCC5;FADS1;SPCS3;MAK;SRF;BMPR1B;HERC3;PGM3;UBE2J1;ELOVL5;MERTK;SEC24D;SPDEF;STEAP4;NKX3-1;GSR;KRT19;IDI1;APPBP2;DNAJB9;LMAN1;ARID5B;ZMIZ1;SCD;DHCR24;GNAI3;TSC22D1;ABCC4;TMEM50A;SLC38A2;KRT8;PA2G4;PTPN21;SORD;B2M;XRCC6;ALDH1A3;PIAS1;ADAMTS1;GPD1L;B4GALT1;HSD17B14;AKAP12;SGK1;MAP7,36.06%,IQGAP2;ELL2;TNFAIP8;SRP19;ANKH;SLC26A2;RAB4A;STK39;CCND1;XRCC5;FADS1;SPCS3;MAK;SRF;BMPR1B;HERC3;PGM3;UBE2J1;ELOVL5;MERTK;SEC24D;SPDEF;STEAP4;NKX3-1;GSR,25/54
6,HALLMARK_PANCREAS_BETA_CELLS,0.6897088819488257,0.392854273636424,1.1012438192880556,0.3675564681724846,PCSK1;ISL1;DPP4;PCSK2;NKX2-2;ABCC8;SYT13;NEUROD1;NKX6-1;SCGN;PAX4;GCK;NEUROG3;PDX1;FOXO1;SRPRB;SLC2A2;CHGA;HNF1A;SRP14;SEC11A;SST;ELP4,37.19%,PCSK1;ISL1;DPP4;PCSK2;NKX2-2;ABCC8;SYT13;NEUROD1;NKX6-1;SCGN;PAX4;GCK,12/23
7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.6930527962186143,0.3489534644225971,1.118740667207079,0.272,GOT2;COX7C;NDUFS4;MRPS30;VDAC1;UQCRQ;DECR1;COX6C;UQCRB;HSPA9;ATP6V0E1;MGST3;TIMM17A;NDUFS6;FH;GRPEL1;SLC25A12;LRPPRC;NDUFC2;ACAT1;NDUFS8;COX8A;TIMM10;NDUFA4;MDH1;SUCLG1;COX5B;RETSAT;NDUFC1;NQO2;POR;MDH2;MRPL15;PDK4;ATP6V1F;NDUFA5;NDUFB2;DLD;NDUFV2;AFG3L2;ACAA2;LDHB;OAT;ACADSB;GLUD1;SUPV3L1;NDUFB8;ECHS1;VDAC2;FDX1;SDHD;DLAT;RHOT2;ATP6V0C;COX10;UQCRC2;NDUFA9;NDUFAB1;UQCRH;SUCLA2;MTRF1;MRPS22;NDUFB5;SDHB;MRPS15;ATP6V1G1;SURF1;ATP6V1D;ISCA1;CS;NDUFB1;COX6A1;OXA1L;DLST;ALDH6A1;MRPL34;NDUFB7;NDUFA7;GPI;COX6B1;UQCRFS1;ACO2;IDH3A;CYB5R3;NDUFA6;IDH2;TOMM22;POLR2F;COX4I1;COX5A;PDHB;COX17;UQCRC1;SLC25A20;CYC1;ETFB;NDUFA3;TIMM50;ECH1;NDUFS7;TIMM13;SLC25A4;PMPCA,12.75%,GOT2;COX7C;NDUFS4;MRPS30;VDAC1;UQCRQ;DECR1;COX6C;UQCRB;HSPA9;ATP6V0E1;MGST3;TIMM17A;NDUFS6;FH;GRPEL1,16/103
8,HALLMARK_PROTEIN_SECRETION,0.7121855542971731,0.36802507912289106,1.1042227334268842,0.34236947791164657,AP3S1;SNX2;AP3B1;SCAMP1;ARFGEF1;VPS45;VAMP4;CTSC;TSG101;IGF2R;USO1;DST;ATP6V1B1;SEC24D;RAB2A;YKT6;BET1;EGFR;STAM;VPS4B;TOM1L1;CLTC;LMAN1;NAPG;BNIP3;GBF1;SEC22B;CLN5;STX12;KIF1B;VAMP3;RAB14;ABCA1;TSPAN8;MON2;TMED2;TMED10;ARFGEF2;ADAM10;SOD1;RAB22A;GOLGA4;SH3GL2;NAPA;STX7;TMX1,9.28%,AP3S1;SNX2;AP3B1;SCAMP1;ARFGEF1;VPS45;VAMP4,7/46
9,HALLMARK_APICAL_SURFACE,0.7161755667401007,0.42826940699514265,1.202007740578743,0.26859504132231404,CX3CL1;EFNA5;CD160;NCOA6;MDGA1;HSPB1;EPHB4;ATP8B1;FLOT2;SLC2A4;RTN4RL1;ADIPOR2;THY1;PCSK9;IL2RB;SCUBE1;RHCG;ADAM10;B4GALT1;DCBLD2;LYPD3;CROCC;AKAP7;SLC34A3,6.90%,CX3CL1;EFNA5;CD160,3/24
