,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_ANDROGEN_RESPONSE,0.8057463667981762,-0.6074797020862315,-1.1649555946748666,0.052,ALDH1A3;PIAS1;ANKH;B2M;SORD;STEAP4;DNAJB9;TSC22D1;LMAN1;STK39;PA2G4;SLC38A2;KRT8;ABCC4;GSR;NKX3-1;ADAMTS1;B4GALT1;SPCS3;SEC24D;BMPR1B;HERC3;PTPN21;FADS1;XRCC5;KRT19;APPBP2;CCND1;HSD17B14;SLC26A2;TNFAIP8;ELL2;SRP19;IQGAP2;XRCC6;MERTK;SCD;ZMIZ1;ARID5B;IDI1;AKAP12;SGK1;MAP7;UBE2J1;PGM3;ELOVL5;SRF;SPDEF;MAK;GPD1L;RAB4A;GNAI3;DHCR24;TMEM50A,22.35%,TMEM50A;DHCR24;GNAI3;RAB4A;GPD1L;MAK;SPDEF;SRF;ELOVL5;PGM3;UBE2J1;MAP7;SGK1;AKAP12;IDI1;ARID5B;ZMIZ1;SCD,18/54
1,HALLMARK_IL2_STAT5_SIGNALING,0.8205996034686479,-0.6112967474204543,-1.1843832738940416,0.002,P2RX4;PDCD2L;IGF1R;FURIN;RORA;FAH;MYC;SYNGR2;CCND2;CA2;CTSZ;CST7;EMP1;GABARAPL1;PNP;SOCS2;PTGER2;PRKCH;CKAP4;BMP2;TNFSF10;MYO1E;ABCB1;AHR;PLIN2;GALM;SPRED2;ANXA4;HK2;MXD1;CAPG;ODC1;BCL2;RHOH;SCN9A;BMPR2;ICOS;GADD45B;IKZF4;PLSCR1;TIAM1;IL4R;SOCS1;COL6A1;IRF8;GLIPR2;SLC39A8;TWSG1;GPR65;BATF;AHNAK;CDC6;PTRH2;SLC29A2;SWAP70;DENND5A;MAP6;ST3GAL4;DCPS;GPR83;ITGAE;CD86;ALCAM;TRAF1;FLT3LG;CD81;CSF2;IL13;IL18R1;IL1RL1;LIF;IL2RB;ADAM19;GSTO1;NRP1;MAP3K8;IL2RA;IGF2R;SNX9;IFNGR1;ENPP1;SMPDL3A;SH3BGRL2;NT5E;RRAGD;TNFRSF21;PIM1;SERPINB6;LRIG1;PTH1R;CDCP1;CCR4;EOMES;BHLHE40;BATF3;IL10;IRF6;RGS16;SERPINC1;RABGAP1L;SELP;SELL;UCK2;POU2F1;CD48;SYT11;SHE;LRRC8C;GBP4;TNFRSF8;TNFRSF1B;DHRS3;TNFRSF9,20.59%,TNFRSF9;DHRS3;TNFRSF1B;TNFRSF8;GBP4;LRRC8C;SHE;SYT11;CD48;POU2F1;UCK2;SELL;SELP;RABGAP1L;SERPINC1;RGS16;IRF6;IL10;BATF3;BHLHE40;EOMES;CCR4;CDCP1;PTH1R;LRIG1;SERPINB6;PIM1;TNFRSF21;RRAGD;NT5E;SH3BGRL2;SMPDL3A;ENPP1;IFNGR1;SNX9;IGF2R;IL2RA;MAP3K8;NRP1,39/113
2,HALLMARK_BILE_ACID_METABOLISM,0.9843189874431739,-0.5901432072037947,-1.140439347681906,0.066,IDH2;TTR;CYP7B1;NPC1;NR1H4;HAO1;KLF1;PEX11G;NEDD4;PEX1;PNPLA8;ABCG8;RETSAT;PEX11A;GC;SOAT2;PFKM;ABCD2;HSD17B6;ABCA1;EPHX2;RBP1;SOD1;MLYCD;AKR1D1;ACSL1;SERPINA6;HSD17B11;FADS2;FADS1;CYP27A1;PEX12;TFCP2L1;ABCA8;APOA1;CAT;BBOX1;PIPOX;RXRA;SULT2B1;LIPE;LONP2;HSD17B4;NUDT12;ISOC1;CYP46A1;ABCA3;IDI1;PEX7;EFHC1;CYP39A1;SLC35B2;PEX6;GNMT;BMP6;HACL1;AGXT;ALDH9A1;HSD3B1;ABCA4;GCLM;BCAR3;DHCR24;SCP2;NR0B2,19.79%,NR0B2;SCP2;DHCR24;BCAR3;GCLM;ABCA4;HSD3B1;ALDH9A1;AGXT;HACL1;BMP6;GNMT;PEX6;SLC35B2;CYP39A1;EFHC1;PEX7;IDI1,18/65
3,HALLMARK_APICAL_JUNCTION,0.9888806556341052,-0.44682350696348716,-0.8684121012912862,0.911,RHOF;TNFRSF11B;VWF;CDH6;ACTN4;CDH4;MMP9;ICAM1;ICAM5;NRTN;GTF2F1;PPP2R2C;CLDN11;SYMPK;VASP;AKT2;ACTC1;FBN1;EGFR;GNAI1;CLDN15;ACTB;FSCN1;ACTG2;CDK8;SKAP2;SLIT2;TAOK2;ADAM23;AMH;SLC30A3;BMP1;SORBS3;PIK3CB;CLDN18;ADAMTS5;MVD;CDH15;CDH8;CDH11;B4GALT1;CDH3;CDH1;EXOC4;WASL;HADH;SPEG;KRT31;TUBG1;WNK4;ACTN3;LAYN;INPPL1;PARVA;MAP4K2;JAM3;THY1;NLGN2;CLDN7;PFN1;MYH10;CD86;RRAS;TRAF1;CERCAM;ITGA2;ATP1A3;CX3CL1;MMP2;CTNNA1;PCDH1;TGFBI;YWHAH;RAC2;MYH9;STX4;EVL;ADRA1B;ACTG1;COL17A1;PTEN;COL9A1;MAPK13;PBX2;GNAI2;ITGA9;ACTN2;ACTA1;THBS3;ITGA10;AMIGO1;NEGR1;NEXN;COL16A1;SDC3;LDLRAP1,22.93%,LDLRAP1;SDC3;COL16A1;NEXN;NEGR1;AMIGO1;ITGA10;THBS3;ACTA1;ACTN2;ITGA9;GNAI2;PBX2;MAPK13;COL9A1;PTEN;COL17A1,17/96
4,HALLMARK_DNA_REPAIR,0.9915895996287198,-0.44011207819422365,-0.8500955164584689,0.931,TMED2;GTF2H3;VPS37B;SNAPC5;RAD52;POLB;RRM2B;ADA;PNP;GTF2F1;RALA;GTF2A2;VPS37D;RPA3;POLR2H;POLE4;RFC3;CMPK2;POLR1D;BRF2;POLR2E;AAAS;PRIM1;POLA2;ERCC5;POLR2C;TK2;NPR2;RNMT;TYMS;STX3;SSRP1;DDB1;NT5C;SUPT4H1;TSG101;CSTF3;TAF10;POLR2G;POLD3;DDB2;SAC3D1;POLR2A;ELL;HCLS1;COX17;SEC61A1;EDF1;POLD1;SNAPC4;AK1;SURF1;CCNO;LIG1;NUDT21;POLR2D;ERCC3;ARL6IP1;DGCR8;MRPL40;ERCC4;POLR2F;RBX1;NME3;POLL;GTF2H5;REV3L;POLH;IMPDH2;EIF1B;POLR3GL;POLR3C;TAF13;GTF2B;SF3A3;RPA2;CDA,22.57%,CDA;RPA2;SF3A3;GTF2B;TAF13;POLR3C;POLR3GL;EIF1B;IMPDH2;POLH;REV3L;GTF2H5;POLL,13/77
5,HALLMARK_PANCREAS_BETA_CELLS,0.997957262732061,-0.2540799512570208,-0.48421951281924797,0.9868951612903226,HNF1A;SEC11A;SRP14;NKX2-2;PCSK2;SLC2A2;GCK;FOXO1;PDX1;NKX6-1;DPP4;NEUROD1;SST;SRPRB;PAX4;CHGA;SYT13;ELP4;ABCC8;ISL1;PCSK1;NEUROG3;SCGN,21.23%,SCGN;NEUROG3,2/23
6,HALLMARK_KRAS_SIGNALING_DN,0.9994781896630374,-0.4906396822107202,-0.9504717489155261,0.744,NOS1;HNF1A;CYP11B2;TG;NTF3;CLSTN3;NRIP2;ATP4A;SLC6A3;NPHS1;GPR19;MYH7;TGM1;OXT;SLC25A23;NR4A2;CKM;IFNG;LYPD3;ACTC1;LFNG;THNSL2;TCF7L1;ATP6V1B1;RSAD2;DCC;AMBN;MFSD6;ABCB11;FGF22;SLC16A7;KRT5;KRT4;KRT1;SLC30A3;TEX15;CPB1;CHST2;KCNE2;CDH16;HSD11B2;TFF2;CPA2;PAX4;EGF;BMPR1B;GRID2;NGB;PNMT;IGFBP2;BARD1;TFCP2L1;KRT15;COPZ2;PDK2;CACNG1;GPRC5C;SPTBN2;CALCB;PTPRJ;GP1BA;YBX2;ALOX12B;MYO15A;SLC5A5;KCNN1;MAST3;CD80;SIDT1;C5;CCDC106;SPHK2;TNNI3;PROP1;SYNPO;EDAR;SNN;RIBC2;PRODH;SOX10;IL12B;VPREB1;YPEL1;MEFV;TLX1;ENTPD7;CPEB3;SLC29A3;SGK1;CYP39A1;TFAP2B;CLPS;CDKAL1;ITIH3;SLC38A3;CCR8;SCN10A;EFHD1;RYR2;KLHDC8A;BTG2;TSHB;CELSR2;INSL5;EDN2;MTHFR,22.60%,MTHFR;EDN2;INSL5;CELSR2;TSHB;BTG2;KLHDC8A;RYR2;EFHD1;SCN10A;CCR8;SLC38A3;ITIH3;CDKAL1;CLPS;TFAP2B;CYP39A1;SGK1;SLC29A3;CPEB3;ENTPD7;TLX1,22/106
7,HALLMARK_MYC_TARGETS_V2,1.0,-0.5397075829314689,-1.0339143042268608,0.46046046046046046,MYC;NOC4L;UTP20;IPO4;FARSA;SORD;AIMP2;HK2;HSPE1;CDK4;PA2G4;WDR43;IMP4;SLC19A1;RCL1;PLK4;DDX18;TMEM97;SLC29A2;WDR74;GRWD1;NOP16;DUSP2;PES1;MCM5;PLK1;DCTPP1;PPRC1;NOLC1;SUPV3L1;NDUFAF4;BYSL;RRP9;MAP3K6;MRTO4;SRM,22.52%,SRM;MRTO4;MAP3K6;RRP9;BYSL;NDUFAF4;SUPV3L1;NOLC1;PPRC1,9/36
8,HALLMARK_MYC_TARGETS_V1,1.0,-0.48130983732946997,-0.935507909588152,0.781,UBA2;SNRPA1;COX5A;CYC1;PSMA6;MYC;CCT5;COPS5;PSMD8;PABPC1;FBL;PSMA7;EIF2S2;RAN;SNRPD1;PSMC6;PWP1;SNRPA;CCT2;PSMA2;EIF3J;PPIA;AIMP2;RPS6;CCT4;XPO1;SNRPG;ODC1;YWHAQ;DHX15;HNRNPA3;PSMD14;HSPE1;LSM7;CDK4;PA2G4;RAD23B;FAM120A;PTGES3;TRA2B;CAD;MCM6;TUFM;GOT2;SF3B3;PSMD7;SSBP1;CUL1;TYMS;CCNA2;MAD2L1;PSMB3;PSMD3;DDX18;KPNB1;PSMA1;RPS3;CLNS1A;C1QBP;ERH;EIF2S1;MCM2;SET;PRPF31;RUVBL2;RPL18;RRM1;NOP16;MRPL23;ETF1;VDAC1;AP3S1;STARD7;RANBP1;MCM5;EIF3D;NDUFAB1;RSL1D1;XRCC6;SNRPD3;NOLC1;DDX21;HDDC2;HDAC2;HSP90AB1;GLO1;SRPK1;RPS10;LSM2;MRPS18B;RRP9;IMPDH2;SMARCC1;EXOSC7;PSMD1;ILF2;CDC20;PSMB2;SRM;RPL22,22.33%,RPL22;SRM;PSMB2;CDC20;ILF2;PSMD1;EXOSC7;SMARCC1;IMPDH2;RRP9;MRPS18B;LSM2;RPS10;SRPK1;GLO1;HSP90AB1;HDAC2;HDDC2;DDX21;NOLC1,20/100
9,HALLMARK_WNT_BETA_CATENIN_SIGNALING,1.0,-0.5837937659823988,-1.0965022106699431,0.34944612286002014,MYC;CCND2;DKK4;JAG1;GNAI1;ADAM17;WNT1;CUL1;WNT6;KAT2A;AXIN2;DVL2;NOTCH1;MAML1;NKD1;DKK1;DLL1;HEY2;HDAC2;NOTCH4;NCSTN,20.91%,NCSTN;NOTCH4;HDAC2;HEY2;DLL1;DKK1,6/21
