,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_COMPLEMENT,0.17023471756512767,-0.5038341694913042,-1.5619167060683998,0.002074688796680498,GNB2;APOC1;EHD1;CA2;TFPI2;STX4;HPCAL4;CTSC;RNF4;TNFAIP3;LTA4H;LTF;GNAI3;PRSS3;MMP15;GNB4;USP15;MMP14;BRPF3;SH2B3;CDK5R1;LRP1;IRF1;RAF1;F2;ME1;PFN1;S100A9;CALM3;HSPA5;IRF2;ANXA5;FDX1;PPP4C;ATOX1;GP9;RABIF;RHOG;CFB;CP;MT3;DPP4;FCER1G;FCN1;F5;PLSCR1;GMFB;LAP3;PDGFB;GNG2;GNAI2;PIM1;C3;DUSP5;LCP2;F3;SPOCK2;AKAP10;CCL5;PCSK9;CTSO;MMP13;CDH13;TMPRSS6;GP1BA;PREP;CBLB;MMP8;TIMP2;C1R;KCNIP3;PIK3CG;DOCK10;PRDM4;GZMB;C1QA;PLEK;NOTCH4;DOCK4;L3MBTL4;ACTN2;S100A12;SERPINC1;GCA;SIRT6;ZFPM2;GNGT2;OLR1;CFH;CDA;GZMA;KLK1;COL4A2;PLA2G4A;CXCL1;PRSS36;APOA4;KYNU;F10;GZMK;CTSS;IL6;KLKB1;PCLO;JAK2,19.78%,JAK2;PCLO;KLKB1;IL6;CTSS;GZMK;F10;KYNU;APOA4;PRSS36;CXCL1;PLA2G4A;COL4A2;KLK1;GZMA;CDA;CFH;OLR1;GNGT2;ZFPM2;SIRT6;GCA;SERPINC1;S100A12;ACTN2;L3MBTL4;DOCK4;NOTCH4;PLEK;C1QA;GZMB;PRDM4;DOCK10;PIK3CG;KCNIP3;C1R;TIMP2,37/105
1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.26341243229301003,-0.46643532392064324,-1.4629659681095764,0.0051813471502590676,TFPI2;LAMA1;FUCA1;SPARC;LUM;MMP2;GLIPR1;TNFAIP3;SNTB1;PPIB;NOTCH2;NID2;ITGB5;FGF2;MMP14;EDIL3;BASP1;IGFBP2;LRP1;COL5A3;COL7A1;CAPG;TNFRSF11B;LOXL2;WNT5A;ENO2;PLOD1;DAB2;CDH6;NT5E;MGP;GADD45B;VIM;MSX1;ANPEP;COL4A1;COL5A1;GPX7;LOX;SERPINH1;NTM;SNAI2;FBLN5;COL16A1;MATN3;COL6A2;SPOCK1;ID2;PCOLCE;SFRP4;COL1A1;TNFRSF12A;GREM1;FSTL1;OXTR;CXCL6;EMP3;COL8A2;FMOD;SLIT3;SDC4;SGCB;THY1;PLOD3;CTHRC1;FSTL3;LGALS1;TGFBR3;TPM4;COMP;DPYSL3;DKK1;EFEMP2;SLIT2;SFRP1;ABI3BP;TGFB1;FBN1;TGFBI;AREG;SGCG;THBS1;DST;INHBA;HTRA1;MFAP5;FBN2;IGFBP4;CDH2;FAP;GADD45A;ITGA2;SCG2;CDH11;CRLF1;VEGFC;CAP2;ITGA5;COL5A2;COL4A2;BMP1;CXCL1;COL1A2;TNC;PDGFRB;THBS2;LAMC1;LOXL1;COL3A1;GPC1;ITGB3;IL6;PCOLCE2,34.65%,PCOLCE2;IL6;ITGB3;GPC1;COL3A1;LOXL1;LAMC1;THBS2;PDGFRB;TNC;COL1A2;CXCL1;BMP1;COL4A2;COL5A2;ITGA5;CAP2;VEGFC;CRLF1;CDH11;SCG2;ITGA2;GADD45A;FAP;CDH2;IGFBP4;FBN2;MFAP5;HTRA1;INHBA;DST;THBS1;SGCG;AREG;TGFBI;FBN1;TGFB1;ABI3BP;SFRP1;SLIT2;EFEMP2;DKK1;DPYSL3;COMP;TPM4;TGFBR3;LGALS1;FSTL3;CTHRC1;PLOD3;THY1;SGCB;SDC4;SLIT3;FMOD;COL8A2;EMP3;CXCL6,58/113
2,HALLMARK_MYOGENESIS,0.2757716447424985,-0.4589809969816897,-1.4228374845196856,0.015625,IGFBP7;MEF2D;MYH9;ACTA1;SPARC;ITGA7;RB1;MYOM2;AKT2;MYH4;SOD3;RIT1;CACNG1;SORBS3;ACSL1;EIF4A2;COX7A1;FLII;MYF6;STC2;MYH8;ADCY9;ITGB5;GABARAPL2;FGF2;CNN3;COX6A2;NOTCH1;DAPK2;SYNGR2;EPHB3;CHRNB1;BDKRB2;TNNI1;ACTC1;TNNC2;GADD45B;TNNC1;NAV2;HSPB2;BHLHE40;CKB;CFD;AK1;SLN;ACTN3;COL6A2;CASQ2;MAPRE3;COL1A1;LSP1;ERBB3;LPIN1;SCHIP1;VIPR1;NOS1;CDH13;PPP1R3C;MYH1;HRC;TGFB1;MYH3;SGCG;SCD;TCAP;MYL2;MYBPC3;HBEGF;GPX3;KLF5;PGAM2;MYH7;PFKM;PVALB;CKM;HSPB8;TPM3;ACTN2;OCEL1;SPEG;MYL7;MYBPH;DES;COL4A2;MYL3;PTGIS;SPDEF;AEBP1;PPFIA4;COL3A1;APOD;GNAO1;COL15A1,22.64%,COL15A1;GNAO1;APOD;COL3A1;PPFIA4;AEBP1;SPDEF;PTGIS;MYL3;COL4A2;DES;MYBPH;MYL7;SPEG;OCEL1;ACTN2;TPM3;HSPB8;CKM;PVALB;PFKM;MYH7;PGAM2;KLF5;GPX3;HBEGF;MYBPC3;MYL2;TCAP;SCD;SGCG;MYH3;TGFB1,33/93
3,HALLMARK_INFLAMMATORY_RESPONSE,0.2793396956409595,-0.44056235937818483,-1.370028399237036,0.024870466321243522,IRAK2;ADM;NFKBIA;CHST2;CD70;CCL24;BST2;NOD2;TLR2;CCR7;RIPK2;BTG2;SELE;ICAM1;GNAI3;IFNAR1;RGS16;IL10;CXCL9;KIF1B;MMP14;ABCA1;NMUR1;IRF1;RAF1;BDKRB1;SLC7A1;TNFSF9;SLC31A2;SLC1A2;CCL22;HAS2;GPR132;OSM;AHR;MXD1;ACVR2A;TNFSF10;CCL7;NAMPT;FZD5;RHOG;IL4R;EREG;IL1A;LAMP3;SLC11A2;CX3CL1;SLAMF1;NPFFR2;ADORA2B;TNFAIP6;TNFRSF1B;SEMA4D;GNA15;IFNGR2;IL18RAP;RNF144B;RTP4;NMI;LCP2;F3;DCBLD2;ITGB8;CCL5;CCL2;CXCL6;EMP3;TNFRSF9;LIF;IL1B;OPRK1;EBI3;GP1BA;TACR3;P2RX4;LDLR;PTGER4;CD48;C5AR1;MYC;SELL;INHBA;OSMR;HBEGF;P2RX7;IL7R;FPR1;MEFV;STAB1;IL1R1;IL2RB;TNFSF15;IL12B;CCL17;PCDH7;SCN1B;ITGA5;SRI;C3AR1;OLR1;CALCRL;TLR3;ROS1;KCNJ2;MARCO;TLR1;RGS1;PTGER2;PTGIR;ITGB3;IL6;TACR1;IL18R1,20.40%,IL18R1;TACR1;IL6;ITGB3;PTGIR;PTGER2;RGS1;TLR1;MARCO;KCNJ2;ROS1;TLR3;CALCRL;OLR1;C3AR1;SRI;ITGA5;SCN1B;PCDH7;CCL17;IL12B;TNFSF15;IL2RB;IL1R1;STAB1;MEFV;FPR1;IL7R;P2RX7;HBEGF;OSMR;INHBA;SELL;MYC;C5AR1;CD48,36/114
4,HALLMARK_COAGULATION,0.3233456567219786,-0.42843273633284484,-1.285968334059244,0.08577405857740586,GNB2;ANXA1;APOC1;TFPI2;SPARC;MMP2;ACOX2;SH2B2;LTA4H;LEFTY2;MMP15;VWF;MMP14;LRP1;PF4;F2;GNG12;KLF7;F12;PROZ;CTSK;APOA1;DUSP14;CPN1;FURIN;CD9;CAPN2;MMP9;GP9;RABIF;CFB;FGA;DPP4;CFD;PDGFB;PEF1;C3;TF;F3;MSRB2;CAPN5;MMP11;ARF4;PRSS23;CTSO;GDA;TMPRSS6;COMP;C8G;GP1BA;PREP;MMP10;MMP8;FBN1;THBS1;PROC;C1R;HTRA1;MMP7;CRIP2;C1QA;A2M;PLEK;ITGA2;MASP2;APOC3;C8A;C8B;SERPINC1;APOC2;OLR1;CFH;BMP1;CFI;F10;F11;F13B;ITGB3;KLKB1,32.43%,KLKB1;ITGB3;F13B;F11;F10;CFI;BMP1;CFH;OLR1;APOC2;SERPINC1;C8B;C8A;APOC3;MASP2;ITGA2;PLEK;A2M;C1QA;CRIP2;MMP7;HTRA1;C1R;PROC;THBS1;FBN1;MMP8;MMP10;PREP;GP1BA;C8G;COMP;TMPRSS6;GDA;CTSO;PRSS23;ARF4,37/79
5,HALLMARK_IL2_STAT5_SIGNALING,0.33004470810764336,-0.4281853216799002,-1.3314932286518673,0.0508298755186722,GLIPR2;PTH1R;CA2;EMP1;ADAM19;DHRS3;PNP;GPR83;RGS16;IL10;MAP3K8;SERPINB6;BCL2;IGF2R;CCND2;POU2F1;SNX9;CD86;PRKCH;IL13;IRF6;CD81;IRF8;CAPG;SH3BGRL2;GSTO1;SPRED2;TWSG1;SYNGR2;DCPS;AHR;FURIN;MXD1;TRAF1;BMP2;TNFSF10;SMPDL3A;LRIG1;MYO1E;NT5E;SWAP70;ST3GAL4;HK2;IL4R;CKAP4;GADD45B;CTSZ;IFNGR1;SOCS2;ENPP1;IKZF4;BHLHE40;PDCD2L;COL6A1;ANXA4;TNFRSF1B;BMPR2;BATF3;PLSCR1;SOCS1;SLC29A2;UCK2;IGF1R;DENND5A;PIM1;RHOH;BATF;SYT11;GALM;GBP4;ABCB1;TNFRSF9;IL2RA;LIF;AHNAK;SELP;CDC6;ODC1;NRP1;LRRC8C;TNFRSF8;P2RX4;FLT3LG;FAH;CD48;RRAGD;MYC;SELL;IL1RL1;CSF2;SLC39A8;GPR65;CDCP1;PTRH2;CST7;IL2RB;ALCAM;EOMES;RABGAP1L;SERPINC1;RORA;TNFRSF21;GABARAPL1;ITGAE;PLIN2;ICOS;TIAM1;MAP6;SHE;SCN9A;PTGER2;CCR4;IL18R1,28.43%,IL18R1;CCR4;PTGER2;SCN9A;SHE;MAP6;TIAM1;ICOS;PLIN2;ITGAE;GABARAPL1;TNFRSF21;RORA;SERPINC1;RABGAP1L;EOMES;ALCAM;IL2RB;CST7;PTRH2;CDCP1;GPR65;SLC39A8;CSF2;IL1RL1;SELL;MYC;RRAGD;CD48;FAH;FLT3LG;P2RX4;TNFRSF8;LRRC8C;NRP1;ODC1;CDC6;SELP;AHNAK,39/113
6,HALLMARK_SPERMATOGENESIS,0.34046943513025535,-0.46571631300727534,-1.3728221049137108,0.05627705627705628,TULP2;ACE;ELOVL3;SYCP1;STAM2;TOPBP1;PGS1;PHKG2;MTOR;TEKT2;YBX2;SLC2A5;KIF2C;IL12RB2;CSNK2A2;MTNR1A;TSN;HOXB1;GMCL1;CFTR;TNP1;DNAJB8;CNIH2;COIL;PRKAR2A;IDE;MAP7;PEBP1;HTR5A;NEK2;CLPB;HSPA4L;SPATA6;ALOX15;CAMK4;JAM3;PCSK4;LPIN1;TLE4;BUB1;DCC;NOS1;MAST2;ODF1;BRAF;CCNB2;GAD1;ACRBP;DBF4;DMC1;TUBA3C;CLVS1;HSPA1L;NCAPH;TNNI3;SLC12A2;DMRT1;DDX25;TALDO1;CST8;SHE;GAPDHS;NPY5R;GPR182,18.77%,GPR182;NPY5R;GAPDHS;SHE;CST8;TALDO1;DDX25;DMRT1;SLC12A2;TNNI3;NCAPH;HSPA1L;CLVS1;TUBA3C;DMC1;DBF4;ACRBP,17/64
7,HALLMARK_ANGIOGENESIS,0.3456280629352592,-0.5021621359142633,-1.2922466745366603,0.14318975552968569,LUM;LPL;STC1;KCNJ8;JAG1;CCND2;LRPAP1;PF4;MSX1;FSTL1;CXCL6;SLCO2A1;NRP1;VTN;PGLYRP1;PRG2;TNFRSF21;SERPINA5;APOH;COL5A2;OLR1;COL3A1,18.91%,COL3A1;OLR1;COL5A2;APOH;SERPINA5;TNFRSF21;PRG2;PGLYRP1;VTN,9/22
8,HALLMARK_ALLOGRAFT_REJECTION,0.3723423854968864,-0.4169857064652726,-1.2997087177482112,0.05504587155963303,CARTPT;RPS3A;HLA-G;BCAT1;CD1D;TLR2;LY75;IL12A;BCL3;EIF4G3;RIPK2;GLMN;EIF3D;HLA-E;ICAM1;HLA-DMA;ETS1;RPS19;ZAP70;IL7;IL10;B2M;CCND2;CXCL9;TRAF2;CD86;HLA-DOA;EGFR;IKBKB;PSMB10;INHBB;IL13;F2R;PF4;PRKCG;RPS9;F2;IRF8;CAPG;CD2;SIT1;TNF;CD3E;TAP1;CD28;CCL22;TLR6;UBE2D1;ACVR2A;IL16;CCL7;HLA-DMB;MMP9;IL4R;EREG;IFNGR1;CD4;NCK1;ITK;IFNGR2;IL18RAP;SOCS1;NOS2;GALNT1;EIF3A;LCP2;CD7;UBE2N;CCL5;PTPN6;IL2;CCL2;IL27RA;IL2RA;THY1;LIF;HLA-A;IL1B;EIF3J;HLA-DRA;CCL11;ELANE;IL11;TGFB1;MRPL3;BCL10;INHBA;STAT4;GZMB;CCL19;GPR65;STAB1;RPL3L;IL2RB;LY86;TRAT1;SRGN;HCLS1;IL12B;IL9;ST8SIA4;CD80;GBP2;GZMA;TLR3;KRT1;IFNG;TLR1;CRTAM;CTSS;CD3G;IL6;JAK2;CXCL13;HLA-DOB,18.37%,HLA-DOB;CXCL13;JAK2;IL6;CD3G;CTSS;CRTAM;TLR1;IFNG;KRT1;TLR3;GZMA;GBP2;CD80;ST8SIA4;IL9;IL12B;HCLS1;SRGN;TRAT1;LY86;IL2RB;RPL3L;STAB1;GPR65;CCL19;GZMB;STAT4;INHBA,29/115
9,HALLMARK_XENOBIOTIC_METABOLISM,0.481579399879632,-0.3806404188543024,-1.1927412183569226,0.1620795107033639,ATOH8;ECH1;BCAT1;PDK4;ELOVL5;CA2;CCL25;DDAH2;UGDH;ACO2;ACOX2;GSR;TNFRSF1A;HACL1;DCXR;RETSAT;SSR3;PEMT;NPC1;NINJ1;GCLC;GSTA3;VNN1;PSMB10;GCNT2;CAT;NMT1;POR;CYP1A2;IRF8;ARG2;ACP2;HSD17B2;LONP1;GSTO1;HMOX1;ARG1;PINK1;BLVRB;SLC35D1;ADH5;SERTAD1;RBP4;PMM1;PTS;PTGES3;MTHFD1;CFB;NFS1;EPHA2;MT2A;LEAP2;TDO2;ALDH2;ARPP19;ALDH9A1;GNMT;SLC35B1;ABCC3;HGFAC;DHRS7;ID2;CSAD;CBR1;PTGDS;PTGES;AKR1C3;XDH;ABCC2;UPB1;CRP;ETS2;MAN1A1;TMEM97;PGD;GAD1;TTPA;ENPEP;APOE;LCAT;CYP2S1;ENTPD5;FAH;CYP1A1;AOX1;MCCC2;VTN;REG1A;FMO1;CDO1;IGFBP4;IL1R1;GCKR;CYP27A1;ABCD2;GABARAPL1;ABHD6;GSS;FABP1;CDA;TPST1;CYP2J2;KYNU;F10;F11;FETUB;TAT;MPP2;TYR;SERPINA6,28.79%,SERPINA6;TYR;MPP2;TAT;FETUB;F11;F10;KYNU;CYP2J2;TPST1;CDA;FABP1;GSS;ABHD6;GABARAPL1;ABCD2;CYP27A1;GCKR;IL1R1;IGFBP4;CDO1;FMO1;REG1A;VTN;MCCC2;AOX1;CYP1A1;FAH;ENTPD5;CYP2S1;LCAT;APOE;ENPEP;TTPA;GAD1;PGD;TMEM97;MAN1A1;ETS2;CRP;UPB1,41/110
