,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.08023804120331846,-0.38911322211383004,-1.7400792974875317,0.0012004801920768306,GREB1;IGFBP4;BCL2;CYP26B1;NRIP1;BLVRB;TSKU;SLC2A1;IGF1R;MPPED2;TFF3;FASN;OLFML3;KRT15;SIAH2;CLIC3;AREG;JAK2;SYT12;TJP3;ELOVL5;UGCG;SLC1A1;MYC;ADCY1;OVOL2;OPN3;MICB;PRSS23;ENDOD1;DHRS3;SEC14L2;FOS;HES1;TFAP2C;ITPK1;ISG20L2;ANXA9;FARP1;KCNK5;SLC24A3;TIAM1;SYNGR1;FKBP4;ELOVL2;NPY1R;KRT19;KRT8;OLFM1;RAPGEFL1;TFF1;BHLHE40;MREG;SLC26A2;AFF1;FAM102A;HSPB8;CBFA2T3;LAD1;KLF10;STC2;SLC19A2;RAB31;PTGES;FRK;IL17RB;ESRP2;FDFT1;ABCA3;SULT2B1;THSD4;LRIG1;PGR;PEX11A;CLDN7;B4GALT1;RPS6KA2;GAB2;SLC9A3R1;SLC7A5;NAV2;PPIF;SLC22A5;TIPARP;AMFR;CELSR2;EGR3;TTC39A;RHOBTB3;SLC37A1;CCND1;MED13L;KCNK15;INPP5F;SNX24;NADSYN1;AKAP1;DLC1;KLF4;CELSR1;ADCY9;ARL3;RHOD;INHBB;TUBB2B;RAB17;KDM4B;CHPT1,19.45%,CHPT1;KDM4B;RAB17;TUBB2B;INHBB;RHOD;ARL3;ADCY9;CELSR1;KLF4;DLC1;AKAP1;NADSYN1;SNX24;INPP5F;KCNK15;MED13L;CCND1;SLC37A1;RHOBTB3;TTC39A;EGR3;CELSR2;AMFR;TIPARP;SLC22A5;PPIF;NAV2;SLC7A5;SLC9A3R1;GAB2;RPS6KA2;B4GALT1;CLDN7;PEX11A;PGR;LRIG1;THSD4,38/108
1,HALLMARK_PEROXISOME,0.1875330963007792,-0.39607503398111693,-1.58114838477743,0.014248704663212436,PEX14;ECH1;ALB;TOP2A;HSD17B4;PEX6;ALDH9A1;MLYCD;ELOVL5;SERPINA6;RETSAT;CLN8;DHRS3;FADS1;ABCD2;CEL;VPS4B;IDI1;ERCC3;SLC25A17;SMARCC1;SLC35B2;CAT;BCL10;EPHX2;CDK7;LONP2;ABCB1;PABPC1;MSH2;CRABP2;DHCR24;SEMA3C;HSD17B11;FIS1;SULT2B1;IDE;PEX11A;CLN6;CACNA1B;ABCC5;ACSL1;SCP2;ABCC8;IDH2;ISOC1;SLC25A4;HSD11B2;CRABP1;TTR;SOD1;RDH11;YWHAH,13.28%,YWHAH;RDH11;SOD1;TTR;CRABP1;HSD11B2;SLC25A4;ISOC1;IDH2;ABCC8;SCP2;ACSL1;ABCC5;CACNA1B;CLN6,15/53
2,HALLMARK_PROTEIN_SECRETION,0.41518521320321755,-0.3746889828858138,-1.4477135998223352,0.05276705276705277,CLTC;STX7;TMX1;NAPG;VAMP3;LMAN1;TSPAN8;STX12;SH3GL2;ADAM10;STAM;RAB22A;KIF1B;BET1;VPS45;TSG101;RAB2A;VPS4B;CTSC;TMED2;EGFR;YKT6;SEC22B;MON2;ARFGEF1;SCAMP1;GOLGA4;VAMP4;ARFGEF2;IGF2R;USO1;NAPA;AP3S1;CLN5;RAB14;DST;TMED10;TOM1L1;BNIP3;ATP6V1B1;SNX2;ABCA1;GBF1;SOD1;AP3B1;SEC24D,30.79%,SEC24D;AP3B1;SOD1;GBF1;ABCA1;SNX2;ATP6V1B1;BNIP3;TOM1L1;TMED10;DST;RAB14;CLN5;AP3S1;NAPA;USO1;IGF2R;ARFGEF2;VAMP4;GOLGA4;SCAMP1;ARFGEF1,22/46
3,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.4975225054845298,-0.371901216917478,-1.3860487015331953,0.06910569105691057,ECH1;ETHE1;PMVK;LDLR;FASN;SQLE;MVD;ANXA5;FBXO6;ALDOC;GNAI1;GUSB;PCYT2;ACTG1;TMEM97;STARD4;ERRFI1;IDI1;FABP5;S100A11;LPL;TNFRSF12A;ACAT2;SCD;HSD17B7;CD9;GLDC;FDFT1;SREBF2;TM7SF2;PNRC1;ANTXR2;STX5;FADS2;PLSCR1;MAL2;AVPR1A;JAG1;ATXN2;ALCAM,15.36%,ALCAM;ATXN2;JAG1;AVPR1A;MAL2;PLSCR1;FADS2;STX5;ANTXR2;PNRC1;TM7SF2,11/40
4,HALLMARK_NOTCH_SIGNALING,0.5155760647552765,-0.4252615889082418,-1.35160329660561,0.10572687224669604,ST3GAL6;WNT5A;KAT2A;CUL1;NOTCH2;HES1;FZD5;DTX1;SAP30;NOTCH3;MAML2;HEYL;RBX1;DTX4;PRKCA;NOTCH1;CCND1;LFNG;JAG1;DLL1,30.40%,DLL1;JAG1;LFNG;CCND1;NOTCH1;PRKCA;DTX4;RBX1;HEYL;MAML2,10/20
5,HALLMARK_HEDGEHOG_SIGNALING,0.5907448033554396,-0.43091268487466217,-1.3066751688358575,0.1368421052631579,ETS2;SCG2;SHH;LDB1;THY1;RTN1;HEY2;CRMP1;DPYSL2;NRP1;MYH9;UNC5C;SLIT1;NKX6-1;CDK5R1;TLE1;CELSR1,30.63%,CELSR1;TLE1;CDK5R1;NKX6-1;SLIT1;UNC5C;MYH9;NRP1;DPYSL2;CRMP1,10/17
6,HALLMARK_MYOGENESIS,0.696151643197562,-0.2865984028285134,-1.2576497784162004,0.11585365853658537,MYL7;MYBPH;GPX3;MEF2D;PVALB;TCAP;COL1A1;TNNC1;CACNG1;LSP1;PFKM;PTGIS;MYBPC3;SPDEF;COL6A2;CKM;MAPRE3;SPARC;HBEGF;MYOM2;DES;EPHB3;MYH1;CDH13;COL4A2;GADD45B;AEBP1;AK1;MYH7;BDKRB2;TGFB1;MYH8;MYH3;CASQ2;OCEL1;MYL3;SORBS3;MYL2;ITGA7;PGAM2;ACTC1;NOS1;SCD;HRC;COL3A1;BHLHE40;SLN;PPFIA4;HSPB8;EIF4A2;VIPR1;STC2;ACTA1;ACTN3;GNAO1;ERBB3;GABARAPL2;AKT2;DAPK2;COL15A1;TNNC2;RIT1;COX6A2;MYH9;SYNGR2;KLF5;MYF6;FGF2;TPM3;NAV2;NOTCH1;HSPB2;LPIN1;MYH4;SGCG;ACSL1;PPP1R3C;CFD;TNNI1;CKB;FLII;SOD3;SPEG;IGFBP7;SCHIP1;CNN3;RB1;COX7A1;ACTN2;APOD;ITGB5;CHRNB1;ADCY9,32.19%,ADCY9;CHRNB1;ITGB5;APOD;ACTN2;COX7A1;RB1;CNN3;SCHIP1;IGFBP7;SPEG;SOD3;FLII;CKB;TNNI1;CFD;PPP1R3C;ACSL1;SGCG;MYH4;LPIN1;HSPB2;NOTCH1;NAV2;TPM3;FGF2;MYF6;KLF5;SYNGR2;MYH9;COX6A2;RIT1;TNNC2;COL15A1;DAPK2;AKT2;GABARAPL2;ERBB3;GNAO1;ACTN3;ACTA1;STC2,42/93
7,HALLMARK_ANDROGEN_RESPONSE,0.791495406443587,-0.2975402214583316,-1.191601734147221,0.20777479892761394,BMPR1B;ELL2;SRF;SPDEF;GPD1L;ALDH1A3;MAP7;ADAMTS1;LMAN1;SGK1;B2M;APPBP2;ELOVL5;PA2G4;IQGAP2;SORD;SRP19;STEAP4;FADS1;UBE2J1;ZMIZ1;IDI1;TSC22D1;ANKH;KRT19;KRT8;PGM3;GNAI3;SCD;XRCC6;SPCS3;TNFAIP8;SLC26A2;PIAS1;HSD17B14;DHCR24;TMEM50A;STK39;AKAP12;GSR;MAK;NKX3-1;B4GALT1;MERTK;ARID5B;SLC38A2;HERC3;RAB4A;ABCC4;CCND1;PTPN21;DNAJB9;XRCC5;SEC24D,24.01%,SEC24D;XRCC5;DNAJB9;PTPN21;CCND1;ABCC4;RAB4A;HERC3;SLC38A2;ARID5B;MERTK;B4GALT1;NKX3-1;MAK;GSR;AKAP12;STK39,17/54
8,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.8509897369947298,-0.2894994090950718,-1.1581938657960005,0.23237597911227154,EDEM1;YIF1A;HSPA9;SSR1;ERN1;CNOT6;DCP2;EXOSC4;CNOT2;HSPA5;PDIA6;CNOT4;CALR;EDC4;HSP90B1;EIF4EBP1;EIF2S1;SEC11A;TATDN2;NOLC1;RRP9;EEF2;NOP14;KHSRP;CEBPG;SRPRB;DDIT4;EIF2AK3;SDAD1;SPCS3;TUBB2A;EIF4A2;IFIT1;EXOSC2;STC2;KIF5B;ATF6;FKBP14;ZBTB17;ATP6V0D1;DDX10;BAG3;SLC7A5;DNAJC3;LSM4;PREB;NFYB;CCL2;EIF4A3;EXOSC1;DNAJB9;WIPI1;DCP1A,23.11%,DCP1A;WIPI1;DNAJB9;EXOSC1;EIF4A3;CCL2;NFYB;PREB;LSM4;DNAJC3;SLC7A5;BAG3;DDX10;ATP6V0D1;ZBTB17;FKBP14,16/53
9,HALLMARK_BILE_ACID_METABOLISM,0.8728643573185519,-0.27142021957205603,-1.1346841482035734,0.2727272727272727,AKR1D1;RXRA;BMP6;NPC1;PFKM;HSD17B4;BBOX1;SOAT2;PEX11G;CYP7B1;NUDT12;HSD17B6;PIPOX;PEX6;NR0B2;PEX12;ALDH9A1;AGXT;MLYCD;SERPINA6;RETSAT;FADS1;LIPE;ABCD2;EFHC1;KLF1;CYP39A1;IDI1;RBP1;HACL1;ABCG8;PEX7;SLC35B2;CAT;EPHX2;LONP2;APOA1;CYP27A1;ABCA8;GNMT;PEX1;HSD3B1;PNPLA8;DHCR24;HSD17B11;CYP46A1;NEDD4;BCAR3;ABCA3;SULT2B1;HAO1;GC;GCLM;PEX11A;TFCP2L1;ACSL1;SCP2;IDH2;ISOC1;FADS2;TTR;ABCA4;ABCA1;NR1H4;SOD1,37.08%,SOD1;NR1H4;ABCA1;ABCA4;TTR;FADS2;ISOC1;IDH2;SCP2;ACSL1;TFCP2L1;PEX11A;GCLM;GC;HAO1;SULT2B1;ABCA3;BCAR3;NEDD4;CYP46A1;HSD17B11;DHCR24;PNPLA8;HSD3B1;PEX1;GNMT;ABCA8;CYP27A1;APOA1;LONP2;EPHX2,31/65
10,HALLMARK_APICAL_SURFACE,0.8758229105323759,0.22322087055595902,0.8673546274989882,0.6881028938906752,CD160;DCBLD2;RTN4RL1;MDGA1;SLC2A4;AKAP7;IL2RB;ADIPOR2;ADAM10;ATP8B1;LYPD3;CX3CL1;PCSK9;RHCG;THY1;SCUBE1;NCOA6;HSPB1;CROCC;EPHB4;B4GALT1;FLOT2;SLC34A3;EFNA5,38.74%,CD160;DCBLD2;RTN4RL1;MDGA1;SLC2A4;AKAP7;IL2RB;ADIPOR2;ADAM10;ATP8B1;LYPD3;CX3CL1;PCSK9;RHCG;THY1,15/24
11,HALLMARK_ADIPOGENESIS,0.8781867009607384,-0.26293119766817763,-1.194847486772865,0.1808634772462077,PEX14;ECH1;GPX3;UQCRQ;DECR1;POR;STAT5A;MAP4K3;HADH;CHCHD10;MRPL15;IFNGR1;SLC25A10;REEP6;COQ3;BAZ2A;SULT1A1;NDUFAB1;C3;CCNG2;ESYT1;GRPEL1;NMT1;COQ5;DLD;PLIN2;CS;SDHB;REEP5;ABCB8;COL4A1;MCCC1;ADIPOR2;FAH;GADD45A;NDUFA5;RIOK3;UCP2;ECHS1;SNCG;COX6A1;RETSAT;YWHAG;PPP1R15B;JAGN1;GHITM;DNAJC15;COQ9;LIPE;MDH2;NDUFB7;VEGFB;ETFB;ESRRA;CPT2;MTCH2;PTCD3;ATP1B3;ITGA7;LPL;BCL2L13;SLC19A1;TALDO1;DLAT;CAT;CYC1;CD302;COX8A;ADIG;EPHX2;PEMT;HSPB8;ANGPT1;ACAA2;LTC4S;DRAM2;SAMM50;MGST3;COL15A1;ACADL;NKIRAS1;UQCRC1;ACADS;SUCLG1;ME1;CHUK;APOE;LPCAT3;ACO2;IDH3A;QDPR;SLC25A1;TANK;SCP2;TST;PREB;ALDH2;GPAM;SLC27A1;GBE1;DHRS7;FZD4;DBT;ADIPOQ;RNF11;DHRS7B;DNAJB9;ABCA1;PFKFB3;SOD1;PGM1,20.37%,PGM1;SOD1;PFKFB3;ABCA1;DNAJB9;DHRS7B;RNF11;ADIPOQ;DBT;FZD4;DHRS7;GBE1;SLC27A1;GPAM;ALDH2;PREB;TST;SCP2;TANK;SLC25A1;QDPR;IDH3A;ACO2;LPCAT3;APOE;CHUK;ME1;SUCLG1;ACADS,29/111
12,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.8862693246764922,-0.2135360916879719,-0.9524086321583987,0.5697258641239571,IGFBP4;COL1A1;CAPG;COL5A2;ITGA5;FBLN5;HTRA1;SCG2;DAB2;INHBA;PDGFRB;VIM;COL6A2;WNT5A;CDH11;TGFBI;LOXL1;SPARC;PCOLCE;FSTL3;COL4A1;THBS1;AREG;THBS2;FAP;LRP1;GPC1;GADD45A;CRLF1;ID2;MFAP5;SGCB;LUM;COL4A2;DPYSL3;SFRP1;BMP1;GADD45B;FBN2;COL1A2;NTM;NOTCH2;COL7A1;SERPINH1;THY1;PPIB;TGFB1;ITGB3;TNC;CTHRC1;PCOLCE2;EDIL3;TNFAIP3;TPM4;SLIT2;ABI3BP;BASP1;CXCL1;LGALS1;VEGFC;PLOD1;SFRP4;TNFRSF12A;ITGA2;PLOD3;ENO2;GPX7;MMP2;IL6;COL3A1;LOX;SLIT3;EMP3;SNTB1;DKK1;FMOD;OXTR;COL8A2;SPOCK1;CDH2;EFEMP2;TGFBR3;CXCL6;LAMA1;COL5A3;NT5E;CAP2;SDC4;ANPEP;DST;FGF2;TNFRSF11B;SNAI2;MGP;FUCA1;IGFBP2;SGCG;MSX1;LAMC1;LOXL2;COMP;TFPI2;FSTL1;FBN1;COL5A1;MATN3;CDH6;MMP14;GREM1;NID2;ITGB5;COL16A1;GLIPR1,30.87%,GLIPR1;COL16A1;ITGB5;NID2;GREM1;MMP14;CDH6;MATN3;COL5A1;FBN1;FSTL1;TFPI2;COMP;LOXL2;LAMC1;MSX1;SGCG;IGFBP2;FUCA1;MGP;SNAI2;TNFRSF11B;FGF2;DST;ANPEP;SDC4;CAP2;NT5E;COL5A3;LAMA1;CXCL6;TGFBR3;EFEMP2;CDH2;SPOCK1;COL8A2;OXTR,37/113
