,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_ALLOGRAFT_REJECTION,0.22943414170233,-0.22396042546700154,-1.2873480417586691,0.0,RPL3L;IL6;THY1;EIF3J;CCL11;TGFB1;KRT1;INHBA;UBE2N;CCND2;GALNT1;PRKCG;HLA-A;SOCS1;MRPL3;F2R;HLA-G;TAP1;NCK1;BCL3;EIF3A;EIF3D;CCL19;IL2RA;HLA-DOB;GBP2;BCAT1;IL11;CD7;STAB1;PTPN6;INHBB;B2M;EGFR;EIF4G3;TRAF2;RPS19;CCL7;GZMB;BCL10;ST8SIA4;JAK2;IL2RB;CD80;CRTAM;HLA-E;CXCL13;ZAP70;TLR6;ELANE;IL1B;IKBKB;IL4R;EREG;IL18RAP;CD3G;IFNG;GZMA;LCP2;NOS2;CXCL9;IL13;IL9;PSMB10;MMP9;CD28;CD4;CD2;CCL5;SIT1;IL12B;CD86;GPR65;ITK;CD1D;IL27RA;UBE2D1;GLMN;CD3E;TLR2;IL16;CARTPT;TRAT1;SRGN;STAT4;PF4;CCL22;RPS3A;IL10;IL12A;TNF;CCL2;IL7;RPS9;ICAM1;F2;IFNGR2;TLR1;ACVR2A;IFNGR1;IRF8;HCLS1;CTSS;IL2;LY86;RIPK2;HLA-DMB;HLA-DRA;LIF;HLA-DOA;ETS1;HLA-DMA;LY75;TLR3;CAPG,41.91%,CAPG;TLR3;LY75;HLA-DMA;ETS1;HLA-DOA;LIF;HLA-DRA;HLA-DMB;RIPK2;LY86;IL2;CTSS;HCLS1;IRF8;IFNGR1;ACVR2A;TLR1;IFNGR2;F2;ICAM1;RPS9;IL7;CCL2;TNF;IL12A;IL10;RPS3A;CCL22;PF4;STAT4;SRGN;TRAT1;CARTPT;IL16;TLR2;CD3E;GLMN;UBE2D1;IL27RA;CD1D;ITK;GPR65;CD86;IL12B;SIT1;CCL5;CD2;CD4;CD28;MMP9;PSMB10;IL9;IL13;CXCL9;NOS2;LCP2;GZMA;IFNG;CD3G;IL18RAP;EREG;IL4R;IKBKB;IL1B;ELANE,66/115
1,HALLMARK_UV_RESPONSE_DN,0.322753209700428,-0.24301814760741186,-1.3065299787439053,0.1,F3;SCN8A;MTA1;SCHIP1;MAP1B;PHF3;CAP2;IGF1R;LDLR;COL3A1;COL1A1;SMAD3;SNAI2;COL5A2;COL1A2;LAMC1;RASA2;AGGF1;SLC7A1;RND3;ADORA2B;PRKCA;DBP;MYC;HAS2;PDGFRB;PIAS3;SDC2;PRKCE;LTBP1;CDKN1B;NEK7;IGFBP5;PIK3CD;RXRA;ZMIZ1;NRP1;SYNJ2;BHLHE40;TGFBR3;ANXA4;GRK5;ITGB3;PEX14;NFIB;BMPR1A;ACVR2A;MRPS31;CAV1;PRKAR2B;CDON;KALRN;PTEN;RUNX1;NOTCH2;MAGI2;SIPA1L1;WDR37;SMAD7;PTPN21;DUSP1;MT1E;FBLN5;DLC1;DAB2;SRI;MGMT,11.99%,MGMT;SRI;DAB2;DLC1;FBLN5;MT1E;DUSP1;PTPN21;SMAD7;WDR37;SIPA1L1;MAGI2;NOTCH2;RUNX1;PTEN;KALRN;CDON,17/67
2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.38730385164051356,-0.19885577428178652,-1.0431830822876877,0.0,GPI;TOMM22;NDUFB5;GOT2;MRPL34;MRPS22;COX10;ETFB;COX17;NDUFA7;NDUFAB1;PMPCA;ISCA1;ATP6V1G1;COX5B;AFG3L2;TIMM50;POLR2F;VDAC2;CYC1;NQO2;COX6B1;GLUD1;TIMM17A;COX4I1;NDUFS7;MTRF1;FH;ATP6V1F;LDHB;TIMM13;UQCRC1;LRPPRC;SUPV3L1;UQCRFS1;NDUFB7;MDH1;IDH3A;COX6A1;ACO2;ECH1;COX5A;ATP6V0E1;NDUFS6;MRPS30;UQCRB;NDUFB8;NDUFA6;UQCRH;ATP6V0C;TIMM10;HSPA9;MRPS15;SLC25A20;COX8A;CYB5R3;UQCRQ;RHOT2;DLD;VDAC1;MDH2;GRPEL1;CS;SDHB;SDHD;NDUFS4;POR;NDUFB2;ACAT1;OXA1L;SUCLG1;NDUFA9;SUCLA2;COX6C;MGST3;ACADSB;NDUFB1;UQCRC2;OAT;SLC25A12;SLC25A4;NDUFS8;NDUFA5;SURF1;DLAT;ATP6V1D;ECHS1;DLST;MRPL15;NDUFV2;DECR1;ALDH6A1;NDUFA3;RETSAT;FDX1;NDUFC2;NDUFC1;IDH2;PDK4;COX7C;NDUFA4;PDHB;ACAA2,9.81%,ACAA2;PDHB;NDUFA4;COX7C;PDK4;IDH2;NDUFC1;NDUFC2;FDX1;RETSAT;NDUFA3;ALDH6A1;DECR1;NDUFV2;MRPL15;DLST;ECHS1;ATP6V1D;DLAT;SURF1,20/103
3,HALLMARK_KRAS_SIGNALING_UP,0.40923680456490724,-0.19160649908224542,-1.0881599600796867,0.5,ADAM17;ZNF639;PRKG2;HBEGF;KLF4;HOXD11;MMP10;F2RL1;ITGA2;INHBA;CBX8;MMP11;CCND2;YRDC;AKT2;PRDM1;RABGAP1L;PDCD1LG2;USP12;TRAF1;STRN;MMD;CBR4;DNMBP;GALNT3;PTCD2;SCN1B;BTC;ITGBL1;CA2;EMP1;WDR33;MAP7;ACE;SDCCAG8;DCBLD2;NGF;F13A1;IL1RL2;TNFAIP3;PPP1R15A;IL1B;EREG;ARG1;FGF9;RGS16;PLVAP;FLT4;MMP9;FCER1G;GFPT2;NRP1;CXCR4;RBM4;WNT7A;HKDC1;SLPI;AVL9;MYCN;CBL;LAPTM5;CFB;KIF5C;DOCK2;C3AR1;ETV5;IKZF1;ALDH1A3;MALL;LY96;MTMR10;PPBP;IL33;PCP4;AKAP12;IL7R;ANO1;SPON1;CSF2;APOD;NR0B2;PIGR;ABCB1;MAP3K1;TNFRSF1B;LCP1;TSPAN1;IRF8;EVI5;CTSS;NR1H4;CFH;ID2;SERPINA3;PTPRR;GADD45G;EPB41L3;RBP4;PTGS2;GPRC5B;LIF;CPE;SPRY2;ETS1;TRIB1;BMP2;ZNF277;TSPAN13;SOX9;PTBP2;KCNN4;FUCA1;PLEK2;ANKH;CDADC1,41.51%,CDADC1;ANKH;PLEK2;FUCA1;KCNN4;PTBP2;SOX9;TSPAN13;ZNF277;BMP2;TRIB1;ETS1;SPRY2;CPE;LIF;GPRC5B;PTGS2;RBP4;EPB41L3;GADD45G;PTPRR;SERPINA3;ID2;CFH;NR1H4;CTSS;EVI5;IRF8;TSPAN1;LCP1;TNFRSF1B;MAP3K1;ABCB1;PIGR;NR0B2;APOD;CSF2;SPON1;ANO1;IL7R;AKAP12;PCP4;IL33;PPBP;MTMR10;LY96;MALL;ALDH1A3;IKZF1;ETV5;C3AR1;DOCK2;KIF5C;CFB;LAPTM5;CBL;MYCN;AVL9;SLPI;HKDC1;WNT7A;RBM4;CXCR4;NRP1;GFPT2;FCER1G;MMP9;FLT4;PLVAP;RGS16;FGF9;ARG1;EREG;IL1B,74/115
4,HALLMARK_TGF_BETA_SIGNALING,0.6419400855920113,-0.3450110497792089,-1.30771131099662,0.11926605504587157,CDH1;TGFB1;HDAC1;SMAD3;SLC20A1;CDK9;SMURF2;ID3;PPP1R15A;THBS1;LTBP2;LEFTY2;BMPR1A;RAB31;BCAR3;SPTBN1;IFNGR2;ID2;BMPR2;FURIN;BMP2;SMAD7;RHOA;KLF10,27.61%,KLF10;RHOA;SMAD7;BMP2;FURIN;BMPR2;ID2;IFNGR2;SPTBN1;BCAR3;RAB31;BMPR1A;LEFTY2;LTBP2,14/24
5,HALLMARK_MYOGENESIS,0.6437554482227104,0.5626008092320085,1.105367442814178,0.3083083083083083,NOS1;RIT1;CDH13;STC2;SLN;MAPRE3;PPFIA4;HBEGF;SYNGR2;MYL2;ACTN3;MYL3;KLF5;MYH3;SCHIP1;MYBPC3;ITGB5;SCD;COL3A1;TGFB1;COL1A1;TNNI1;EIF4A2;GABARAPL2;EPHB3;NOTCH1;AKT2;TPM3;MYOM2;FLII;SPEG;HSPB8;SORBS3;GNAO1;BDKRB2;AEBP1;TCAP;RB1;SGCG;MYH4;ACTA1;NAV2;VIPR1;MYH7;MYH9;PFKM;DES;MEF2D;COL6A2;CASQ2;CKB;PPP1R3C;PTGIS;BHLHE40;COL4A2;SPARC;PVALB;HSPB2;LSP1;COL15A1;MYL7;FGF2;CFD;DAPK2;GPX3;SPDEF;ACTC1;MYH8;APOD;LPIN1;ADCY9;CACNG1;COX7A1;TNNC1;COX6A2;AK1;CKM;IGFBP7;TNNC2;MYH1;ACTN2;OCEL1;HRC;ACSL1;ERBB3;SOD3;CHRNB1;MYF6;MYBPH;ITGA7;GADD45B;CNN3,12.17%,NOS1;RIT1;CDH13;STC2;SLN;MAPRE3;PPFIA4;HBEGF;SYNGR2;MYL2;ACTN3;MYL3;KLF5;MYH3;SCHIP1,15/92
6,HALLMARK_G2M_CHECKPOINT,0.6535293096692116,0.5633034227262202,1.084640826084069,0.32261306532663314,ODC1;SLC7A5;POLQ;CHAF1A;PRIM2;E2F4;PLK1;SQLE;PBK;MCM3;GINS2;MCM2;CENPF;CDC6;KIF22;CCNA2;CDK4;SNRPD1;MCM5;KIF11;CENPE;ESPL1;UPF1;AURKB;CCNB2;MYBL2;NEK2;RAD23B;BUB1;TROAP;TOP2A;TRA2B;FANCC;CCNT1;UBE2S;HUS1;TRAIP;RASAL2;KPNB1;MNAT1;TGFB1;CTCF;PAFAH1B1;MAD2L1;XPO1;PLK4;TACC3;E2F2;RBM14;STMN1;SMAD3;PTTG1;LMNB1;CCNF;UCK2;BRCA2;POLA2;RAD21;CKS2;ODF2;NOLC1;NCL;BARD1;SLC7A1;MARCKS;CDC20;SFPQ;SAP30;KIF2C;EGF;BCL3;MYC;E2F1;RPS6KA5;HIRA;KIF20B;DBF4;STAG1;SMARCC1;TOP1;CUL5;MEIS1;CUL3;CUL1;MCM6;ABL1;CDKN1B;HMGN2;E2F3;EFNA5;KIF5B;PRPF4B;WRN;MT2A;SLC12A2;NOTCH2;NUMA1;CCND1;PDS5B;RPA2;HOXC10,26.32%,ODC1;SLC7A5;POLQ;CHAF1A;PRIM2;E2F4;PLK1;SQLE;PBK;MCM3;GINS2;MCM2;CENPF;CDC6;KIF22;CCNA2;CDK4;SNRPD1;MCM5;KIF11;CENPE;ESPL1;UPF1;AURKB;CCNB2;MYBL2;NEK2;RAD23B;BUB1;TROAP;TOP2A;TRA2B;FANCC;CCNT1;UBE2S;HUS1;TRAIP;RASAL2;KPNB1;MNAT1;TGFB1;CTCF;PAFAH1B1;MAD2L1;XPO1;PLK4;TACC3;E2F2;RBM14;STMN1,50/101
7,HALLMARK_MYC_TARGETS_V1,0.661976095430147,0.5804772941935823,1.1116217705638762,0.30954773869346736,ODC1;PSMD7;UBA2;STARD7;RRM1;GOT2;PSMD3;YWHAQ;PSMA2;RANBP1;DDX18;MCM2;TYMS;CCNA2;CDK4;SNRPD1;MCM5;TUFM;SF3B3;EXOSC7;EIF3J;PSMD8;XRCC6;PSMD14;NDUFAB1;C1QBP;RAD23B;PTGES3;SET;TRA2B;PA2G4;PSMA6;PWP1;EIF2S2;KPNB1;RUVBL2;RPS10;SNRPG;HNRNPA3;GLO1;MAD2L1;RAN;SNRPA;XPO1;SRPK1;SNRPA1;CYC1;ILF2;LSM7;PSMB3;LSM2;PRPF31;DDX21;AIMP2;PSMD1;FBL;MRPL23;NOLC1;PSMA7;MRPS18B;ERH;FAM120A;CAD;CCT5;CDC20;SNRPD3;CLNS1A;PPIA;NOP16;CCT4;PSMA1;ETF1;MYC;RPS6;PSMC6;SSBP1;EIF3D;COX5A;HSPE1;SMARCC1;HDDC2;HSP90AB1;CCT2;EIF2S1;HDAC2;CUL1;DHX15;MCM6;RRP9;PSMB2;VDAC1;SRM;PABPC1;RSL1D1;AP3S1;COPS5;RPL18;RPS3;IMPDH2;RPL22,26.36%,ODC1;PSMD7;UBA2;STARD7;RRM1;GOT2;PSMD3;YWHAQ;PSMA2;RANBP1;DDX18;MCM2;TYMS;CCNA2;CDK4;SNRPD1;MCM5;TUFM;SF3B3;EXOSC7;EIF3J;PSMD8;XRCC6;PSMD14;NDUFAB1;C1QBP;RAD23B;PTGES3;SET;TRA2B;PA2G4;PSMA6;PWP1;EIF2S2;KPNB1;RUVBL2;RPS10;SNRPG;HNRNPA3;GLO1;MAD2L1;RAN;SNRPA;XPO1;SRPK1;SNRPA1;CYC1;ILF2;LSM7,49/100
8,HALLMARK_MYC_TARGETS_V2,0.6744722005020783,0.5481564297142548,1.1212530574634485,0.3291139240506329,RCL1;HK2;PLK1;DDX18;CDK4;PES1;MCM5;FARSA;WDR43;PA2G4;NOC4L;TMEM97;PLK4;WDR74;DCTPP1;AIMP2;NOLC1;BYSL;SUPV3L1;SLC29A2;NOP16;GRWD1;MYC;HSPE1;PPRC1;MRTO4;UTP20;SORD;NDUFAF4;RRP9;DUSP2;IMP4;SRM;SLC19A1;MAP3K6;IPO4,18.26%,RCL1;HK2;PLK1;DDX18;CDK4;PES1;MCM5;FARSA;WDR43;PA2G4;NOC4L,11/36
9,HALLMARK_PEROXISOME,0.6868338203218239,0.532400816503539,1.0535035509227628,0.39179487179487177,ABCC5;FADS1;VPS4B;SULT2B1;ABCC8;MLYCD;ERCC3;ELOVL5;TOP2A;LONP2;SLC25A17;CACNA1B;SOD1;CDK7;PEX6;IDI1;CLN6;ECH1;IDE;SMARCC1;YWHAH;DHCR24;MSH2;BCL10;CEL;PEX11A;SLC35B2;SERPINA6;ABCD2;CRABP1;CLN8;HSD11B2;PABPC1;TTR;PEX14;SEMA3C;CRABP2;ABCB1;ALDH9A1;HSD17B11;CAT;SLC25A4;DHRS3;ACSL1;RDH11;ALB;RETSAT;SCP2;IDH2;ISOC1;HSD17B4;FIS1;EPHX2,10.13%,ABCC5;FADS1;VPS4B;SULT2B1;ABCC8,5/53
10,HALLMARK_INFLAMMATORY_RESPONSE,0.7031628398762849,0.5385844695704187,1.0167810945639066,0.393,IL1A;TACR3;CHST2;F3;NAMPT;HBEGF;IL6;LAMP3;OPRK1;TNFSF9;GNA15;ADM;ITGA5;ITGB8;TNFAIP6;AHR;LDLR;SLC31A2;BDKRB1;INHBA;CXCL6;SEMA4D;MMP14;TACR1;GPR132;PTGIR;MXD1;ABCA1;SLC7A1;NOD2;ADORA2B;P2RX4;MYC;GP1BA;TNFSF10;RGS1;FPR1;HAS2;TNFRSF9;GNAI3;OSMR;SCN1B;KCNJ2;STAB1;NMI;MEFV;CCL7;P2RX7;DCBLD2;IL2RB;C5AR1;SLC1A2;RHOG;SLAMF1;CCL24;PCDH7;RTP4;IL1R1;IL1B;IL4R;EREG;RGS16;IL18RAP;LCP2;SELE;BTG2;CXCL9;IL18R1;IRF1;SLC11A2;CCL5;EBI3;IL12B;ROS1;CD48;TLR2;RAF1;MARCO;CX3CL1;SELL;C3AR1;CCR7;BST2;CD70;ITGB3;OSM;OLR1;CCL22;CALCRL;IL10;CCL17;IL7R;KIF1B;CCL2;ICAM1;IFNGR2;TLR1;ACVR2A;TNFRSF1B;PTGER4;NFKBIA;IRAK2;RIPK2;NPFFR2;EMP3;NMUR1;FZD5;LIF;RNF144B;PTGER2;IFNAR1;TNFSF15;TLR3;SRI,10.78%,IL1A;TACR3;CHST2;F3;NAMPT;HBEGF;IL6;LAMP3;OPRK1;TNFSF9,10/114
11,HALLMARK_FATTY_ACID_METABOLISM,0.7053102322454972,0.5078036072426676,1.0024611396878493,0.4215291750503018,CBR3;ME1;CBR1;UGDH;ODC1;GAPDHS;ENO2;CPOX;TDO2;METAP1;MLYCD;ACAT2;ELOVL5;PRDX6;HSP90AA1;FMO1;S100A10;TP53INP2;HSPH1;GRHPR;HSD17B7;ACSS1;PTS;FH;IDI1;RDH16;ADIPOR2;MDH1;UROS;ACO2;FASN;ECH1;GABARAPL1;NTHL1;BLVRA;YWHAH;DHCR24;CA2;NBN;CEL;DLD;MDH2;FABP1;CA6;SDHD;REEP6;CD1D;AOC3;LGALS1;SUCLG1;VNN1;SUCLA2;OSTC;INMT;ALAD;CYP1A1;ACOT2;ALDH9A1;BMPR1B;HSD17B11;AUH;CPT2;ACADL;ACADS;HSDL2;CA4;ACSL1;PTPRG;GPD1;RDH11;HADH;LTC4S;SUCLG2;ECHS1;DLST;DECR1;MIF;SERINC1;RETSAT;UROD;PCBD1;SLC22A5;HSD17B4;PDHB;ACAA2,10.25%,CBR3;ME1;CBR1;UGDH;ODC1;GAPDHS;ENO2;CPOX;TDO2;METAP1,10/85
12,HALLMARK_UV_RESPONSE_UP,0.7054383871114471,0.5676125884235333,1.123676643494069,0.28298086606243705,TCHH;TACR3;LHX2;HMOX1;POLG2;IL6;DNAJB1;ENO2;POLR2H;CREG1;CEBPG;IGFBP2;MSX1;WIZ;PRPF3;BTG1;OLFM1;PPP1R2;ONECUT1;FMO1;SPR;TYRO3;SULT1A1;FKBP4;RPN1;DDX21;MMP14;TST;CYB5B;CDC34;ATP6V1F;MRPL23;CHRNA5;PDAP1;TUBA4A;TAP1;PPIF;CNP;NPTXR;STIP1;CDC5L;PSMC3;PPAT;CA2;PRKACA;YKT6;GAL;GRPEL1;HSPA13;EPCAM;PLCL1;BTG2;IRF1;APOM;GGH;STK25;CCK;KLHDC3;RXRB;GPX3;CYP1A1;ABCB1;ICAM1;NPTX2;NFKBIA;CXCL2;SLC25A4;CYB5R1;CDO1;FURIN;BMP2;UROD;FOS;FGF18;GLS,9.61%,TCHH;TACR3;LHX2;HMOX1;POLG2;IL6;DNAJB1;ENO2;POLR2H;CREG1;CEBPG,11/75
