,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_E2F_TARGETS,0.0,-0.5921469243617337,-3.151361776691824,0.0,HUS1;BRMS1L;EIF2S1;CIT;NUDT21;DCK;RNASEH2A;E2F8;RFC1;IPO7;SLBP;POLE4;NAA38;PPM1D;NUP205;STAG1;NBN;PDS5B;MYC;CTCF;DCTPP1;CKS2;RAD21;NUP153;GINS4;RPA3;SMC3;AURKB;TRA2B;TRIP13;ATAD2;SPC25;RFC3;DIAPH3;TOP2A;ESPL1;MYBL2;POLD1;CENPE;KIF18B;MCM2;BUB1B;PNN;CCNB2;SPAG5;EXOSC8;TIMELESS;POP7;CDCA3;GINS1;PTTG1;SPC24;PLK4;PLK1;LMNB1;ASF1B;RAN;BRCA2;CDC20;NOLC1;CDCA8;DSCC1;CDKN1B;UBE2S;KIF2C;MELK;MAD2L1;WDR90;POLA2;TACC3;TK1;LIG1;DONSON;STMN1;HELLS;MCM6;NUP107;RPA1;CDK4;POLD3;XRCC6;BARD1;XPO1;RANBP1;MCM5;PRIM2;DCLRE1B;NCAPD2;MSH2;PA2G4;KIF22;SSRP1;RPA2;MCM3;TUBG1;TUBB;ASF1A,22.50%,ASF1A;TUBB;TUBG1;MCM3;RPA2;SSRP1;KIF22;PA2G4;MSH2;NCAPD2;DCLRE1B;PRIM2;MCM5;RANBP1;XPO1;BARD1;XRCC6;POLD3;CDK4;RPA1;NUP107;MCM6;HELLS;STMN1;DONSON;LIG1;TK1;TACC3;POLA2;WDR90;MAD2L1;MELK;KIF2C;UBE2S;CDKN1B;DSCC1;CDCA8;NOLC1;CDC20;BRCA2;RAN;ASF1B;LMNB1;PLK1;PLK4;SPC24;PTTG1;GINS1;CDCA3;POP7;TIMELESS;EXOSC8;SPAG5;CCNB2;PNN;BUB1B;MCM2;KIF18B;CENPE;POLD1;MYBL2;ESPL1;TOP2A;DIAPH3;RFC3;SPC25;ATAD2,67/97
1,HALLMARK_ADIPOGENESIS,0.0,0.5546003252231084,2.4755063719855386,0.0,DHRS7;ACADS;COQ9;NDUFA5;CAT;IDH3A;DECR1;GADD45A;ACO2;DLD;DLAT;MAP4K3;BCL2L13;ANGPT1;ACADL;SUCLG1;COX6A1;VEGFB;CS;CYC1;COL15A1;CCNG2;ACAA2;DNAJB9;ADIPOR2;FAH;ADIPOQ;LPL;LPCAT3;ITGA7;COX8A;PTCD3;MRPL15;RETSAT;COQ3;REEP5;ESRRA;GHITM;EPHX2;FZD4;MCCC1;CHCHD10;GRPEL1;RNF11;PFKFB3;UQCRQ;LIPE;GPX3;ALDH2;CHUK;COL4A1;UQCRC1;DBT;SLC27A1;NDUFAB1;SCP2;GPAM;ETFB;SDHB;SULT1A1;HSPB8;MTCH2;TANK;LTC4S;DNAJC15;NDUFB7;DHRS7B;MGST3;NKIRAS1;PGM1;ABCB8;PPP1R15B;ADIG;CD302;COQ5;SOD1;MDH2;YWHAG;SNCG;APOE;ABCA1;CPT2;NMT1;TST;C3;HADH;BAZ2A;SAMM50;RIOK3;SLC25A10;ECHS1;IFNGR1;ATP1B3;STAT5A;GBE1;UCP2;ME1;PEMT;DRAM2;POR;PREB;QDPR;ESYT1;PLIN2;REEP6;TALDO1;SLC19A1;SLC25A1;ECH1;PEX14;JAGN1,15.93%,DHRS7;ACADS;COQ9;NDUFA5;CAT;IDH3A;DECR1;GADD45A;ACO2;DLD;DLAT;MAP4K3;BCL2L13;ANGPT1;ACADL;SUCLG1;COX6A1;VEGFB;CS;CYC1;COL15A1;CCNG2;ACAA2;DNAJB9;ADIPOR2;FAH;ADIPOQ;LPL;LPCAT3;ITGA7;COX8A;PTCD3;MRPL15;RETSAT;COQ3;REEP5;ESRRA;GHITM;EPHX2;FZD4;MCCC1;CHCHD10;GRPEL1;RNF11;PFKFB3;UQCRQ;LIPE,47/111
2,HALLMARK_G2M_CHECKPOINT,0.0,-0.4623360412652615,-2.5257566775337574,0.0,CUL5;HUS1;EGF;PAFAH1B1;MNAT1;WRN;SMAD3;HOXC10;MEIS1;MT2A;CCNT1;RAD23B;E2F4;RASAL2;BCL3;STAG1;CUL3;PDS5B;EFNA5;RPS6KA5;SLC7A1;MYC;NUMA1;CUL1;TGFB1;CTCF;SLC12A2;KIF5B;TOP1;GINS2;E2F3;ABL1;CKS2;SQLE;PRPF4B;RAD21;CCND1;DBF4;KPNB1;FANCC;UPF1;AURKB;TRA2B;TROAP;SNRPD1;E2F1;SLC7A5;MARCKS;POLQ;TOP2A;ESPL1;MYBL2;CENPE;NEK2;E2F2;MCM2;CCNB2;CCNA2;PTTG1;NOTCH2;PLK4;PLK1;LMNB1;SFPQ;CENPF;BRCA2;CDC20;NOLC1;BUB1;CDKN1B;UBE2S;KIF2C;KIF20B;MAD2L1;ODC1;CHAF1A;POLA2;TACC3;SMARCC1;PBK;ODF2;CDC6;CCNF;KIF11;STMN1;RBM14;HIRA;MCM6;CDK4;BARD1;TRAIP;XPO1;SAP30;MCM5;PRIM2;UCK2;NCL;KIF22;RPA2;MCM3;HMGN2,28.91%,HMGN2;MCM3;RPA2;KIF22;NCL;UCK2;PRIM2;MCM5;SAP30;XPO1;TRAIP;BARD1;CDK4;MCM6;HIRA;RBM14;STMN1;KIF11;CCNF;CDC6;ODF2;PBK;SMARCC1;TACC3;POLA2;CHAF1A;ODC1;MAD2L1;KIF20B;KIF2C;UBE2S;CDKN1B;BUB1;NOLC1;CDC20;BRCA2;CENPF;SFPQ;LMNB1;PLK1;PLK4;NOTCH2;PTTG1;CCNA2;CCNB2;MCM2;E2F2;NEK2;CENPE;MYBL2;ESPL1;TOP2A;POLQ;MARCKS;SLC7A5;E2F1;SNRPD1;TROAP;TRA2B;AURKB;UPF1;FANCC;KPNB1;DBF4;CCND1,65/101
3,HALLMARK_MYC_TARGETS_V1,0.0,-0.4685291543296058,-2.506280622871455,0.0,GOT2;COX5A;CYC1;VDAC1;STARD7;EIF2S1;PSMC6;NDUFAB1;ETF1;FAM120A;SNRPD3;RAD23B;PSMD7;PWP1;HSPE1;DDX21;DDX18;TUFM;EXOSC7;MRPS18B;COPS5;HDDC2;PSMD14;AIMP2;MRPL23;YWHAQ;PSMA6;MYC;CUL1;DHX15;NOP16;PSMA1;C1QBP;EIF2S2;UBA2;GLO1;PSMD8;SNRPG;PSMA7;KPNB1;SSBP1;EIF3J;RSL1D1;PTGES3;PSMB3;TRA2B;CCT2;CCT4;SNRPD1;PPIA;LSM7;ERH;EIF3D;PSMD1;HNRNPA3;CCT5;MCM2;SRPK1;CCNA2;FBL;PSMA2;RAN;CDC20;NOLC1;SET;RRM1;MAD2L1;ODC1;RPS10;RPS3;PSMD3;TYMS;SMARCC1;PRPF31;HSP90AB1;IMPDH2;RPL22;SF3B3;MCM6;RPS6;SNRPA1;CDK4;XRCC6;HDAC2;RUVBL2;XPO1;RRP9;SRM;PSMB2;RANBP1;MCM5;AP3S1;RPL18;LSM2;PA2G4;CLNS1A;PABPC1;ILF2;SNRPA;CAD,28.19%,CAD;SNRPA;ILF2;PABPC1;CLNS1A;PA2G4;LSM2;RPL18;AP3S1;MCM5;RANBP1;PSMB2;SRM;RRP9;XPO1;RUVBL2;HDAC2;XRCC6;CDK4;SNRPA1;RPS6;MCM6;SF3B3;RPL22;IMPDH2;HSP90AB1;PRPF31;SMARCC1;TYMS;PSMD3;RPS3;RPS10;ODC1;MAD2L1;RRM1;SET;NOLC1;CDC20;RAN;PSMA2;FBL;CCNA2;SRPK1;MCM2;CCT5;HNRNPA3;PSMD1;EIF3D;ERH;LSM7;PPIA;SNRPD1;CCT4;CCT2;TRA2B;PSMB3;PTGES3;RSL1D1;EIF3J;SSBP1;KPNB1,61/100
4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0,0.6562825086192516,2.884017382080972,0.0,ACAT1;NDUFA6;NDUFA5;SDHD;IDH3A;UQCRFS1;SLC25A4;ATP6V1D;AFG3L2;UQCRC2;DECR1;ACO2;SLC25A12;DLD;ISCA1;DLAT;SURF1;DLST;HSPA9;ALDH6A1;GOT2;SUCLG1;COX6A1;CS;MRPL34;IDH2;COX5A;SUCLA2;FDX1;COX7C;CYC1;MRPS30;VDAC1;ATP6V1F;ACAA2;COX17;NDUFS7;GLUD1;MDH1;NDUFS4;COX8A;MRPL15;COX4I1;RETSAT;PDK4;MTRF1;GRPEL1;NDUFB1;TIMM10;ACADSB;ATP6V0E1;UQCRQ;NDUFC1;NDUFB5;NDUFA4;LRPPRC;COX6C;NDUFA3;NDUFA9;MRPS22;ATP6V1G1;UQCRC1;UQCRB;ATP6V0C;FH;NDUFAB1;NDUFS8;NDUFB2;GPI;COX5B;ETFB;SDHB;LDHB;COX10;NDUFC2;PDHB;NDUFB7;TOMM22;MGST3;VDAC2;COX6B1;MDH2;OXA1L;NDUFS6;CYB5R3;PMPCA;TIMM17A;ECHS1;OAT;TIMM50;TIMM13;NQO2;SUPV3L1;RHOT2;POR;UQCRH;NDUFV2;POLR2F;NDUFA7;MRPS15;SLC25A20;NDUFB8;ECH1,16.78%,ACAT1;NDUFA6;NDUFA5;SDHD;IDH3A;UQCRFS1;SLC25A4;ATP6V1D;AFG3L2;UQCRC2;DECR1;ACO2;SLC25A12;DLD;ISCA1;DLAT;SURF1;DLST;HSPA9;ALDH6A1;GOT2;SUCLG1;COX6A1;CS;MRPL34;IDH2;COX5A;SUCLA2;FDX1;COX7C;CYC1;MRPS30;VDAC1;ATP6V1F;ACAA2;COX17;NDUFS7;GLUD1;MDH1;NDUFS4;COX8A;MRPL15;COX4I1;RETSAT;PDK4;MTRF1;GRPEL1;NDUFB1;TIMM10;ACADSB;ATP6V0E1;UQCRQ;NDUFC1;NDUFB5;NDUFA4;LRPPRC;COX6C;NDUFA3,58/103
5,HALLMARK_FATTY_ACID_METABOLISM,0.00032846115946789294,0.5087730262299044,2.1696030932441617,0.0,CA2;GABARAPL1;AUH;TP53INP2;ACOT2;ACADS;SDHD;CBR1;ACSS1;DECR1;CYP1A1;ACO2;DLD;DLST;ACADL;ACSL1;SUCLG1;BMPR1B;SUCLA2;ACAA2;MLYCD;ADIPOR2;HSP90AA1;MDH1;RETSAT;PTPRG;RDH11;SERINC1;AOC3;HSDL2;HSD17B4;BLVRA;FH;SLC22A5;YWHAH;SUCLG2;HSPH1;LTC4S;PDHB;CA4;CEL;GPD1;UGDH;ALAD;CD1D;INMT;PCBD1;MDH2;FABP1;PTS;CA6;CPT2;GRHPR;METAP1;NBN;IDI1;HADH;HSD17B11;TDO2;ELOVL5;ECHS1;ALDH9A1;ENO2;FMO1;VNN1;GAPDHS;S100A10;NTHL1;ME1;CBR3;HSD17B7;DHCR24;MIF;LGALS1;PRDX6;REEP6;RDH16;ODC1;ACAT2;OSTC;CPOX;UROD;FASN;ECH1;UROS,12.26%,CA2;GABARAPL1;AUH;TP53INP2;ACOT2;ACADS;SDHD;CBR1;ACSS1;DECR1;CYP1A1;ACO2;DLD;DLST;ACADL;ACSL1;SUCLG1;BMPR1B;SUCLA2;ACAA2;MLYCD;ADIPOR2;HSP90AA1;MDH1;RETSAT;PTPRG,26/85
6,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0004926917392018395,0.4616841538605284,2.078261587234003,0.0,IL6;IL12B;MXD1;IL1B;PTGS2;GADD45B;KLF9;GADD45A;SOCS3;IL1A;CCL2;PPP1R15A;SDC4;FOSL2;ZFP36;BTG2;KLF4;SNN;HBEGF;BHLHE40;KDM6B;CXCL2;LIF;PER1;FOSL1;NAMPT;DUSP1;NR4A2;BTG1;EIF1;KLF10;REL;TRIB1;PFKFB3;CCNL1;IRS2;NFKBIA;TNFAIP3;SMAD3;TSC22D1;ZC3H12A;ETS2;MAP3K8;TANK;SGK1;CXCL3;PNRC1;DNAJB4;CXCL1;JAG1;FOS;GFPT2;OLR1;TUBB2A;DENND5A;MAP2K3;KLF2;EGR1;MSC;BCL3;DUSP5;TNIP1;BIRC2;EGR3;TIPARP;IL7R;INHBA;KYNU;AREG;PLEK;PANX1;B4GALT5;ABCA1;DRAM1;LDLR;TLR2;IFIT2;IER3;CXCL6;ICAM1;F2RL1;TNFAIP2;IER2;CCL5;TNFAIP6;PTGER4;TNF;RELB;MYC;IFNGR2;TNFRSF9;SPSB1;TAP1;F3;CD80;DUSP2;IRF1;TNFAIP8;CSF2;TNC;TRAF1;STAT5A;PLK2;RIPK2;ID2;HES1;TNFSF9;B4GALT1;CCND1;BMP2;IL23A;MARCKS;EHD1;NFKBIE;YRDC;NINJ1;TRIP10,14.58%,IL6;IL12B;MXD1;IL1B;PTGS2;GADD45B;KLF9;GADD45A;SOCS3;IL1A;CCL2;PPP1R15A;SDC4;FOSL2;ZFP36;BTG2;KLF4;SNN;HBEGF;BHLHE40;KDM6B;CXCL2;LIF;PER1;FOSL1;NAMPT;DUSP1;NR4A2;BTG1;EIF1;KLF10;REL;TRIB1,33/117
7,HALLMARK_DNA_REPAIR,0.0005198277142432794,-0.40475170057223897,-2.088763113642448,0.0,CDA;SURF1;RRM2B;COX17;VPS37D;DDB1;RALA;PNP;TK2;TSG101;STX3;POLR2A;SNAPC5;NUDT21;EIF1B;RNMT;ERCC4;NT5C;ERCC3;GTF2H3;ELL;NPR2;POLE4;TAF13;POLR2C;SUPT4H1;HCLS1;CMPK2;ERCC5;GTF2A2;ARL6IP1;POLR2E;POLR1D;BRF2;DDB2;REV3L;VPS37B;RPA3;POLB;ADA;GTF2H5;SEC61A1;RFC3;POLH;GTF2F1;RBX1;POLD1;AK1;SAC3D1;TMED2;CCNO;POLR2H;AAAS;POLR2F;POLR3GL;POLA2;TYMS;MRPL40;LIG1;PRIM1;IMPDH2;POLD3;POLR2G;POLR3C;POLR2D;DGCR8;SF3A3;TAF10;NME3;GTF2B;CSTF3;SSRP1;SNAPC4;RPA2;RAD52;EDF1;POLL,22.97%,POLL;EDF1;RAD52;RPA2;SNAPC4;SSRP1;CSTF3;GTF2B;NME3;TAF10;SF3A3;DGCR8;POLR2D;POLR3C;POLR2G;POLD3;IMPDH2;PRIM1;LIG1;MRPL40;TYMS;POLA2;POLR3GL;POLR2F;AAAS;POLR2H;CCNO;TMED2;SAC3D1;AK1;POLD1;RBX1;GTF2F1;POLH;RFC3;SEC61A1;GTF2H5;ADA,38/77
8,HALLMARK_KRAS_SIGNALING_UP,0.001576613565445886,0.4418609251365668,1.974626763290219,0.0,FGF9;CA2;MTMR10;NR0B2;IL1B;PTGS2;PLVAP;AKAP12;PLEK2;FLT4;PPP1R15A;MMD;CBR4;NRP1;RGS16;KLF4;IL1RL2;USP12;BTC;GPRC5B;HBEGF;EMP1;ETS1;ALDH1A3;PCP4;LIF;SCN1B;EPB41L3;CDADC1;IL33;TRIB1;STRN;F13A1;PRDM1;TNFAIP3;GADD45G;KIF5C;ZNF277;ADAM17;PTCD2;HOXD11;NGF;DNMBP;PTPRR;GFPT2;NR1H4;CXCR4;TNFRSF1B;ABCB1;TSPAN1;C3AR1;ZNF639;ITGBL1;EVI5;PRKG2;CPE;EREG;IKZF1;DOCK2;SPON1;IL7R;ITGA2;INHBA;RBP4;PIGR;LAPTM5;ARG1;AKT2;HKDC1;CFH;PDCD1LG2;CTSS;AVL9;ACE;MYCN;APOD;ANO1;F2RL1;PPBP;FCER1G;DCBLD2;MAP3K1;IRF8;FUCA1;WNT7A;MMP10;CFB;LY96;MALL;LCP1;CBL;CCND2;SLPI;CSF2;TRAF1;RBM4;ID2;MAP7;SERPINA3;SDCCAG8;MMP11;BMP2;PTBP2;CBX8;SPRY2;MMP9;RABGAP1L;WDR33;ETV5;YRDC;TSPAN13;KCNN4;SOX9;ANKH;GALNT3,13.32%,FGF9;CA2;MTMR10;NR0B2;IL1B;PTGS2;PLVAP;AKAP12;PLEK2;FLT4;PPP1R15A;MMD;CBR4;NRP1;RGS16;KLF4;IL1RL2;USP12;BTC;GPRC5B;HBEGF;EMP1;ETS1;ALDH1A3;PCP4;LIF;SCN1B;EPB41L3;CDADC1;IL33,30/115
9,HALLMARK_MYC_TARGETS_V2,0.0029110351997623644,-0.44316135327912554,-1.879207364648648,0.0,UTP20;RCL1;HSPE1;WDR43;DDX18;NDUFAF4;SORD;IMP4;SLC29A2;AIMP2;MYC;DUSP2;NOP16;DCTPP1;GRWD1;MAP3K6;SUPV3L1;NOC4L;PPRC1;WDR74;BYSL;IPO4;PLK4;PLK1;NOLC1;FARSA;TMEM97;PES1;SLC19A1;CDK4;RRP9;SRM;MRTO4;MCM5;PA2G4;HK2,23.15%,HK2;PA2G4;MCM5;MRTO4;SRM;RRP9;CDK4;SLC19A1;PES1;TMEM97;FARSA;NOLC1;PLK1;PLK4;IPO4;BYSL;WDR74;PPRC1;NOC4L,19/36
