,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_MYC_TARGETS_V2,0.0,0.6370571275289482,2.2856752542879413,0.0,NDUFAF4;NOP16;SLC29A2;AIMP2;BYSL;HSPE1;SLC19A1;FARSA;MRTO4;NOC4L;WDR74;PA2G4;SRM;WDR43;PES1;DCTPP1;PLK1;IMP4;MYC;TMEM97;RRP9;SUPV3L1;PLK4;DUSP2;IPO4;GRWD1;SORD;CDK4;NOLC1;HK2;RCL1;UTP20;PPRC1;MCM5;DDX18;MAP3K6,19.25%,NDUFAF4;NOP16;SLC29A2;AIMP2;BYSL;HSPE1;SLC19A1;FARSA;MRTO4;NOC4L;WDR74;PA2G4;SRM;WDR43;PES1;DCTPP1;PLK1;IMP4;MYC;TMEM97;RRP9,21/36
1,HALLMARK_MYC_TARGETS_V1,0.0,0.6457469135475931,2.7342354659677452,0.0,MRPL23;HDDC2;RPS10;PSMB3;LSM7;FBL;SNRPG;PSMA1;LSM2;PRPF31;SNRPD1;CCT4;RPS3;CCT2;NOP16;SSBP1;SNRPA;AIMP2;MRPS18B;HSPE1;C1QBP;HDAC2;CYC1;CDC20;COPS5;NDUFAB1;GLO1;CCT5;COX5A;PSMD8;RAN;PA2G4;CAD;RPS6;EXOSC7;AP3S1;CLNS1A;SRM;RANBP1;YWHAQ;RPL22;ODC1;RPL18;PSMA7;SNRPA1;PSMB2;EIF2S2;HSP90AB1;ILF2;PPIA;RUVBL2;UBA2;EIF3J;PSMD3;PTGES3;GOT2;MAD2L1;TUFM;MYC;RRP9;PSMC6;PABPC1;PSMD14;SRPK1;IMPDH2;XPO1;EIF3D;VDAC1;PSMD1;SET;MCM6;CCNA2;RSL1D1;STARD7;XRCC6;HNRNPA3;PWP1;ERH;CDK4;NOLC1;PSMD7;TRA2B;RAD23B;SNRPD3;RRM1;DHX15;SMARCC1;ETF1;MCM5;EIF2S1;DDX21;DDX18;KPNB1;CUL1;SF3B3;FAM120A;TYMS;MCM2;PSMA2;PSMA6,17.81%,MRPL23;HDDC2;RPS10;PSMB3;LSM7;FBL;SNRPG;PSMA1;LSM2;PRPF31;SNRPD1;CCT4;RPS3;CCT2;NOP16;SSBP1;SNRPA;AIMP2;MRPS18B;HSPE1;C1QBP;HDAC2;CYC1;CDC20;COPS5;NDUFAB1;GLO1;CCT5;COX5A;PSMD8;RAN;PA2G4;CAD;RPS6;EXOSC7;AP3S1;CLNS1A;SRM;RANBP1;YWHAQ;RPL22;ODC1;RPL18;PSMA7;SNRPA1;PSMB2;EIF2S2;HSP90AB1;ILF2;PPIA;RUVBL2;UBA2;EIF3J;PSMD3;PTGES3;GOT2;MAD2L1;TUFM,58/100
2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0,0.5819800646701381,2.4939678234417406,0.0,NDUFS6;LDHB;NDUFB7;COX6B1;MGST3;NDUFB5;TIMM50;COX6C;UQCRB;NDUFS8;NDUFA9;TIMM13;POLR2F;UQCRH;COX4I1;ECH1;MRPL15;GPI;TIMM17A;NDUFB2;NDUFA4;MDH1;MRPS15;COX5B;CYC1;NDUFAB1;COX5A;SDHB;GRPEL1;COX8A;LRPPRC;NDUFS7;MRPS30;ECHS1;NDUFB8;COX6A1;TIMM10;NDUFC1;TOMM22;COX7C;SUCLG1;MRPL34;PMPCA;COX17;MDH2;UQCRC1;NDUFS4;NDUFB1;GOT2;UQCRQ;RHOT2;ATP6V1F;FDX1;FH;MTRF1;SDHD;NDUFC2;NDUFA3;SUPV3L1;NQO2;COX10;VDAC1;OXA1L;POR;VDAC2;SLC25A4;SUCLA2;UQCRFS1;NDUFA7;MRPS22;ISCA1;ACAA2;ACAT1;DECR1;OAT;DLD;UQCRC2;RETSAT;PDHB;NDUFA5;NDUFA6;DLAT;SURF1;CS;HSPA9;SLC25A12;ATP6V1D;DLST;ATP6V1G1;SLC25A20;ACADSB;ATP6V0E1;ATP6V0C;IDH3A;GLUD1;CYB5R3;IDH2;ACO2;PDK4;AFG3L2;NDUFV2;ALDH6A1;ETFB,19.60%,NDUFS6;LDHB;NDUFB7;COX6B1;MGST3;NDUFB5;TIMM50;COX6C;UQCRB;NDUFS8;NDUFA9;TIMM13;POLR2F;UQCRH;COX4I1;ECH1;MRPL15;GPI;TIMM17A;NDUFB2;NDUFA4;MDH1;MRPS15;COX5B;CYC1;NDUFAB1;COX5A;SDHB;GRPEL1;COX8A;LRPPRC;NDUFS7;MRPS30;ECHS1;NDUFB8;COX6A1;TIMM10;NDUFC1;TOMM22;COX7C;SUCLG1;MRPL34;PMPCA;COX17;MDH2;UQCRC1;NDUFS4;NDUFB1;GOT2;UQCRQ;RHOT2;ATP6V1F;FDX1;FH;MTRF1;SDHD,56/103
3,HALLMARK_E2F_TARGETS,0.000164736295207441,0.49405194756621584,2.1084562911275113,0.0,POLE4;NAA38;TRIP13;AURKB;POLA2;CKS2;PTTG1;DSCC1;RPA3;NUP107;GINS1;CDC20;RNASEH2A;SPC24;TACC3;DIAPH3;EXOSC8;CDCA3;RAN;PA2G4;CCNB2;KIF22;UBE2S;POP7;RANBP1;TUBB;RFC3;DCTPP1;MELK;PLK1;TUBG1;SLBP;MYBL2;STMN1;MAD2L1;KIF2C;PRIM2;TK1;MYC;BRCA2;KIF18B;SSRP1;ASF1B;MSH2;RAD21;XPO1;BRMS1L;MCM3;SPC25;SPAG5;PLK4;DONSON;CDCA8;RPA2;RPA1;ASF1A;BUB1B;ESPL1;NCAPD2;MCM6;CENPE;GINS4;TOP2A;XRCC6;TIMELESS;CDK4;NOLC1;HELLS;PDS5B;LMNB1;WDR90;DCLRE1B;TRA2B;E2F8;NUP205;NBN;POLD1;ATAD2;CIT;CDKN1B;BARD1;MCM5;EIF2S1;HUS1;IPO7;LIG1;POLD3;PNN;MCM2;NUDT21;SMC3;NUP153;DCK;PPM1D;CTCF;RFC1;STAG1,18.79%,POLE4;NAA38;TRIP13;AURKB;POLA2;CKS2;PTTG1;DSCC1;RPA3;NUP107;GINS1;CDC20;RNASEH2A;SPC24;TACC3;DIAPH3;EXOSC8;CDCA3;RAN;PA2G4;CCNB2;KIF22;UBE2S;POP7;RANBP1;TUBB;RFC3;DCTPP1;MELK;PLK1;TUBG1;SLBP;MYBL2;STMN1;MAD2L1;KIF2C;PRIM2;TK1;MYC,39/97
4,HALLMARK_DNA_REPAIR,0.008434498314620979,0.43829498028913977,1.8082288871864067,0.0012422360248447205,POLE4;POLB;POLR2H;GTF2H5;RBX1;POLR2F;SAC3D1;POLR2E;NT5C;POLA2;RPA3;EDF1;NME3;POLR2G;POLR3C;ADA;GTF2F1;POLR1D;POLR3GL;GTF2A2;CSTF3;COX17;CCNO;RFC3;AAAS;TAF13;TSG101;GTF2B;SSRP1;IMPDH2;TMED2;POLL;RAD52;RPA2;POLR2C;SF3A3;SNAPC4;SNAPC5;RALA;MRPL40;DDB1;POLR2D;VPS37B;AK1;CDA;VPS37D;PNP;CMPK2;POLD1;ARL6IP1;NPR2;LIG1;SURF1;POLD3;ERCC3;STX3;SEC61A1;SUPT4H1;PRIM1;REV3L;POLH;EIF1B;TAF10;TYMS;ERCC4;RRM2B;HCLS1;NUDT21;DGCR8;POLR2A;DDB2;ELL;TK2;GTF2H3;BRF2;RNMT;ERCC5,18.03%,POLE4;POLB;POLR2H;GTF2H5;RBX1;POLR2F;SAC3D1;POLR2E;NT5C;POLA2;RPA3;EDF1;NME3;POLR2G;POLR3C;ADA;GTF2F1;POLR1D;POLR3GL;GTF2A2;CSTF3;COX17;CCNO;RFC3;AAAS;TAF13;TSG101;GTF2B,28/77
5,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.014796547472256474,-0.32910996025623807,-1.8476669155913277,0.0,TUBB2A;ID2;BMP2;JAG1;FOSL1;NFKBIE;EIF1;PLK2;PANX1;IL23A;MYC;TRIP10;BIRC2;IER2;RIPK2;EHD1;RELB;YRDC;TSC22D1;NINJ1;MARCKS;DUSP2;CXCL6;STAT5A;MAP2K3;INHBA;PTGS2;CXCL1;TNFAIP6;LIF;EGR3;CSF2;TAP1;F2RL1;GFPT2;TNFAIP2;MAP3K8;IL6;EGR1;IFIT2;ETS2;TNF;TNFSF9;CXCL3;IRF1;NFKBIA;CCL5;PNRC1;IER3;AREG;BCL3;OLR1;SDC4;CD80;SPSB1;IL12B;PLEK;TNFRSF9;B4GALT5;NAMPT;MXD1;GADD45B;DUSP5;TLR2;CCL2;IL1B;LDLR;TNC;F3;DRAM1;MSC;ICAM1;KLF9;IL1A;TRAF1;TIPARP;BTG1;TNFAIP8;SOCS3;DNAJB4;B4GALT1;PER1;KLF10;KYNU;CCND1;TNFAIP3;IL7R;IFNGR2;CXCL2;TRIB1;FOS;PFKFB3;IRS2;HES1;TNIP1;SGK1;BTG2;GADD45A;CCNL1;BHLHE40;TANK;DUSP1;PTGER4;ABCA1;KLF4;FOSL2;ZFP36;DENND5A;ZC3H12A;SNN;NR4A2;KDM6B;KLF2;REL;PPP1R15A;SMAD3;HBEGF,35.58%,HBEGF;SMAD3;PPP1R15A;REL;KLF2;KDM6B;NR4A2;SNN;ZC3H12A;DENND5A;ZFP36;FOSL2;KLF4;ABCA1;PTGER4;DUSP1;TANK;BHLHE40;CCNL1;GADD45A;BTG2;SGK1;TNIP1;HES1;IRS2;PFKFB3;FOS;TRIB1;CXCL2;IFNGR2;IL7R;TNFAIP3;CCND1;KYNU;KLF10;PER1;B4GALT1;DNAJB4;SOCS3;TNFAIP8;BTG1;TIPARP;TRAF1;IL1A;KLF9;ICAM1;MSC;DRAM1;F3;TNC;LDLR;IL1B;CCL2;TLR2;DUSP5;GADD45B;MXD1;NAMPT;B4GALT5;TNFRSF9;PLEK;IL12B;SPSB1;CD80;SDC4;OLR1;BCL3,67/117
6,HALLMARK_UV_RESPONSE_UP,0.016144156930329216,0.41175313794189905,1.7091772594768246,0.007334963325183374,GAL;MRPL23;GGH;CDC34;POLR2H;TYRO3;CDO1;KLHDC3;STK25;BMP2;PSMC3;GRPEL1;EPCAM;CEBPG;CNP;CHRNA5;FKBP4;DNAJB1;IGFBP2;POLG2;PRPF3;ATP6V1F;PDAP1;TST;RXRB;CREG1;FURIN;GLS;STIP1;SPR;CYB5R1;YKT6;MSX1;RPN1;SLC25A4;CDC5L;UROD;PPIF;MMP14;PPAT;CCK;TCHH;ENO2;ONECUT1;LHX2;CA2;TAP1;SULT1A1;OLFM1;CYB5B;IL6;TACR3;PRKACA;IRF1;WIZ;NFKBIA;GPX3;PLCL1;FMO1;NPTX2;CYP1A1;DDX21;FGF18;ABCB1;NPTXR;TUBA4A;APOM;ICAM1;BTG1;HSPA13;HMOX1;CXCL2;FOS;BTG2;PPP1R2,24.41%,GAL;MRPL23;GGH;CDC34;POLR2H;TYRO3;CDO1;KLHDC3;STK25;BMP2;PSMC3;GRPEL1;EPCAM;CEBPG;CNP;CHRNA5;FKBP4;DNAJB1;IGFBP2;POLG2;PRPF3;ATP6V1F;PDAP1;TST;RXRB;CREG1;FURIN;GLS;STIP1;SPR;CYB5R1;YKT6;MSX1,33/75
7,HALLMARK_INFLAMMATORY_RESPONSE,0.02504031110689557,-0.34009404293003215,-1.9095672112157676,0.0,NPFFR2;SRI;NMI;OPRK1;RTP4;TNFSF10;GNAI3;RHOG;MYC;AHR;TLR1;P2RX4;RIPK2;ITGB8;ADORA2B;CCL7;SLC7A1;MMP14;CCL17;CXCL6;RGS1;GNA15;INHBA;TNFAIP6;ADM;EREG;CCL24;ACVR2A;BDKRB1;CX3CL1;ROS1;LIF;MARCO;CXCL9;IL6;KCNJ2;TACR3;SLC1A2;OSM;RNF144B;TNFSF9;ITGB3;TNFSF15;IRF1;EMP3;NFKBIA;SELE;MEFV;CCL5;TACR1;BST2;SELL;OLR1;RGS16;IL18RAP;IL12B;NOD2;GP1BA;LAMP3;TNFRSF9;IL2RB;DCBLD2;NAMPT;KIF1B;CD48;CCR7;MXD1;C3AR1;SLAMF1;NMUR1;IL10;TLR2;CCL2;OSMR;CD70;CHST2;IL1B;P2RX7;LCP2;LDLR;F3;SEMA4D;ICAM1;IL1A;GPR132;FZD5;TNFRSF1B;PTGER2;IRAK2;PTGIR;SLC11A2;C5AR1;CCL22;EBI3;IL18R1;IL7R;IFNGR2;HAS2;PCDH7;CALCRL;SCN1B;STAB1;BTG2;SLC31A2;IL4R;FPR1;PTGER4;ABCA1;IL1R1;TLR3;IFNAR1;ITGA5;HBEGF;RAF1,44.71%,RAF1;HBEGF;ITGA5;IFNAR1;TLR3;IL1R1;ABCA1;PTGER4;FPR1;IL4R;SLC31A2;BTG2;STAB1;SCN1B;CALCRL;PCDH7;HAS2;IFNGR2;IL7R;IL18R1;EBI3;CCL22;C5AR1;SLC11A2;PTGIR;IRAK2;PTGER2;TNFRSF1B;FZD5;GPR132;IL1A;ICAM1;SEMA4D;F3;LDLR;LCP2;P2RX7;IL1B;CHST2;CD70;OSMR;CCL2;TLR2;IL10;NMUR1;SLAMF1;C3AR1;MXD1;CCR7;CD48;KIF1B;NAMPT;DCBLD2;IL2RB;TNFRSF9;LAMP3;GP1BA;NOD2;IL12B;IL18RAP;RGS16;OLR1;SELL;BST2;TACR1;CCL5;MEFV;SELE;NFKBIA;EMP3;IRF1;TNFSF15;ITGB3;TNFSF9;RNF144B;OSM;SLC1A2;TACR3;KCNJ2;IL6,80/114
8,HALLMARK_UV_RESPONSE_DN,0.028075500331973823,-0.3540548133543021,-1.7585178125071061,0.005263157894736842,MRPS31;SRI;MT1E;MGMT;ANXA4;MYC;PEX14;RUNX1;COL1A1;ADORA2B;LTBP1;SLC7A1;PRKAR2B;AGGF1;COL1A2;COL5A2;CAP2;ACVR2A;COL3A1;SNAI2;SDC2;RND3;DBP;ITGB3;PIK3CD;PIAS3;TGFBR3;NOTCH2;CDKN1B;KALRN;NFIB;LAMC1;MTA1;IGF1R;BMPR1A;SCN8A;MAP1B;CAV1;PRKCA;LDLR;F3;PTPN21;DLC1;SYNJ2;SCHIP1;NEK7;PRKCE;CDON;HAS2;IGFBP5;RASA2;WDR37;FBLN5;GRK5;SMAD7;PTEN;BHLHE40;MAGI2;DUSP1;PDGFRB;PHF3;RXRA;NRP1;SMAD3;ZMIZ1;SIPA1L1;DAB2,29.74%,DAB2;SIPA1L1;ZMIZ1;SMAD3;NRP1;RXRA;PHF3;PDGFRB;DUSP1;MAGI2;BHLHE40;PTEN;SMAD7;GRK5;FBLN5;WDR37;RASA2;IGFBP5;HAS2;CDON;PRKCE;NEK7;SCHIP1;SYNJ2;DLC1;PTPN21;F3;LDLR;PRKCA;CAV1;MAP1B;SCN8A;BMPR1A;IGF1R,34/67
9,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.04006449777103291,-0.29525129405422496,-1.6475441330329064,0.0,PNPT1;SRI;VAMP8;ISOC1;NMI;PSMB2;SECTM1;RTP4;TNFSF10;PFKP;NUP93;OGFR;LGALS3BP;RIPK2;HLA-A;PSME2;CCL7;PARP12;PLA2G4A;TRIM25;PIM1;PTGS2;HLA-G;IDO1;TNFAIP6;SPPL2A;CSF2RB;PNP;RSAD2;SAMD9L;IFIT1;ST3GAL5;CXCL9;TAP1;HLA-B;ISG20;TNFAIP2;CMPK2;GBP4;IL6;IFIT2;TDRD7;VAMP5;LAP3;CD38;USP18;LATS2;SLAMF7;IFI44;IRF1;PARP14;NFKBIA;CCL5;OAS3;BST2;PTPN6;CFB;STAT4;SAMHD1;GZMA;IRF9;MT2A;CD86;IFI35;IL2RB;NAMPT;SELP;TOR1B;BATF2;JAK2;SOCS1;CCL2;HLA-DMA;LCP2;IFI30;DDX60;KLRK1;GBP6;PSMB10;ICAM1;MYD88;TRIM21;STAT2;APOL6;MX2;RNF213;RNF31;RIPK1;BTG1;DHX58;SLC25A28;SOCS3;B2M;NOD1;ARID5B;C1R;PSMA2;CIITA;ITGB7;NLRC5;HLA-DRB1;TNFAIP3;IL7;IRF8;TRIM26;CFH;PTPN1;ST8SIA4;PLSCR1;IRF2;IL4R;ZNFX1;FPR1;TXNIP,45.29%,TXNIP;FPR1;ZNFX1;IL4R;IRF2;PLSCR1;ST8SIA4;PTPN1;CFH;TRIM26;IRF8;IL7;TNFAIP3;HLA-DRB1;NLRC5;ITGB7;CIITA;PSMA2;C1R;ARID5B;NOD1;B2M;SOCS3;SLC25A28;DHX58;BTG1;RIPK1;RNF31;RNF213;MX2;APOL6;STAT2;TRIM21;MYD88;ICAM1;PSMB10;GBP6;KLRK1;DDX60;IFI30;LCP2;HLA-DMA;CCL2;SOCS1;JAK2;BATF2;TOR1B;SELP;NAMPT;IL2RB;IFI35;CD86;MT2A;IRF9;GZMA;SAMHD1;STAT4;CFB;PTPN6;BST2;OAS3;CCL5;NFKBIA;PARP14;IRF1;IFI44;SLAMF7;LATS2;USP18;CD38;LAP3;VAMP5;TDRD7;IFIT2;IL6;GBP4;CMPK2;TNFAIP2;ISG20,79/114
