,tm1,tm2,tm3,tm4,tm5,tm6,tm7,tm8,tm9,tm10,tw1,tw2,tw3,tw4,tw5,tw6,tw7,tw8,tw9,tw10
ARHGEF16,0.8240956145626755,0.796723904744809,0.8022584224930905,0.8510935900641234,0.8014673985128576,0.777587688441441,0.8335173733635058,0.7456420704197834,0.7928126095091906,0.8069168501945946,0.6156722039845771,0.7750740946300978,0.7741437444442425,0.7070692990577732,0.7570265073591893,0.7763214362942881,0.8550550688862234,0.8010696994745921,0.8574073523040436,0.7390624033115925
MEGF6,0.6735999262091877,0.8964114115816019,0.7569856433484786,0.7377780108484951,0.7206011164164038,0.8529542405696723,0.6743889984711346,0.808636789342071,0.8711780951590314,0.7792094691958651,0.433805301518304,0.7476433822441558,0.7993886845335211,0.8078323076465325,0.8195133046780693,0.8601018647506751,0.7262917577346556,0.3994581233793497,0.8727726657891617,0.8811640372897344
TPRG1L,0.6907487810210987,0.6817151482111529,0.6439315978147053,0.6990176318786719,0.6593096331406897,0.6972024455319773,0.6723118956434267,0.6185317191474893,0.7055484577632576,0.6892754949295166,0.5341595501130411,0.6542168242870778,0.6393991703862942,0.5861915212239249,0.6387134384695735,0.6559584811591659,0.688527784030194,0.6854412495984836,0.6779329829782605,0.6423716074515945
TP73,0.6373452961485985,0.6695899141972358,0.2524419154656953,0.5549178570282044,0.698834462483402,0.4829870875756019,0.6622343147190609,0.2620660440343133,0.6521554262525993,0.3029970694639006,0.3393804806679981,0.215199362740755,0.5768902214432181,0.3584646605927098,0.2857183701770985,0.5477995417310425,0.0571995947505796,0.0823990810027994,0.6306232249856388,0.2073681449793725
CCDC27,0.7945646026119518,0.8205845503168647,0.5948239043456268,0.8699584221228522,0.8349194499084301,0.8491950385346602,0.8347048663379417,0.8187214878254019,0.7614108069904698,0.6065075579280068,0.8039524948911877,0.6720833554782251,0.6109847163792765,0.7894070969676248,0.8240990933957223,0.8528888194488062,0.8835795282903994,0.8105103108434808,0.8848816296926029,0.8401951604319762
LRRC47,0.7728220693430689,0.8093226003371855,0.8340417156416314,0.6332468649410935,0.8167113829709234,0.7569428409957986,0.714080498165104,0.6656387546259203,0.8251442489966988,0.8399969309823985,0.5278998143223209,0.7622803001148485,0.7922295177868064,0.6960127913741895,0.8098343586636956,0.754734310641049,0.8018789062313549,0.8128710427583015,0.894461742915014,0.6161442050880485
DFFB,0.9599295717455204,0.942369733375846,0.938387561054447,0.9508582280138116,0.9400813220923632,0.9397735594492216,0.934800455706316,0.9340016456760836,0.9416115862249242,0.9301731497268148,0.908489525656761,0.9292158227388092,0.9505124693563032,0.8988857607559319,0.9601886690298976,0.9223233821063545,0.9284427083046743,0.9654069727069952,0.9543779788634498,0.947123759898032
C1orf174,0.9501017262136372,0.8291989962069611,0.9467814982029612,0.9486191027038132,0.9420120766714276,0.956368328345046,0.9001849575223331,0.9423708652474582,0.9062395878241504,0.9502062844188898,0.9093064512498288,0.8938214132206924,0.9349377791506044,0.9021203288337808,0.583286645485338,0.8586054901872945,0.9142936508683956,0.9087964103847508,0.935194132981414,0.9056162642633454
NPHP4,0.8021930892564826,0.9289867115963892,0.9309957571868328,0.9434154168681732,0.9340922791973116,0.9299380042168068,0.9204392549858392,0.9126650007609756,0.9318169431196184,0.932127905758366,0.5071910625500353,0.8712602103408063,0.8696091206480011,0.837449098950577,0.9339981751296376,0.9278763626133952,0.8569630744145932,0.8792890902470817,0.917887698517974,0.8908120587368207
CHD5,0.8320188608181313,0.750551391667746,0.6881424492826332,0.6481999297995834,0.9494771785075384,0.6079275878925339,0.8748312783848949,0.8555771684309011,0.6036425388563172,0.2072488013476145,0.5328242991380269,0.6138044610975748,0.6342946239780394,0.702680232081995,0.7248589581842272,0.6528491384674486,0.4993840800070218,0.7456027880654172,0.5959349797386715,0.5846247475229609
