,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.02508361204013378,-0.31689843076723145,-1.8119172208024323,0.0,TDRD7;TRIM25;IRF2;DDX60;TRIM26;TMEM140;PROCR;STAT2;TXNIP;PNPT1;DHX58;IRF9;BST2;NUB1;IFIT2;LAP3;RSAD2;NMI;SAMD9L;RNF31;PARP14;CNP;UBA7;SAMD9;CMPK2;RIPK2;IFI35;GBP4;IFI30;IFI44;GBP2;IRF1;PARP12;PSME2;USP18;HLA-C;SELL;TAP1;B2M;BATF2;LAMP3;IL4R;RTP4;IL7;PLSCR1;LGALS3BP;TRIM21;SLC25A28;ISG20;GMPR;OGFR,13.10%,OGFR;GMPR;ISG20;SLC25A28;TRIM21;LGALS3BP;PLSCR1;IL7;RTP4;IL4R;LAMP3;BATF2;B2M,13/51
1,HALLMARK_MYC_TARGETS_V2,0.033444816053511704,-0.3931203806868845,-1.979501297652563,0.0,DDX18;HK2;SORD;DCTPP1;UTP20;TMEM97;WDR43;SUPV3L1;RCL1;PLK4;CDK4;HSPE1;MAP3K6;IPO4;PA2G4;GRWD1;NOLC1;PLK1;IMP4;AIMP2;BYSL;SLC19A1;PPRC1;MRTO4;NDUFAF4;NOP16;SRM;NOC4L;FARSA;DUSP2;MYC;RRP9;MCM5;PES1;SLC29A2;WDR74,25.61%,WDR74;SLC29A2;PES1;MCM5;RRP9;MYC;DUSP2;FARSA;NOC4L;SRM;NOP16;NDUFAF4;MRTO4;PPRC1;SLC19A1;BYSL;AIMP2;IMP4;PLK1,19/36
2,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.36231884057971014,-0.20754325706671448,-1.1247189879499786,0.3333333333333333,HSD17B7;ATXN2;MAL2;CD9;ALCAM;FDFT1;ANXA5;ACTG1;TMEM97;SQLE;ANTXR2;JAG1;IDI1;FASN;ACAT2;PNRC1;S100A11;GUSB;PMVK;ERRFI1;SCD;AVPR1A;FBXO6;STX5;ETHE1;STARD4;LPL;FADS2;ECH1;FABP5;GLDC;PLSCR1;LDLR;SREBF2;ALDOC;TM7SF2;GNAI1;PCYT2;TNFRSF12A;MVD,9.99%,MVD;TNFRSF12A;PCYT2;GNAI1;TM7SF2;ALDOC;SREBF2;LDLR;PLSCR1,9/40
3,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5150501672240803,-0.18334010648386725,-0.962444554861386,0.75,STAM2;IFNAR1;TNFRSF1A;CD9;PTPN11;IFNGR1;CBL;IFNGR2;STAT2;IL10RB;PDGFC;IRF9;MYD88;ITGA4;EBI3;TGFB1;PTPN1;IL18R1;IL17RA;A2M;TLR2;MAP3K8;IL1R1;OSMR;REG1A;CSF2RB;IL1B;IRF1;ITGB3;IL17RB;CXCL9;TNF;PF4;HMOX1;CD38;CXCL13;INHBE;LTBR;IL6;TYK2;IL2RA;CCL7;CSF2;CXCL1;CXCL3;TNFRSF1B;IL4R;IL7;TNFRSF21;SOCS3;TNFRSF12A;SOCS1;PIM1,28.44%,PIM1;SOCS1;TNFRSF12A;SOCS3;TNFRSF21;IL7;IL4R;TNFRSF1B;CXCL3;CXCL1;CSF2;CCL7;IL2RA;TYK2;IL6;LTBR;INHBE;CXCL13;CD38;HMOX1;PF4;TNF;CXCL9;IL17RB;ITGB3,25/53
4,HALLMARK_ALLOGRAFT_REJECTION,0.5309364548494983,-0.19913760169453562,-1.0,1.0,INHBA;F2R;TLR3;EIF4G3;UBE2N;BCL10;GALNT1;THY1;MRPL3;IFNGR1;IKBKB;IFNGR2;TLR1;UBE2D1;ACVR2A;EIF3J;TLR6;JAK2;NCK1;HLA-DOA;GPR65;LY86;EIF3A;GLMN;RPS3A;TGFB1;ST8SIA4;RPL3L;IL16;CCND2;CD80;CD86;KRT1;TLR2;CCL11;PRKCG;INHBB;HLA-DMB;HLA-DRA;BCL3;RIPK2;LCP2;EREG;IRF8;IL9;IL1B;STAB1;CD4;IFNG;CRTAM;GBP2;BCAT1;IL2;TRAF2;ETS1;ELANE;PTPN6;CCL19;SRGN;CXCL9;TNF;F2;PF4;HLA-DMA;NOS2;CARTPT;IL11;IL13;CD3G;IL27RA;HLA-DOB;CD1D;IL12A;IL10;STAT4;TAP1;CXCL13;IL6;CCL5;TRAT1;CD2;PSMB10;GZMA;CTSS;CD28;HCLS1;IL2RB;IL2RA;ITK;SIT1;IL12B;CCL7;IL18RAP;CD3E;GZMB;B2M;EGFR;CD7;EIF3D;ZAP70;IL4R;IL7;CCL2;CCL22;ICAM1;RPS9;LIF;MMP9;HLA-E;LY75;RPS19;HLA-A;SOCS1;HLA-G;CAPG,32.19%,CAPG;HLA-G;SOCS1;HLA-A;RPS19;LY75;HLA-E;MMP9;LIF;RPS9;ICAM1;CCL22;CCL2;IL7;IL4R;ZAP70;EIF3D;CD7;EGFR;B2M;GZMB;CD3E;IL18RAP;CCL7;IL12B;SIT1;ITK;IL2RA;IL2RB;HCLS1;CD28;CTSS;GZMA;PSMB10;CD2;TRAT1;CCL5;IL6;CXCL13;TAP1;STAT4;IL10;IL12A;CD1D;HLA-DOB;IL27RA;CD3G;IL13;IL11;CARTPT;NOS2;HLA-DMA;PF4;F2;TNF;CXCL9;SRGN;CCL19;PTPN6;ELANE;ETS1;TRAF2;IL2;BCAT1;GBP2;CRTAM;IFNG;CD4;STAB1;IL1B,70/115
5,HALLMARK_HEME_METABOLISM,0.8774068932214645,0.5582284287967677,1.090675431442846,0.278,MBOAT2;DCAF10;SLC22A4;DCUN1D1;BNIP3L;BTG2;GCLC;TRAK2;RBM5;DAAM1;GCLM;GAPVD1;VEZF1;SLC30A1;SLC11A2;TSPAN5;ALDH6A1;ALAD;CA2;ELL2;KHNYN;TYR;PSMD9;MINPP1;USP15;UCP2;KLF3;NEK7;SELENBP1;FOXJ2;ARHGEF12;BLVRA;ISCA1;CCDC28A;CIR1;KAT2B;MOCOS;HEBP1;SIDT2;LRP10;SLC7A11;EZH1;RANBP10;GMPS;TMEM9B;UROS;TOP1;TFDP2;SLC2A1;RIOK3;MGST3;SLC25A38;RCL1;SPTA1;CDR2;UROD;C3;TNS1;ABCG2;TAL1;NFE2L1;E2F2;MXI1;CPOX;PDZK1IP1;ABCB6;SLC4A1;KEL;AGPAT4;SLC25A37;CAT;ALDH1L1;BLVRB;SPTB;RHAG;HBBP1;EPOR;PGLS;HBB;KLF1;SLC30A10;RAD23A;FN3K;MFHAS1;ANK1;ARL2BP;UBAC1;HMBS;OSBP2;ENDOD1;TMCC2;MAP2K3;PPP2R5B,13.07%,MBOAT2;DCAF10;SLC22A4;DCUN1D1;BNIP3L;BTG2;GCLC;TRAK2;RBM5;DAAM1;GCLM;GAPVD1;VEZF1;SLC30A1;SLC11A2;TSPAN5;ALDH6A1;ALAD;CA2,19/93
6,HALLMARK_HEDGEHOG_SIGNALING,0.9301839284636412,0.562133533563326,1.0932470114102566,0.34460887949260044,CELSR1;RTN1;TLE1;THY1;NRP1;LDB1;DPYSL2;SCG2;UNC5C;CRMP1;HEY2;NKX6-1;SLIT1;SHH;ETS2;MYH9;CDK5R1,2.64%,CELSR1;RTN1,2/17
7,HALLMARK_ANDROGEN_RESPONSE,0.9803548295731552,0.5559113167037513,1.0983851559352287,0.2745490981963928,ELOVL5;MAK;IQGAP2;SPDEF;APPBP2;XRCC5;DHCR24;ZMIZ1;ELL2;GNAI3;ARID5B;PIAS1;PGM3;SRP19;TMEM50A;STK39;MAP7;GSR;LMAN1;SLC38A2;SORD;GPD1L;RAB4A;HERC3;NKX3-1;KRT19;UBE2J1;TSC22D1;SEC24D;AKAP12;B4GALT1;SLC26A2;IDI1;SPCS3;KRT8;SGK1;PA2G4;SCD;XRCC6;CCND1;DNAJB9;ANKH;BMPR1B;ADAMTS1;ABCC4;MERTK;FADS1;PTPN21;ALDH1A3;STEAP4;B2M;TNFAIP8;SRF;HSD17B14,24.17%,ELOVL5;MAK;IQGAP2;SPDEF;APPBP2;XRCC5;DHCR24;ZMIZ1;ELL2;GNAI3;ARID5B;PIAS1;PGM3;SRP19;TMEM50A;STK39;MAP7;GSR;LMAN1;SLC38A2,20/54
8,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.9965795456831854,0.21055386015092725,0.41075067955833694,0.9865424430641822,DLL1;MAML1;ADAM17;NCSTN;CUL1;JAG1;HDAC2;CCND2;HEY2;AXIN2;DVL2;DKK4;NKD1;NOTCH4;DKK1;WNT1;WNT6;KAT2A;NOTCH1;MYC;GNAI1,29.61%,DLL1;MAML1;ADAM17;NCSTN;CUL1,5/21
9,HALLMARK_FATTY_ACID_METABOLISM,1.0,0.5676399728355546,1.1113549252484716,0.256,ELOVL5;UGDH;REEP6;ADIPOR2;SLC22A5;SERINC1;NBN;PDHB;GAPDHS;RETSAT;CBR3;DHCR24;ALAD;HSP90AA1;CA2;HSD17B4;SUCLG2;HSD17B7;ME1;HSDL2;SUCLA2;HSPH1;YWHAH;ACOT2;METAP1;HADH;BLVRA;FH;PTPRG;RDH11;UROS;LTC4S;PCBD1;MIF;IDI1;AUH;OSTC;DECR1;DLST;FASN;FMO1;ACAT2;DLD;LGALS1;CPT2;RDH16;ECHS1;ALDH9A1;UROD;MDH1;GRHPR;PTS;AOC3;SUCLG1;PRDX6;CPOX;GABARAPL1;ENO2;VNN1;FABP1;TP53INP2;MDH2;CA6;CEL;HSD17B11;S100A10;BMPR1B;GPD1;SDHD;NTHL1;INMT;CD1D;ECH1;ACO2;ACSS1;CYP1A1;ACSL1;TDO2;ACADL;CA4;ACADS;CBR1;MLYCD;ODC1;ACAA2,17.63%,ELOVL5;UGDH;REEP6;ADIPOR2;SLC22A5;SERINC1;NBN;PDHB;GAPDHS;RETSAT;CBR3;DHCR24;ALAD;HSP90AA1;CA2;HSD17B4;SUCLG2;HSD17B7;ME1;HSDL2,20/85
