,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_MYC_TARGETS_V2,0.0,-0.5933010746635619,-3.3630390344531387,0.0,RCL1;PPRC1;DDX18;MAP3K6;WDR43;MYC;IPO4;DUSP2;NOLC1;UTP20;NDUFAF4;SUPV3L1;SORD;BYSL;NOP16;DCTPP1;PA2G4;MRTO4;HSPE1;PLK4;HK2;PES1;CDK4;GRWD1;TMEM97;PLK1;MCM5;IMP4;SRM;WDR74;FARSA;RRP9;AIMP2;SLC19A1;SLC29A2;NOC4L,22.67%,NOC4L;SLC29A2;SLC19A1;AIMP2;RRP9;FARSA;WDR74;SRM;IMP4;MCM5;PLK1;TMEM97;GRWD1;CDK4;PES1;HK2;PLK4;HSPE1;MRTO4;PA2G4;DCTPP1;NOP16;BYSL;SORD,24/36
1,HALLMARK_PANCREAS_BETA_CELLS,0.06556324606279466,0.9861521792498613,1.714805770213608,0.01314459049544995,SST;NKX2-2;NEUROD1;SLC2A2;ABCC8;CHGA;SCGN;PCSK1;PAX4;GCK;PCSK2;ISL1;PDX1;FOXO1;ELP4;SYT13;NKX6-1;SEC11A;SRP14;HNF1A;DPP4;SRPRB;NEUROG3,0.93%,SST;NKX2-2;NEUROD1;SLC2A2;ABCC8;CHGA;SCGN;PCSK1;PAX4;GCK,10/23
2,HALLMARK_BILE_ACID_METABOLISM,0.12019928444845687,0.9958468082438745,1.635475450103006,0.002,GC;TTR;APOA1;NR1H4;ABCA8;SERPINA6;ABCG8;CYP7B1;SOAT2;LIPE;EFHC1;ABCD2;CYP46A1;SCP2;FADS1;NEDD4;ABCA1;GCLM;PEX12;EPHX2;BMP6;HSD17B11;PEX11A;LONP2;RETSAT;IDI1;RXRA;BCAR3;PIPOX;ACSL1;MLYCD;PFKM;PNPLA8;PEX6;PEX1;HACL1;RBP1;PEX7;CYP27A1;FADS2;BBOX1;ISOC1;HSD17B4;NPC1;GNMT;SLC35B2;NR0B2;HSD3B1;ABCA3;CAT;NUDT12;ALDH9A1;SOD1;AGXT;HAO1;CYP39A1;TFCP2L1;DHCR24;AKR1D1;HSD17B6;ABCA4;SULT2B1;KLF1;IDH2;PEX11G,0.02%,GC;TTR,2/65
3,HALLMARK_PEROXISOME,0.17814224094693548,0.9910565166968193,1.6362300979888487,0.006,TTR;ABCC8;SERPINA6;ABCB1;SEMA3C;ELOVL5;ABCD2;SCP2;FADS1;RDH11;YWHAH;CLN8;EPHX2;ABCC5;HSD17B11;ALB;PEX11A;LONP2;RETSAT;ERCC3;IDI1;VPS4B;CACNA1B;ACSL1;MLYCD;SLC25A17;BCL10;PEX6;IDE;FIS1;MSH2;ISOC1;HSD17B4;CLN6;SLC35B2;CAT;CEL;ALDH9A1;SOD1;SMARCC1;DHRS3;TOP2A;CRABP1;DHCR24;SLC25A4;CRABP2;HSD11B2;PABPC1;PEX14;SULT2B1;CDK7;ECH1;IDH2,0.19%,TTR;ABCC8,2/53
4,HALLMARK_HEDGEHOG_SIGNALING,0.47231417393921155,0.8564832576917929,1.50483551272439,0.08835758835758836,SCG2;RTN1;THY1;CRMP1;NRP1;CDK5R1;SLIT1;NKX6-1;DPYSL2;TLE1;LDB1;ETS2;MYH9;UNC5C;HEY2;SHH;CELSR1,9.46%,SCG2;RTN1;THY1;CRMP1;NRP1;CDK5R1;SLIT1,7/17
5,HALLMARK_G2M_CHECKPOINT,0.5118279569892473,-0.2171399462806988,-1.0,1.0,MEIS1;RASAL2;PAFAH1B1;PDS5B;PRPF4B;CUL3;ABL1;WRN;MT2A;SMAD3;CTCF;RPS6KA5;CCNT1;RPA2;SQLE;CUL5;TGFB1;STAG1;XPO1;SAP30;HUS1;MARCKS;TRA2B;CUL1;KIF5B;KPNB1;NUMA1;KIF20B;RAD23B;NOTCH2;SLC12A2;MNAT1;RAD21;CDKN1B;E2F4;SLC7A1;FANCC;MYC;SFPQ;CENPE;E2F3;BRCA2;TOP1;NCL;EFNA5;BCL3;NOLC1;BARD1;HMGN2;MCM6;UCK2;SMARCC1;DBF4;ODF2;POLQ;LMNB1;CCNA2;TOP2A;SNRPD1;CENPF;PRIM2;BUB1;RBM14;MCM3;UPF1;STMN1;PLK4;CCND1;ODC1;KIF11;GINS2;TACC3;CDK4;NEK2;PLK1;CCNF;MCM5;MAD2L1;TROAP;PTTG1;AURKB;CHAF1A;E2F2;CCNB2;ESPL1;SLC7A5;MYBL2;E2F1;PBK;CDC6;UBE2S;POLA2;KIF2C;EGF;HIRA;CDC20;MCM2;TRAIP;CKS2;KIF22;HOXC10,20.18%,HOXC10;KIF22;CKS2;TRAIP;MCM2;CDC20;HIRA;EGF;KIF2C;POLA2;UBE2S;CDC6;PBK;E2F1;MYBL2;SLC7A5;ESPL1;CCNB2;E2F2;CHAF1A;AURKB;PTTG1;TROAP;MAD2L1;MCM5;CCNF;PLK1;NEK2;CDK4;TACC3;GINS2;KIF11;ODC1;CCND1;PLK4;STMN1;UPF1;MCM3;RBM14;BUB1;PRIM2;CENPF;SNRPD1;TOP2A;CCNA2;LMNB1;POLQ,47/101
6,HALLMARK_MYC_TARGETS_V1,0.5118279569892473,-0.43365023270160236,-1.0,1.0,PSMA6;PSMD1;AP3S1;EIF2S1;XPO1;DDX21;DHX15;TRA2B;CUL1;HNRNPA3;PSMC6;YWHAQ;PSMA1;ETF1;UBA2;DDX18;KPNB1;RAD23B;SNRPD3;SF3B3;PSMA2;FAM120A;COPS5;PSMD7;PWP1;MYC;XRCC6;EIF3J;ERH;RPS10;RSL1D1;RPL22;RRM1;HSP90AB1;NOLC1;PSMD14;MCM6;GLO1;HDAC2;PTGES3;SNRPG;SMARCC1;SNRPA1;HDDC2;SET;PSMB2;VDAC1;SRPK1;SSBP1;LSM2;NOP16;CCNA2;SNRPD1;PA2G4;EIF3D;CAD;PSMD3;RPS3;TYMS;HSPE1;CCT4;RAN;EIF2S2;MRPS18B;ODC1;PSMB3;CDK4;FBL;CCT5;PABPC1;CCT2;PSMA7;STARD7;ILF2;IMPDH2;CLNS1A;MCM5;MAD2L1;NDUFAB1;PSMD8;GOT2;C1QBP;MRPL23;RPS6;LSM7;SRM;CDC20;RANBP1;MCM2;RRP9;PPIA;AIMP2;TUFM;SNRPA;RPL18;PRPF31;CYC1;RUVBL2;COX5A;EXOSC7,20.68%,EXOSC7;COX5A;RUVBL2;CYC1;PRPF31;RPL18;SNRPA;TUFM;AIMP2;PPIA;RRP9;MCM2;RANBP1;CDC20;SRM;LSM7;RPS6;MRPL23;C1QBP;GOT2;PSMD8;NDUFAB1;MAD2L1;MCM5;CLNS1A;IMPDH2;ILF2;STARD7;PSMA7;CCT2;PABPC1;CCT5;FBL;CDK4;PSMB3;ODC1;MRPS18B;EIF2S2;RAN;CCT4;HSPE1;TYMS;RPS3;PSMD3;CAD;EIF3D;PA2G4;SNRPD1;CCNA2;NOP16;LSM2;SSBP1,52/100
7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.5118279569892473,-0.48849292181340814,-1.0,1.0,NDUFV2;PDK4;NDUFB8;COX17;RETSAT;SLC25A12;SUCLA2;ATP6V1G1;ISCA1;NDUFB1;CYB5R3;SLC25A20;IDH3A;GLUD1;DLST;NDUFC2;MTRF1;PDHB;ATP6V0C;NDUFA5;ATP6V1D;AFG3L2;ALDH6A1;NDUFS4;ATP6V0E1;ACADSB;UQCRB;ACAA2;DLD;OAT;DECR1;NQO2;FDX1;SDHD;SUPV3L1;OXA1L;UQCRC2;MRPS30;NDUFB5;DLAT;TIMM17A;ACAT1;ACO2;MGST3;HSPA9;VDAC1;MRPS22;NDUFA9;LDHB;CS;LRPPRC;NDUFA6;SLC25A4;COX10;UQCRQ;GRPEL1;NDUFS6;MDH1;SURF1;VDAC2;NDUFB2;COX6C;GPI;COX8A;ETFB;SUCLG1;NDUFA7;UQCRFS1;COX7C;TIMM50;POR;COX4I1;TIMM10;NDUFAB1;UQCRH;COX6B1;GOT2;SDHB;ECHS1;MDH2;FH;MRPL15;TOMM22;COX6A1;POLR2F;ECH1;PMPCA;NDUFB7;COX5B;TIMM13;NDUFA3;NDUFC1;ATP6V1F;CYC1;MRPS15;NDUFA4;COX5A;UQCRC1;IDH2;NDUFS8;MRPL34;NDUFS7;RHOT2,18.61%,RHOT2;NDUFS7;MRPL34;NDUFS8;IDH2;UQCRC1;COX5A;NDUFA4;MRPS15;CYC1;ATP6V1F;NDUFC1;NDUFA3;TIMM13;COX5B;NDUFB7;PMPCA;ECH1;POLR2F;COX6A1;TOMM22;MRPL15;FH;MDH2;ECHS1;SDHB;GOT2;COX6B1;UQCRH;NDUFAB1;TIMM10;COX4I1;POR;TIMM50;COX7C;UQCRFS1;NDUFA7;SUCLG1;ETFB;COX8A;GPI;COX6C;NDUFB2;VDAC2;SURF1;MDH1;NDUFS6;GRPEL1;UQCRQ;COX10;SLC25A4;NDUFA6;LRPPRC;CS;LDHB,55/103
8,HALLMARK_E2F_TARGETS,0.5118279569892473,-0.38061173956055006,-1.0,1.0,BRMS1L;PDS5B;DCK;PPM1D;CTCF;PNN;RFC1;RPA2;NUP153;SMC3;POLD3;STAG1;NUDT21;EIF2S1;XPO1;HUS1;TRA2B;NUP205;SPC25;DCLRE1B;ASF1A;RAD21;CDKN1B;DONSON;MSH2;MYC;NBN;XRCC6;EXOSC8;CENPE;BRCA2;IPO7;RFC3;NCAPD2;ATAD2;NOLC1;BARD1;MCM6;RPA1;SLBP;NUP107;TIMELESS;SSRP1;LMNB1;TUBB;DCTPP1;HELLS;TOP2A;CIT;PA2G4;DIAPH3;PRIM2;RPA3;BUB1B;MCM3;RAN;STMN1;PLK4;GINS4;E2F8;TACC3;CDK4;POLE4;LIG1;TRIP13;CDCA3;SPAG5;PLK1;GINS1;DSCC1;MCM5;MAD2L1;KIF18B;PTTG1;AURKB;WDR90;CDCA8;NAA38;CCNB2;ESPL1;ASF1B;MYBL2;MELK;TUBG1;UBE2S;POLA2;KIF2C;POLD1;CDC20;RANBP1;SPC24;MCM2;TK1;CKS2;KIF22;RNASEH2A;POP7,19.84%,POP7;RNASEH2A;KIF22;CKS2;TK1;MCM2;SPC24;RANBP1;CDC20;POLD1;KIF2C;POLA2;UBE2S;TUBG1;MELK;MYBL2;ASF1B;ESPL1;CCNB2;NAA38;CDCA8;WDR90;AURKB;PTTG1;KIF18B;MAD2L1;MCM5;DSCC1;GINS1;PLK1;SPAG5;CDCA3;TRIP13;LIG1;POLE4;CDK4;TACC3;E2F8;GINS4;PLK4;STMN1;RAN;MCM3;BUB1B;RPA3;PRIM2;DIAPH3;PA2G4;CIT;TOP2A;HELLS;DCTPP1;TUBB;LMNB1,54/97
9,HALLMARK_DNA_REPAIR,0.5118279569892473,-0.17974735677680082,-1.0,1.0,EIF1B;NPR2;TAF10;ERCC4;REV3L;TK2;HCLS1;POLR3GL;RPA2;ERCC5;TAF13;POLD3;ARL6IP1;RAD52;NUDT21;DDB2;CSTF3;COX17;ERCC3;POLR2C;PNP;GTF2H5;GTF2B;PRIM1;RNMT;RRM2B;GTF2A2;TSG101;POLR2D;GTF2H3;ELL;DDB1;SNAPC5;RALA;BRF2;POLH;RBX1;STX3;CMPK2;DGCR8;SF3A3;POLR2A;RFC3;TMED2;SUPT4H1;ADA;SEC61A1;CDA;POLR3C;POLR1D;SSRP1;POLR2G;POLB;RPA3;AAAS;TYMS;GTF2F1;SURF1;POLE4;LIG1;IMPDH2;AK1;POLR2H;POLA2;POLD1;SNAPC4;POLR2E;POLR2F;VPS37D;POLL;MRPL40;SAC3D1;NT5C;CCNO;VPS37B;EDF1;NME3,16.62%,NME3;EDF1;VPS37B;CCNO;NT5C;SAC3D1;MRPL40;POLL;VPS37D;POLR2F;POLR2E;SNAPC4;POLD1;POLA2;POLR2H;AK1;IMPDH2;LIG1;POLE4;SURF1;GTF2F1;TYMS;AAAS;RPA3;POLB,25/77
