,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_KRAS_SIGNALING_DN,0.0,0.20644822433963683,1.9933203825680486,0.0,GRID2;HSD11B2;AMBN;ATP6V1B1;KCNE2;CDH16;PNMT;BMPR1B;EGF;IL12B;SLC16A7;OXT;TEX15;PAX4;TG;MYH7;FGF22;HNF1A;YBX2;CLPS;SLC6A3;CPA2;SLC30A3;VPREB1;INSL5;IFNG;ACTC1;NPHS1;EFHD1;CCDC106;SLC5A5;ABCB11;GPRC5C;EDAR;TFCP2L1;CHST2;PRODH;PROP1;RSAD2;TLX1;TNNI3;CPB1;TFAP2B;SOX10;KRT15;SCN10A;TSHB;DCC;KRT1;CALCB;ALOX12B;SIDT1;THNSL2;MEFV;KRT5;TFF2;CACNG1;NGB;KRT4;NRIP2;ATP4A;CD80;SPTBN2;TCF7L1;KCNN1;NTF3;IGFBP2;GP1BA;LFNG;CKM;NOS1;EDN2;ITIH3;SLC38A3;LYPD3;MYO15A;CCR8;CYP39A1;CPEB3;KLHDC8A;PTPRJ;CELSR2;RYR2;NR4A2;GPR19;TGM1;CLSTN3;MTHFR;SLC29A3;YPEL1;SLC25A23;CDKAL1;SGK1;PDK2;MAST3;C5;BARD1;RIBC2;ENTPD7;BTG2;SPHK2;SNN;SYNPO;COPZ2;MFSD6,39.32%,GRID2;HSD11B2;AMBN;ATP6V1B1;KCNE2;CDH16;PNMT;BMPR1B;EGF;IL12B;SLC16A7;OXT;TEX15;PAX4;TG;MYH7;FGF22;HNF1A;YBX2;CLPS;SLC6A3;CPA2;SLC30A3;VPREB1;INSL5;IFNG;ACTC1;NPHS1;EFHD1;CCDC106;SLC5A5;ABCB11;GPRC5C;EDAR;TFCP2L1;CHST2;PRODH;PROP1;RSAD2;TLX1;TNNI3;CPB1;TFAP2B;SOX10;KRT15;SCN10A;TSHB;DCC;KRT1;CALCB;ALOX12B;SIDT1;THNSL2;MEFV;KRT5;TFF2;CACNG1;NGB;KRT4;NRIP2;ATP4A;CD80;SPTBN2;TCF7L1;KCNN1;NTF3;IGFBP2;GP1BA;LFNG;CKM;NOS1;EDN2;ITIH3;SLC38A3;LYPD3;MYO15A;CCR8;CYP39A1;CPEB3;KLHDC8A,80/105
1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0,0.19109772450178858,2.2657433441217454,0.0,VEGFC;LAMA1;SNAI2;COL7A1;EDIL3;TGFBR3;DKK1;TGFBI;HTRA1;IL6;SLIT2;SGCG;ITGB3;CRLF1;SNTB1;MGP;AREG;CDH6;GREM1;GPC1;TNFRSF11B;CXCL1;COMP;PCOLCE;SFRP1;SDC4;CDH2;IGFBP2;COL4A2;LOXL2;MFAP5;TFPI2;ANPEP;GADD45B;THBS2;GLIPR1;ENO2;FBN2;NID2;FGF2;GADD45A;MATN3;ABI3BP;FAP;TNC;DST;SPOCK1;NT5E;SPARC;CDH11;WNT5A;ITGA2;BASP1;THY1;COL8A2;FMOD;THBS1;LOXL1;PLOD3;NTM;VIM;COL4A1;TNFAIP3;EFEMP2;PCOLCE2;OXTR;CXCL6;LAMC1;SFRP4;SCG2;COL16A1;GPX7;SLIT3;NOTCH2;COL6A2;DPYSL3;COL1A1;BMP1;IGFBP4;FSTL1;FSTL3;COL3A1;ID2;SERPINH1;CTHRC1;CAP2;MMP2;PLOD1;FBLN5;COL5A3;LGALS1;ITGB5;TGFB1;PDGFRB;EMP3;COL5A2;MSX1;LUM;MMP14;SGCB;COL1A2;COL5A1;FBN1;INHBA;FUCA1;CAPG;LRP1;TNFRSF12A;LOX;PPIB;DAB2;TPM4;ITGA5,76.48%,VEGFC;LAMA1;SNAI2;COL7A1;EDIL3;TGFBR3;DKK1;TGFBI;HTRA1;IL6;SLIT2;SGCG;ITGB3;CRLF1;SNTB1;MGP;AREG;CDH6;GREM1;GPC1;TNFRSF11B;CXCL1;COMP;PCOLCE;SFRP1;SDC4;CDH2;IGFBP2;COL4A2;LOXL2;MFAP5;TFPI2;ANPEP;GADD45B;THBS2;GLIPR1;ENO2;FBN2;NID2;FGF2;GADD45A;MATN3;ABI3BP;FAP;TNC;DST;SPOCK1;NT5E;SPARC;CDH11;WNT5A;ITGA2;BASP1;THY1;COL8A2;FMOD;THBS1;LOXL1;PLOD3;NTM;VIM;COL4A1;TNFAIP3;EFEMP2;PCOLCE2;OXTR;CXCL6;LAMC1;SFRP4;SCG2;COL16A1;GPX7;SLIT3;NOTCH2;COL6A2;DPYSL3;COL1A1;BMP1;IGFBP4;FSTL1;FSTL3;COL3A1;ID2;SERPINH1;CTHRC1;CAP2;MMP2;PLOD1;FBLN5;COL5A3;LGALS1;ITGB5;TGFB1;PDGFRB;EMP3;COL5A2;MSX1;LUM;MMP14;SGCB;COL1A2;COL5A1;FBN1;INHBA;FUCA1;CAPG;LRP1;TNFRSF12A;LOX;PPIB,110/113
2,HALLMARK_PROTEIN_SECRETION,0.0008490165558228386,-0.5173428118437355,-1.9925062842369687,0.0,ATP6V1B1;TSPAN8;SH3GL2;SCAMP1;SEC24D;EGFR;DST;BNIP3;ABCA1;CTSC;NAPG;GBF1;KIF1B;TOM1L1;ARFGEF1;ARFGEF2;MON2;NAPA;BET1;GOLGA4;SOD1;IGF2R;STX12;VAMP4;STAM;YKT6;RAB2A;LMAN1;USO1;CLN5;TMED10;STX7;SNX2;VPS45;ADAM10;SEC22B;VPS4B;TMX1;RAB14;AP3S1;RAB22A;AP3B1;TMED2;CLTC;VAMP3;TSG101,29.52%,TSG101;VAMP3;CLTC;TMED2;AP3B1;RAB22A;AP3S1;RAB14;TMX1;VPS4B;SEC22B;ADAM10;VPS45;SNX2;STX7;TMED10;CLN5;USO1;LMAN1;RAB2A;YKT6;STAM;VAMP4;STX12;IGF2R;SOD1;GOLGA4;BET1;NAPA;MON2;ARFGEF2;ARFGEF1,32/46
3,HALLMARK_MYC_TARGETS_V1,0.001273524833734258,-0.44069342295076824,-1.8811373926852837,0.0,EXOSC7;MRPL23;PSMA2;LSM7;CCNA2;HDDC2;CDC20;COX5A;HSPE1;RPS10;PSMA7;GOT2;PA2G4;FBL;NOP16;TYMS;MAD2L1;RRP9;IMPDH2;MYC;RPS3;PSMB3;SRPK1;MCM2;CYC1;RPL18;SNRPG;SRM;VDAC1;C1QBP;EIF2S2;SNRPA;TUFM;RUVBL2;AIMP2;LSM2;SSBP1;RPS6;MCM6;SMARCC1;ODC1;PSMA1;PSMA6;SNRPD1;RANBP1;RSL1D1;EIF3D;SNRPA1;CCT4;MCM5;PRPF31;ERH;PABPC1;CCT2;HDAC2;RPL22;CAD;NOLC1;NDUFAB1;PSMB2;ILF2;CCT5;CDK4;DDX21;FAM120A;PPIA;RAN;HSP90AB1;CUL1;COPS5;SET;EIF3J;GLO1;RRM1;SF3B3;ETF1;PSMD1;KPNB1;EIF2S1;PSMD14;PSMD7;MRPS18B;XPO1;HNRNPA3;UBA2;PSMD8;RAD23B;AP3S1;DHX15;PSMD3;PTGES3;CLNS1A;TRA2B;SNRPD3;PWP1;YWHAQ;XRCC6;DDX18;STARD7;PSMC6,33.22%,PSMC6;STARD7;DDX18;XRCC6;YWHAQ;PWP1;SNRPD3;TRA2B;CLNS1A;PTGES3;PSMD3;DHX15;AP3S1;RAD23B;PSMD8;UBA2;HNRNPA3;XPO1;MRPS18B;PSMD7;PSMD14;EIF2S1;KPNB1;PSMD1;ETF1;SF3B3;RRM1;GLO1;EIF3J;SET;COPS5;CUL1;HSP90AB1;RAN;PPIA;FAM120A;DDX21;CDK4;CCT5;ILF2;PSMB2;NDUFAB1;NOLC1;CAD;RPL22;HDAC2;CCT2;PABPC1;ERH;PRPF31;MCM5;CCT4;SNRPA1;EIF3D;RSL1D1;RANBP1;SNRPD1;PSMA6;PSMA1;ODC1;SMARCC1;MCM6;RPS6;SSBP1;LSM2;AIMP2;RUVBL2,67/100
4,HALLMARK_DNA_REPAIR,0.007131739068911845,-0.41340938156409746,-1.7203300345128039,0.0,CDA;VPS37D;CMPK2;NME3;CCNO;SUPT4H1;EDF1;MRPL40;POLA2;HCLS1;POLE4;POLD1;SAC3D1;ADA;AK1;STX3;SURF1;TYMS;NT5C;POLR2H;IMPDH2;REV3L;POLB;POLR2F;NPR2;LIG1;RPA3;RRM2B;RFC3;SNAPC4;POLR1D;COX17;RBX1;POLH;VPS37B;RAD52;TK2;TAF10;RALA;PRIM1;SEC61A1;ERCC4;GTF2H5;POLR2E;ELL;ERCC5;POLL;SNAPC5;DGCR8;POLR2G;BRF2;PNP;ARL6IP1;RNMT;GTF2F1;POLR3C;RPA2;DDB2;POLR3GL;AAAS;POLD3;GTF2H3;NUDT21;SSRP1;POLR2A;CSTF3;POLR2D;GTF2A2;TAF13;SF3A3;EIF1B;GTF2B;TMED2;DDB1;POLR2C;ERCC3;TSG101,53.23%,TSG101;ERCC3;POLR2C;DDB1;TMED2;GTF2B;EIF1B;SF3A3;TAF13;GTF2A2;POLR2D;CSTF3;POLR2A;SSRP1;NUDT21;GTF2H3;POLD3;AAAS;POLR3GL;DDB2;RPA2;POLR3C;GTF2F1;RNMT;ARL6IP1;PNP;BRF2;POLR2G;DGCR8;SNAPC5;POLL;ERCC5;ELL;POLR2E;GTF2H5;ERCC4;SEC61A1;PRIM1;RALA;TAF10;TK2;RAD52;VPS37B;POLH;RBX1;COX17;POLR1D;SNAPC4;RFC3;RRM2B;RPA3;LIG1;NPR2;POLR2F;POLB;REV3L;IMPDH2;POLR2H;NT5C;TYMS;SURF1;STX3;AK1;ADA;SAC3D1;POLD1;POLE4,67/77
5,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.007641149002405548,-0.44179834312873245,-1.7543544841085679,0.0,IFIT1;EIF4EBP1;TUBB2A;CCL2;EXOSC4;DDIT4;SLC7A5;CALR;EEF2;STC2;RRP9;HSPA5;YIF1A;KIF5B;DNAJB9;HSPA9;LSM4;BAG3;ZBTB17;EDC4;SRPRB;NFYB;EDEM1;NOP14;CEBPG;FKBP14;CNOT6;NOLC1;CNOT4;PDIA6;DCP1A;TATDN2;KHSRP;EIF2AK3;DCP2;EIF4A2;ERN1;EXOSC2;WIPI1;EXOSC1;HSP90B1;SSR1;EIF2S1;SEC11A;SDAD1;ATP6V0D1;DDX10;PREB;DNAJC3;SPCS3;EIF4A3;ATF6;CNOT2,39.10%,CNOT2;ATF6;EIF4A3;SPCS3;DNAJC3;PREB;DDX10;ATP6V0D1;SDAD1;SEC11A;EIF2S1;SSR1;HSP90B1;EXOSC1;WIPI1;EXOSC2;ERN1;EIF4A2;DCP2;EIF2AK3;KHSRP;TATDN2;DCP1A;PDIA6;CNOT4;NOLC1;CNOT6;FKBP14;CEBPG;NOP14;EDEM1;NFYB;SRPRB;EDC4;ZBTB17;BAG3;LSM4;HSPA9;DNAJB9,39/53
6,HALLMARK_HEME_METABOLISM,0.007853403141361256,-0.40698504996536256,-1.7277279343701348,0.0,EPOR;TYR;HBB;SLC4A1;ALDH1L1;TSPAN5;CA2;FN3K;TAL1;RHAG;HBBP1;KEL;SPTA1;SLC7A11;SPTB;SLC30A10;RANBP10;UCP2;ARL2BP;KLF1;ABCG2;CAT;C3;UBAC1;OSBP2;E2F2;ABCB6;TMCC2;ALDH6A1;PDZK1IP1;SELENBP1;AGPAT4;SLC25A37;HMBS;LRP10;TRAK2;ELL2;SLC2A1;MGST3;ANK1;BLVRA;DAAM1;TNS1;ARHGEF12;SLC25A38;MOCOS;GCLC;NFE2L1;TFDP2;HEBP1;FOXJ2;BTG2;KAT2B;PGLS;TOP1;RBM5;BNIP3L;RIOK3;ENDOD1;VEZF1;MXI1;EZH1;ALAD;BLVRB;RAD23A;KHNYN;MFHAS1;SIDT2;DCAF10;CDR2;GMPS;GAPVD1;SLC30A1;MAP2K3;ISCA1;KLF3;MINPP1;USP15;SLC22A4;CCDC28A;CPOX;UROS;GCLM;UROD;PPP2R5B;DCUN1D1;SLC11A2;NEK7;PSMD9;MBOAT2;CIR1;TMEM9B;RCL1,33.46%,RCL1;TMEM9B;CIR1;MBOAT2;PSMD9;NEK7;SLC11A2;DCUN1D1;PPP2R5B;UROD;GCLM;UROS;CPOX;CCDC28A;SLC22A4;USP15;MINPP1;KLF3;ISCA1;MAP2K3;SLC30A1;GAPVD1;GMPS;CDR2;DCAF10;SIDT2;MFHAS1;KHNYN;RAD23A;BLVRB;ALAD;EZH1;MXI1;VEZF1;ENDOD1;RIOK3;BNIP3L;RBM5;TOP1;PGLS;KAT2B;BTG2;FOXJ2;HEBP1;TFDP2;NFE2L1;GCLC;MOCOS;SLC25A38;ARHGEF12;TNS1;DAAM1,52/93
7,HALLMARK_PANCREAS_BETA_CELLS,0.010043942247332077,0.3286090282996362,1.7927058859875813,0.0,SLC2A2;NKX6-1;SST;SYT13;PAX4;PDX1;HNF1A;PCSK2;NEUROD1;CHGA;ISL1;NKX2-2;SCGN;GCK;DPP4;ABCC8;NEUROG3;PCSK1;FOXO1;SRPRB;SRP14;SEC11A;ELP4,0.43%,SLC2A2;NKX6-1;SST,3/23
8,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.026365348399246705,0.19506476105404205,1.6553912860787021,0.0,GMPR;RTP4;SAMD9L;RSAD2;GBP4;IFI30;RNF31;IFIT2;CMPK2;PARP14;SAMD9;SELL;IFI44;BST2;IRF9;TAP1;BATF2;LAMP3;USP18;OGFR;IRF1;LAP3;GBP2;UBA7;DDX60;TMEM140;PSME2;PARP12;IL7;DHX58;IFI35;STAT2;RIPK2;SLC25A28;B2M;ISG20;NUB1;IRF2;PLSCR1;NMI;HLA-C;TRIM21;TDRD7;LGALS3BP;TXNIP;TRIM25;TRIM26;IL4R;CNP;PROCR;PNPT1,80.60%,GMPR;RTP4;SAMD9L;RSAD2;GBP4;IFI30;RNF31;IFIT2;CMPK2;PARP14;SAMD9;SELL;IFI44;BST2;IRF9;TAP1;BATF2;LAMP3;USP18;OGFR;IRF1;LAP3;GBP2;UBA7;DDX60;TMEM140;PSME2;PARP12;IL7;DHX58;IFI35;STAT2;RIPK2;SLC25A28;B2M;ISG20;NUB1;IRF2;PLSCR1;NMI;HLA-C;TRIM21;TDRD7;LGALS3BP;TXNIP;TRIM25;TRIM26;IL4R;CNP;PROCR;PNPT1,51/51
9,HALLMARK_MITOTIC_SPINDLE,0.03820574501202774,-0.3609377848569615,-1.5635861810224185,0.001001001001001001,RHOT2;CDC42EP2;FGD4;SHROOM1;PIF1;KNTC1;TUBA4A;RICTOR;DST;DOCK2;TOP2A;NEK2;ESPL1;CCNB2;CDC42EP1;KIF3B;PLK1;RHOF;CENPF;ARAP3;FSCN1;KIF2C;CENPE;SAC3D1;MYH10;BUB1;LMNB1;ANLN;KIF3C;BRCA2;KIF11;NOTCH2;ARHGAP29;DOCK4;FGD6;SPTBN1;PREX1;PLEKHG2;KIF5B;PKD2;STK38L;NEDD9;NUMA1;ECT2;TIAM1;KIFAP3;PCM1;NET1;ARHGEF3;KIF20B;KIF1B;CEP250;ARHGAP10;ARHGEF12;CDC42EP4;WASL;SASS6;TRIO;ARFGEF1;HOOK3;NCK1;SMC3;RABGAP1;FARP1;MARK4;KIF22;WASF2;PCGF5;ABL1;CEP192;RAPGEF5;KATNB1;RASA2;MARCKS;CD2AP;SYNPO;MYH9;CENPJ;ACTN4;LATS1;KPTN;ROCK1;RANBP9;MAP1S;RASAL2;SSH2;SOS1;DYNC1H1;TUBGCP2;MAPRE1;ARHGDIA;TUBGCP3;PPP4R2;MAP3K11;ARL8A;LRPPRC;LLGL1;RFC1;ALMS1;TUBD1;CEP57;DYNLL2;CAPZB;TBCD;PAFAH1B1;RAB3GAP1;TAOK2;MYO1E,59.11%,MYO1E;TAOK2;RAB3GAP1;PAFAH1B1;TBCD;CAPZB;DYNLL2;CEP57;TUBD1;ALMS1;RFC1;LLGL1;LRPPRC;ARL8A;MAP3K11;PPP4R2;TUBGCP3;ARHGDIA;MAPRE1;TUBGCP2;DYNC1H1;SOS1;SSH2;RASAL2;MAP1S;RANBP9;ROCK1;KPTN;LATS1;ACTN4;CENPJ;MYH9;SYNPO;CD2AP;MARCKS;RASA2;KATNB1;RAPGEF5;CEP192;ABL1;PCGF5;WASF2;KIF22;MARK4;FARP1;RABGAP1;SMC3;NCK1;HOOK3;ARFGEF1;TRIO;SASS6;WASL;CDC42EP4;ARHGEF12;ARHGAP10;CEP250;KIF1B;KIF20B;ARHGEF3;NET1;PCM1;KIFAP3;TIAM1;ECT2;NUMA1;NEDD9;STK38L;PKD2;KIF5B;PLEKHG2;PREX1;SPTBN1;FGD6;DOCK4;ARHGAP29;NOTCH2;KIF11;BRCA2;KIF3C;ANLN;LMNB1;BUB1;MYH10;SAC3D1;CENPE;KIF2C;FSCN1;ARAP3;CENPF;RHOF;PLK1;KIF3B;CDC42EP1;CCNB2;ESPL1;NEK2,97/108
