,Term,combined_pval,combined_z,fdr_bh,matched_genes,rna_lead_genes,cnv_lead_genes,dna_lead_genes,rna_nes,cnv_nes,dna_nes,rna_wcos,cnv_wcos,dna_wcos,mpes
43,HALLMARK_SPERMATOGENESIS,6.579664029243551e-26,-10.525662928874791,2.9608488131595976e-24,ACE;ACRBP;ALOX15;BRAF;BUB1;CAMK4;CCNB2;CFTR;CLPB;CLVS1;CNIH2;COIL;CSNK2A2;CST8;DBF4;DCC;DDX25;DMC1;DMRT1;DNAJB8;ELOVL3;GAD1;GAPDHS;GMCL1;GPR182;HOXB1;HSPA1L;HSPA4L;HTR5A;IDE;IL12RB2;JAM3;KIF2C;LPIN1;MAP7;MAST2;MTNR1A;MTOR;NCAPH;NEK2;NOS1;NPY5R;ODF1;PCSK4;PEBP1;PGS1;PHKG2;PRKAR2A;SHE;SLC12A2;SLC2A5;SPATA6;STAM2;SYCP1;TALDO1;TEKT2;TLE4;TNNI3;TNP1;TOPBP1;TSN;TUBA3C;TULP2;YBX2,TALDO1;CLVS1;IL12RB2;CSNK2A2;CCNB2,ODF1;CST8;GAPDHS;TUBA3C;CLVS1;GMCL1;LPIN1;SHE;NEK2;ACRBP;TSN;TNP1;STAM2;GAD1;ACE;ALOX15;YBX2;PGS1;PCSK4;CNIH2;MAP7;HSPA1L;HOXB1;COIL;JAM3;DDX25;CLPB;IL12RB2;SYCP1;DBF4;BRAF;HTR5A;SPATA6;KIF2C;MAST2;DMRT1;TLE4;BUB1;MTOR;SLC2A5;NCAPH,MTNR1A;YBX2;HOXB1;TUBA3C;IL12RB2;PCSK4;HTR5A;CLVS1;DNAJB8;IDE;NOS1;DCC;COIL;PHKG2;CNIH2;ODF1;ACRBP;GAD1;JAM3;TLE4;CST8;NCAPH;SLC2A5;ALOX15;ELOVL3;DDX25;TNNI3;CSNK2A2;TALDO1;HSPA4L,0.4444390207377378,0.7814666177879879,-1.967827432020357,3.711722448437954e-18,4.2953014170814355e-17,-0.7548047331589177,-2.449489742783178
2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,3.170904742351093e-09,5.922496542952507,7.134535670289959e-08,ACAA2;ACADSB;ACAT1;ACO2;AFG3L2;ALDH6A1;ATP6V0C;ATP6V0E1;ATP6V1D;ATP6V1F;ATP6V1G1;COX10;COX17;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7C;COX8A;CS;CYB5R3;CYC1;DECR1;DLAT;DLD;DLST;ECH1;ECHS1;ETFB;FDX1;FH;GLUD1;GOT2;GPI;GRPEL1;HSPA9;IDH2;IDH3A;ISCA1;LDHB;LRPPRC;MDH1;MDH2;MGST3;MRPL15;MRPL34;MRPS15;MRPS22;MRPS30;MTRF1;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA9;NDUFAB1;NDUFB1;NDUFB2;NDUFB5;NDUFB7;NDUFB8;NDUFC1;NDUFC2;NDUFS4;NDUFS6;NDUFS7;NDUFS8;NDUFV2;NQO2;OAT;OXA1L;PDHB;PDK4;PMPCA;POLR2F;POR;RETSAT;RHOT2;SDHB;SDHD;SLC25A12;SLC25A20;SLC25A4;SUCLA2;SUCLG1;SUPV3L1;SURF1;TIMM10;TIMM13;TIMM17A;TIMM50;TOMM22;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRQ;VDAC1;VDAC2,NDUFS6;LDHB;NDUFB7;COX6B1;MGST3;NDUFB5;TIMM50;COX6C;UQCRB;NDUFS8;NDUFA9;TIMM13;POLR2F;UQCRH;COX4I1;ECH1;MRPL15;GPI;TIMM17A;NDUFB2;NDUFA4;MDH1;MRPS15;COX5B;CYC1;NDUFAB1;COX5A;SDHB;GRPEL1;COX8A;LRPPRC;NDUFS7;MRPS30;ECHS1;NDUFB8;COX6A1;TIMM10;NDUFC1;TOMM22;COX7C;SUCLG1;MRPL34;PMPCA;COX17;MDH2;UQCRC1;NDUFS4;NDUFB1;GOT2;UQCRQ;RHOT2;ATP6V1F;FDX1;FH;MTRF1;SDHD,UQCRB;COX6C;GPI;DECR1;NDUFB5;ECH1;NDUFB7;TIMM50;COX6B1;LRPPRC;MDH1;NDUFA7;NDUFS6;MRPS30;RETSAT;SUCLG1;MRPL15;MGST3;SUCLA2;MTRF1;TIMM17A,ALDH6A1;DLST;ISCA1;NDUFS7;UQCRB;UQCRC1;MRPS15;COX8A;MRPL15;SUCLG1;HSPA9;SUPV3L1;TIMM13;PDK4;NDUFV2;MRPL34;FDX1;COX6A1;SLC25A20;ECH1;ATP6V1F;MRPS30;SDHB;TOMM22;GPI;UQCRC2,2.4939678234417406,1.114492126320896,-0.7962612397728158,1.0828190134284779,2.2959066481690688e-17,-1.9897994361261585e-17,2.4494897427831783
9,HALLMARK_INTERFERON_GAMMA_RESPONSE,2.2916968457873606e-06,-4.725836770822169,3.437545268681041e-05,APOL6;ARID5B;B2M;BATF2;BST2;BTG1;C1R;CCL2;CCL5;CCL7;CD38;CD86;CFB;CFH;CIITA;CMPK2;CSF2RB;CXCL9;DDX60;DHX58;FPR1;GBP4;GBP6;GZMA;HLA-A;HLA-B;HLA-DMA;HLA-DRB1;HLA-G;ICAM1;IDO1;IFI30;IFI35;IFI44;IFIT1;IFIT2;IL2RB;IL4R;IL6;IL7;IRF1;IRF2;IRF8;IRF9;ISG20;ISOC1;ITGB7;JAK2;KLRK1;LAP3;LATS2;LCP2;LGALS3BP;MT2A;MX2;MYD88;NAMPT;NFKBIA;NLRC5;NMI;NOD1;NUP93;OAS3;OGFR;PARP12;PARP14;PFKP;PIM1;PLA2G4A;PLSCR1;PNP;PNPT1;PSMA2;PSMB10;PSMB2;PSME2;PTGS2;PTPN1;PTPN6;RIPK1;RIPK2;RNF213;RNF31;RSAD2;RTP4;SAMD9L;SAMHD1;SECTM1;SELP;SLAMF7;SLC25A28;SOCS1;SOCS3;SPPL2A;SRI;ST3GAL5;ST8SIA4;STAT2;STAT4;TAP1;TDRD7;TNFAIP2;TNFAIP3;TNFAIP6;TNFSF10;TOR1B;TRIM21;TRIM25;TRIM26;TXNIP;USP18;VAMP5;VAMP8;ZNFX1,TXNIP;FPR1;ZNFX1;IL4R;IRF2;PLSCR1;ST8SIA4;PTPN1;CFH;TRIM26;IRF8;IL7;TNFAIP3;HLA-DRB1;NLRC5;ITGB7;CIITA;PSMA2;C1R;ARID5B;NOD1;B2M;SOCS3;SLC25A28;DHX58;BTG1;RIPK1;RNF31;RNF213;MX2;APOL6;STAT2;TRIM21;MYD88;ICAM1;PSMB10;GBP6;KLRK1;DDX60;IFI30;LCP2;HLA-DMA;CCL2;SOCS1;JAK2;BATF2;TOR1B;SELP;NAMPT;IL2RB;IFI35;CD86;MT2A;IRF9;GZMA;SAMHD1;STAT4;CFB;PTPN6;BST2;OAS3;CCL5;NFKBIA;PARP14;IRF1;IFI44;SLAMF7;LATS2;USP18;CD38;LAP3;VAMP5;TDRD7;IFIT2;IL6;GBP4;CMPK2;TNFAIP2;ISG20,OGFR;RIPK2;TNFSF10;TXNIP;PNPT1;ICAM1;IL7;VAMP5;ST3GAL5;VAMP8;SELP;SLAMF7;RSAD2;CMPK2;PFKP;PIM1;PTGS2;PLA2G4A;CFH;LATS2;IL6;NOD1;PTPN1;ZNFX1;KLRK1;C1R;PTPN6;SAMHD1;STAT4;TNFAIP6;NMI;DHX58;CCL7;CCL2;CCL5;TRIM26;HLA-A;HLA-G;HLA-B;SOCS3;LGALS3BP;SECTM1;RIPK1;BATF2;TNFAIP3;TRIM21;CFB;HLA-DRB1;TAP1;HLA-DMA;IFI35,IRF8;CCL7;SAMD9L;PSMB10;IL2RB;SOCS3;ISG20;DHX58;TNFAIP6;PNPT1;IL6;JAK2;BTG1;TOR1B;RNF31;RIPK2;PIM1;CCL2;C1R;PTGS2;VAMP5;NAMPT;CMPK2;IL7;TNFSF10;CFH;TAP1;SLAMF7;RSAD2;SECTM1;TXNIP;SPPL2A;DDX60;STAT4;SOCS1;MT2A;CIITA,-1.6475441330329064,0.95911230433863,-0.8866213869214796,-0.8326656964895047,3.93717194019922e-17,-2.7668175577215204e-17,-2.449489742783178
0,HALLMARK_MYC_TARGETS_V2,1.1004688375033902e-05,4.396427915486643,0.0001238027442191314,AIMP2;BYSL;CDK4;DCTPP1;DDX18;DUSP2;FARSA;GRWD1;HK2;HSPE1;IMP4;IPO4;MAP3K6;MCM5;MRTO4;MYC;NDUFAF4;NOC4L;NOLC1;NOP16;PA2G4;PES1;PLK1;PLK4;PPRC1;RCL1;RRP9;SLC19A1;SLC29A2;SORD;SRM;SUPV3L1;TMEM97;UTP20;WDR43;WDR74,NDUFAF4;NOP16;SLC29A2;AIMP2;BYSL;HSPE1;SLC19A1;FARSA;MRTO4;NOC4L;WDR74;PA2G4;SRM;WDR43;PES1;DCTPP1;PLK1;IMP4;MYC;TMEM97;RRP9,MYC;FARSA;HK2;WDR43;BYSL;AIMP2;HSPE1;DDX18;TMEM97,IMP4;DDX18;RCL1;PLK4;SUPV3L1;DUSP2;PLK1;SRM;TMEM97;PES1;WDR74;NDUFAF4,2.2856752542879413,0.8240823230986147,-0.8385159210408658,1.0503416738055962,2.0415742002676142e-17,-2.6781465706099417e-17,2.4494897427831783
1,HALLMARK_MYC_TARGETS_V1,1.4004317157852205e-05,4.343793485526828,0.00012603885442066985,AIMP2;AP3S1;C1QBP;CAD;CCNA2;CCT2;CCT4;CCT5;CDC20;CDK4;CLNS1A;COPS5;COX5A;CUL1;CYC1;DDX18;DDX21;DHX15;EIF2S1;EIF2S2;EIF3D;EIF3J;ERH;ETF1;EXOSC7;FAM120A;FBL;GLO1;GOT2;HDAC2;HDDC2;HNRNPA3;HSP90AB1;HSPE1;ILF2;IMPDH2;KPNB1;LSM2;LSM7;MAD2L1;MCM2;MCM5;MCM6;MRPL23;MRPS18B;MYC;NDUFAB1;NOLC1;NOP16;ODC1;PA2G4;PABPC1;PPIA;PRPF31;PSMA1;PSMA2;PSMA6;PSMA7;PSMB2;PSMB3;PSMC6;PSMD1;PSMD14;PSMD3;PSMD7;PSMD8;PTGES3;PWP1;RAD23B;RAN;RANBP1;RPL18;RPL22;RPS10;RPS3;RPS6;RRM1;RRP9;RSL1D1;RUVBL2;SET;SF3B3;SMARCC1;SNRPA;SNRPA1;SNRPD1;SNRPD3;SNRPG;SRM;SRPK1;SSBP1;STARD7;TRA2B;TUFM;TYMS;UBA2;VDAC1;XPO1;XRCC6;YWHAQ,MRPL23;HDDC2;RPS10;PSMB3;LSM7;FBL;SNRPG;PSMA1;LSM2;PRPF31;SNRPD1;CCT4;RPS3;CCT2;NOP16;SSBP1;SNRPA;AIMP2;MRPS18B;HSPE1;C1QBP;HDAC2;CYC1;CDC20;COPS5;NDUFAB1;GLO1;CCT5;COX5A;PSMD8;RAN;PA2G4;CAD;RPS6;EXOSC7;AP3S1;CLNS1A;SRM;RANBP1;YWHAQ;RPL22;ODC1;RPL18;PSMA7;SNRPA1;PSMB2;EIF2S2;HSP90AB1;ILF2;PPIA;RUVBL2;UBA2;EIF3J;PSMD3;PTGES3;GOT2;MAD2L1;TUFM,PABPC1;UBA2;MYC;PSMD8;FBL;SNRPA;XPO1;CCT4;COPS5;CCT2;CCT5;SNRPG;CAD;ODC1;YWHAQ;SRPK1;ILF2;GLO1;HSP90AB1;PSMA7;AIMP2;EIF2S2;HNRNPA3;HSPE1;PSMD14,RRP9;AIMP2;HSP90AB1;XPO1;NDUFAB1;HNRNPA3;COX5A;EXOSC7;TYMS;ODC1;NOLC1;LSM2;FAM120A;MRPL23;PRPF31;MRPS18B;VDAC1;PSMA1;EIF3D;PSMA2;C1QBP;PA2G4;SMARCC1;SNRPA;UBA2;SNRPG;PSMA6;CCNA2;RPS10;PSMD14;SSBP1;RRM1,2.734235465967745,0.9233105812053536,0.981498910581775,1.250707239788564,2.287401402247254e-17,3.025304973360151e-17,2.449489742783178
5,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0007917362119005067,-3.3556677591414052,0.0059380215892538,ABCA1;AREG;B4GALT1;B4GALT5;BCL3;BHLHE40;BIRC2;BMP2;BTG1;BTG2;CCL2;CCL5;CCND1;CCNL1;CD80;CSF2;CXCL1;CXCL2;CXCL3;CXCL6;DENND5A;DNAJB4;DRAM1;DUSP1;DUSP2;DUSP5;EGR1;EGR3;EHD1;EIF1;ETS2;F2RL1;F3;FOS;FOSL1;FOSL2;GADD45A;GADD45B;GFPT2;HBEGF;HES1;ICAM1;ID2;IER2;IER3;IFIT2;IFNGR2;IL12B;IL1A;IL1B;IL23A;IL6;IL7R;INHBA;IRF1;IRS2;JAG1;KDM6B;KLF10;KLF2;KLF4;KLF9;KYNU;LDLR;LIF;MAP2K3;MAP3K8;MARCKS;MSC;MXD1;MYC;NAMPT;NFKBIA;NFKBIE;NINJ1;NR4A2;OLR1;PANX1;PER1;PFKFB3;PLEK;PLK2;PNRC1;PPP1R15A;PTGER4;PTGS2;REL;RELB;RIPK2;SDC4;SGK1;SMAD3;SNN;SOCS3;SPSB1;STAT5A;TANK;TAP1;TIPARP;TLR2;TNC;TNF;TNFAIP2;TNFAIP3;TNFAIP6;TNFAIP8;TNFRSF9;TNFSF9;TNIP1;TRAF1;TRIB1;TRIP10;TSC22D1;TUBB2A;YRDC;ZC3H12A;ZFP36,HBEGF;SMAD3;PPP1R15A;REL;KLF2;KDM6B;NR4A2;SNN;ZC3H12A;DENND5A;ZFP36;FOSL2;KLF4;ABCA1;PTGER4;DUSP1;TANK;BHLHE40;CCNL1;GADD45A;BTG2;SGK1;TNIP1;HES1;IRS2;PFKFB3;FOS;TRIB1;CXCL2;IFNGR2;IL7R;TNFAIP3;CCND1;KYNU;KLF10;PER1;B4GALT1;DNAJB4;SOCS3;TNFAIP8;BTG1;TIPARP;TRAF1;IL1A;KLF9;ICAM1;MSC;DRAM1;F3;TNC;LDLR;IL1B;CCL2;TLR2;DUSP5;GADD45B;MXD1;NAMPT;B4GALT5;TNFRSF9;PLEK;IL12B;SPSB1;CD80;SDC4;OLR1;BCL3,KLF10;RELB;TRIB1;MYC;RIPK2;BCL3;IER2;ZFP36;KLF2;MAP3K8;REL;TNFSF9;TRIP10;PLEK;ICAM1;LDLR;MSC;IL7R;PTGER4;MXD1;FOSL2;ID2;PFKFB3;BTG2;PTGS2;TSC22D1;IL6;B4GALT5;NFKBIE;IRS2;SDC4;OLR1;BMP2;JAG1,PTGER4;MAP3K8;BCL3;LDLR;LIF;KYNU;TNFAIP3;MSC;TNF;STAT5A;B4GALT5;TNFAIP8;BTG2;IRF1;KLF2;NR4A2;MAP2K3;BHLHE40;TRAF1;NINJ1;TRIB1;TSC22D1;TIPARP;OLR1;PPP1R15A;TNIP1;IL1B;EHD1;CCL5;CXCL2;MARCKS;INHBA;IL7R;IRS2;RELB,-1.847666915591328,1.0718579471969332,1.2694921099585266,-0.8241749438720767,3.0357637343263903e-17,3.688543316479928e-17,-2.449489742783178
7,HALLMARK_INFLAMMATORY_RESPONSE,0.0017496600043601092,-3.129731746737922,0.011247814313743559,ABCA1;ACVR2A;ADM;ADORA2B;AHR;BDKRB1;BST2;BTG2;C3AR1;C5AR1;CALCRL;CCL17;CCL2;CCL22;CCL24;CCL5;CCL7;CCR7;CD48;CD70;CHST2;CX3CL1;CXCL6;CXCL9;DCBLD2;EBI3;EMP3;EREG;F3;FPR1;FZD5;GNA15;GNAI3;GP1BA;GPR132;HAS2;HBEGF;ICAM1;IFNAR1;IFNGR2;IL10;IL12B;IL18R1;IL18RAP;IL1A;IL1B;IL1R1;IL2RB;IL4R;IL6;IL7R;INHBA;IRAK2;IRF1;ITGA5;ITGB3;ITGB8;KCNJ2;KIF1B;LAMP3;LCP2;LDLR;LIF;MARCO;MEFV;MMP14;MXD1;MYC;NAMPT;NFKBIA;NMI;NMUR1;NOD2;NPFFR2;OLR1;OPRK1;OSM;OSMR;P2RX4;P2RX7;PCDH7;PTGER2;PTGER4;PTGIR;RAF1;RGS1;RGS16;RHOG;RIPK2;RNF144B;ROS1;RTP4;SCN1B;SELE;SELL;SEMA4D;SLAMF1;SLC11A2;SLC1A2;SLC31A2;SLC7A1;SRI;STAB1;TACR1;TACR3;TLR1;TLR2;TLR3;TNFAIP6;TNFRSF1B;TNFRSF9;TNFSF10;TNFSF15;TNFSF9,RAF1;HBEGF;ITGA5;IFNAR1;TLR3;IL1R1;ABCA1;PTGER4;FPR1;IL4R;SLC31A2;BTG2;STAB1;SCN1B;CALCRL;PCDH7;HAS2;IFNGR2;IL7R;IL18R1;EBI3;CCL22;C5AR1;SLC11A2;PTGIR;IRAK2;PTGER2;TNFRSF1B;FZD5;GPR132;IL1A;ICAM1;SEMA4D;F3;LDLR;LCP2;P2RX7;IL1B;CHST2;CD70;OSMR;CCL2;TLR2;IL10;NMUR1;SLAMF1;C3AR1;MXD1;CCR7;CD48;KIF1B;NAMPT;DCBLD2;IL2RB;TNFRSF9;LAMP3;GP1BA;NOD2;IL12B;IL18RAP;RGS16;OLR1;SELL;BST2;TACR1;CCL5;MEFV;SELE;NFKBIA;EMP3;IRF1;TNFSF15;ITGB3;TNFSF9;RNF144B;OSM;SLC1A2;TACR3;KCNJ2;IL6,C5AR1;SCN1B;MYC;HAS2;RIPK2;TNFSF10;PTGIR;TNFSF9;CD70;ICAM1;LAMP3;LDLR;IL7R;PTGER4;OSMR;MXD1;TACR1;OPRK1;RGS16;SELL;SELE;IL10;CD48;SLAMF1;BTG2;RGS1;SLC7A1;IL6;ITGB8;AHR,GP1BA;C5AR1;GPR132;CCL7;RGS1;CCL24;SLC31A2;IL2RB;TNFAIP6;ADORA2B;STAB1;MEFV;IL6;CXCL6;IL12B;OSMR;IL10;EBI3;RIPK2;ITGB8;IFNAR1;NPFFR2;CCL2;CCL17;IFNGR2;F3;NAMPT,-1.909567211215768,1.1723443796235555,-0.8086170673608755,-0.9898180267960331,3.040646154630964e-17,-1.9082603258761702e-17,-2.449489742783178
20,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.00513880138409592,-2.7982016854420793,0.02890575778553955,ABCA3;ADCY1;ADCY9;AFF1;AKAP1;AMFR;ANXA9;AREG;ARL3;B4GALT1;BCL2;BHLHE40;BLVRB;CBFA2T3;CCND1;CELSR1;CELSR2;CHPT1;CLDN7;CLIC3;CYP26B1;DHRS3;DLC1;EGR3;ELOVL2;ELOVL5;ENDOD1;ESRP2;FAM102A;FARP1;FASN;FDFT1;FKBP4;FOS;FRK;GAB2;GREB1;HES1;HSPB8;IGF1R;IGFBP4;IL17RB;INHBB;INPP5F;ISG20L2;ITPK1;JAK2;KCNK15;KCNK5;KDM4B;KLF10;KLF4;KRT15;KRT19;KRT8;LAD1;LRIG1;MED13L;MICB;MPPED2;MREG;MYC;NADSYN1;NAV2;NPY1R;NRIP1;OLFM1;OLFML3;OPN3;OVOL2;PEX11A;PGR;PPIF;PRSS23;PTGES;RAB17;RAB31;RAPGEFL1;RHOBTB3;RHOD;RPS6KA2;SEC14L2;SIAH2;SLC19A2;SLC1A1;SLC22A5;SLC24A3;SLC26A2;SLC2A1;SLC37A1;SLC7A5;SLC9A3R1;SNX24;STC2;SULT2B1;SYNGR1;SYT12;TFAP2C;TFF1;TFF3;THSD4;TIAM1;TIPARP;TJP3;TSKU;TTC39A;TUBB2B;UGCG,ITPK1;SLC22A5;AMFR;KLF4;ADCY1;CELSR1;BHLHE40;BCL2;NADSYN1;HES1;TIAM1;AFF1;NRIP1;GAB2;FOS;FAM102A;ADCY9;CCND1;INPP5F;THSD4;KLF10;TJP3;CHPT1;B4GALT1;LRIG1;RAB31;DLC1;TIPARP;SLC37A1;MED13L;DHRS3;CBFA2T3;IGFBP4;TTC39A;FRK;HSPB8;UGCG;PEX11A;CELSR2;ENDOD1;CYP26B1;NAV2;JAK2;INHBB;IGF1R;RPS6KA2,KLF10;MYC;BLVRB;SLC24A3;KDM4B;CYP26B1;SLC19A2;GREB1;ISG20L2;ANXA9;LAD1;KCNK5;FARP1;ELOVL5;FKBP4;OPN3;RPS6KA2;TFAP2C;KCNK15;MREG;OVOL2;INHBB;IGFBP4;RAPGEFL1;KRT15;KRT19;ELOVL2;CLDN7;MICB;FASN;RAB17;TUBB2B;SYT12;RHOD;MPPED2;NAV2;FRK;PRSS23;PGR;ENDOD1;SLC9A3R1;AKAP1;NADSYN1;CCND1;GAB2;TSKU,MICB;CLIC3;OLFM1;TJP3;ELOVL5;AFF1;KRT19;RAPGEFL1;SYT12;NPY1R;CLDN7;JAK2;OPN3;KCNK5;ADCY1;CBFA2T3;IGF1R;HSPB8;HES1;CELSR2;LAD1;B4GALT1;RPS6KA2;TFF1;SULT2B1;MPPED2,-1.2990890172852576,0.8045036821140956,-1.188534316031697,-0.3845077779977117,3.169188277508865e-17,-0.07044772562655584,-3.142967702573245
12,HALLMARK_ALLOGRAFT_REJECTION,0.006653558763112149,-2.7137040006172377,0.03326779381556075,ACVR2A;B2M;BCAT1;BCL10;BCL3;CAPG;CARTPT;CCL11;CCL19;CCL2;CCL22;CCL5;CCL7;CCND2;CD1D;CD2;CD28;CD3E;CD3G;CD4;CD7;CD80;CD86;CRTAM;CTSS;CXCL13;CXCL9;EGFR;EIF3A;EIF3D;EIF3J;EIF4G3;ELANE;EREG;ETS1;F2;F2R;GALNT1;GBP2;GLMN;GPR65;GZMA;GZMB;HCLS1;HLA-A;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DRA;HLA-E;HLA-G;ICAM1;IFNG;IFNGR1;IFNGR2;IKBKB;IL10;IL11;IL12A;IL12B;IL13;IL16;IL18RAP;IL1B;IL2;IL27RA;IL2RA;IL2RB;IL4R;IL6;IL7;IL9;INHBA;INHBB;IRF8;ITK;JAK2;KRT1;LCP2;LIF;LY75;LY86;MMP9;MRPL3;NCK1;NOS2;PF4;PRKCG;PSMB10;PTPN6;RIPK2;RPL3L;RPS19;RPS3A;RPS9;SIT1;SOCS1;SRGN;ST8SIA4;STAB1;STAT4;TAP1;TGFB1;THY1;TLR1;TLR2;TLR3;TLR6;TNF;TRAF2;TRAT1;UBE2D1;UBE2N;ZAP70,F2R;LY75;EIF3A;TLR3;HLA-E;IL4R;STAB1;EIF4G3;ST8SIA4;TGFB1;HLA-DMB;IFNGR2;IRF8;IL7;CCL22;LY86;HLA-DRA;HCLS1;B2M;HLA-DOA;GBP2;ICAM1;CD4;IL16;CCND2;PSMB10;CTSS;SRGN;NCK1;UBE2N;BCL10;EGFR;LCP2;CD1D;HLA-DMA;IL1B;CD28;ETS1;CCL2;TLR2;IL10;CD3E;SOCS1;IL13;JAK2;ZAP70;INHBB;IL2RB;CD2;CD86;ITK;IL2;IL12B;IL18RAP;CD80;GZMA;SIT1;BCL3;STAT4;IL2RA;PTPN6;GZMB;TRAT1;ELANE;GPR65;CRTAM,RIPK2;BCL3;IL27RA;ICAM1;IL7;CAPG;IFNG;IKBKB;IL10;CD1D;IL2RA;CTSS;IL6;MMP9;BCAT1;PTPN6;CCND2;CD4;CD28;STAT4;ACVR2A;LY75;ELANE;INHBB;NOS2;CCL11;CCL7;CCL2;CCL5;LY86;HLA-E;HLA-A;HLA-G;TNF;CD7;F2;IFNGR1;HLA-DRA;HLA-DOB;TAP1;HLA-DMB;HLA-DMA;HLA-DOA;ETS1;CD3G;CD3E;CRTAM;THY1,IRF8;PRKCG;CCL7;PSMB10;IL16;ELANE;CD7;CCL11;CD1D;IL2RB;GBP2;STAB1;HLA-DOB;TGFB1;HLA-DOA;IL6;JAK2;CD4;IL12B;IL10;RIPK2;IL11;ITK;CCL2;IL12A;EIF3J;IFNGR2;IL27RA;TLR6;RPL3L;LY86;IL7;TAP1;RPS3A;SRGN;EREG;HLA-DRA;HCLS1;NOS2;MRPL3;STAT4;SOCS1,-1.5638055396538788,0.8204544334062674,-1.0850760215463662,-0.6682299321237177,3.1773398799618076e-17,-0.010375170436001302,-2.5067533615116884
44,HALLMARK_COAGULATION,0.02292054576953511,-2.2747564214911695,0.103142455962908,A2M;ACOX2;ANXA1;APOA1;APOC1;APOC2;APOC3;ARF4;BMP1;C1QA;C1R;C3;C8A;C8B;C8G;CAPN2;CAPN5;CD9;CFB;CFD;CFH;CFI;COMP;CPN1;CRIP2;CTSK;CTSO;DPP4;DUSP14;F10;F11;F12;F13B;F2;F3;FBN1;FGA;FURIN;GDA;GNB2;GNG12;GP1BA;GP9;HTRA1;ITGA2;ITGB3;KLF7;KLKB1;LEFTY2;LRP1;LTA4H;MASP2;MMP10;MMP11;MMP14;MMP15;MMP2;MMP7;MMP8;MMP9;MSRB2;OLR1;PDGFB;PEF1;PF4;PLEK;PREP;PROC;PROZ;PRSS23;RABIF;SERPINC1;SH2B2;SPARC;TF;TFPI2;THBS1;TMPRSS6;VWF,MMP8;MSRB2;F12;CD9;MMP7;RABIF;DUSP14;SERPINC1;APOA1;TF,APOC2;APOC1;COMP;C3;PLEK;MSRB2;SERPINC1;CAPN2;LEFTY2;CTSK;RABIF;F13B;CFH;VWF;MMP9;F10;PROZ;C1R;A2M;OLR1;CD9,MASP2;GP1BA;C8A;C1QA;COMP;MMP7;LTA4H;TMPRSS6;C8G;RABIF;HTRA1;SERPINC1;C8B;CD9;PROC;APOC3;F13B;MMP11;PDGFB;C3;C1R;APOA1;MMP2;F3;GDA;CFH;CFI;VWF;MMP10;ARF4,0.5435219923124905,0.9456580827752832,-1.2614398351801368,7.192200209250465e-18,2.4748284531123196e-17,-0.15591788345015006,-2.4494897427831774
