gene_name,tm1,tm2,tm3,tm4,tm5,tm6,tm7,tm8,tm9,tm10,tw1,tw2,tw3,tw4,tw5,tw6,tw7,tw8,tw9,tw10
ARHGEF16,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
MEGF6,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
TPRG1L,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
TP73,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
CCDC27,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
LRRC47,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
DFFB,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
C1orf174,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
NPHP4,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
CHD5,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
RPL22,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
RNF207,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
ICMT,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
HES3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
GPR153,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
ACOT7,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
HES2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
ESPN,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
PLEKHG5,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
NOL9,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
ZBTB48,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
KLHL21,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
PHF13,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
THAP3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
DNAJC11,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
CAMTA1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
VAMP3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
PER3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
TNFRSF9,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
ERRFI1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
SLC45A1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
ENO1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
CA6,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
SLC2A7,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
SLC2A5,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
GPR157,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
H6PD,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
SPSB1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
SLC25A33,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
TMEM201,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
PIK3CD,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
LZIC,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
RBP7,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
KIF1B,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
PGD,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
PEX14,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
CASZ1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
C1orf127,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
MASP2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
SRM,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
MTOR,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
FBXO2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
FBXO6,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
MTHFR,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
CLCN6,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
NPPA,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
NPPB,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
KIAA2013,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
PLOD1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
MIIP,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
TNFRSF8,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
TNFRSF1B,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
DHRS3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
AADACL4,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
C1orf158,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
FHAD1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
EFHD2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,1
