gene_name,tm1,tm2,tm3,tm4,tm5,tm6,tm7,tm8,tm9,tm10,tw1,tw2,tw3,tw4,tw5,tw6,tw7,tw8,tw9,tw10
DPM1,113.9613,208.1272,62.7215,116.5995,66.26,96.4909,103.9729,92.7573,84.4626,213.2729,86.086,139.1817,256.7227,85.5052,132.1468,93.6497,16.6135,214.1873,91.5722,94.409
CFH,13.0406,14.4074,92.5208,138.061,77.9234,52.9931,33.1148,196.4262,94.4598,2.9104,98.6264,21.3909,10.701,47.3723,23.9956,49.8771,0.1268,3.5179,85.7947,25.2874
FUCA2,49.6999,44.1815,169.326,67.3433,49.9376,50.2779,28.8386,58.606,22.2972,70.8122,24.2999,51.1154,102.8981,42.37,45.3165,52.8544,10.0106,90.1925,50.7396,41.7101
GCLC,34.867,312.5424,260.3689,12.5353,10.5766,16.4468,51.5106,18.8468,1.0182,12.867,14.3087,12.1788,25.7068,9.5684,13.038,2.4008,3.0583,14.7786,14.982,11.6186
NIPAL3,34.6726,8.8737,6.6955,59.1944,39.5409,34.5187,35.4187,19.8836,23.4159,15.6011,48.3,16.9243,19.5864,28.975,27.1373,48.2823,1.5792,16.0884,61.3813,7.4283
ENPP4,62.7467,1.5929,12.6182,24.7561,13.2868,25.7529,59.3964,45.9895,34.9792,24.8251,13.3046,35.7577,27.8769,22.0707,10.1732,28.9715,3.7537,11.1136,25.1682,39.6126
SEMA3F,120.1161,46.1135,22.2194,117.9956,44.4586,30.8488,110.0698,19.4991,15.8322,5.7126,31.917,28.6396,24.0019,17.6608,47.6155,18.6505,37.299,13.375,66.9559,37.217
CFTR,0.1565,0.062,0.519,0.162,0.1352,0.1978,0.9848,52.8177,25.2585,66.4111,1.8119,7.694,131.1123,0.1231,0.1262,3.6683,21.6071,6.4052,1.0827,56.4371
ANKIB1,45.1209,21.2121,21.7061,21.285,13.3306,28.1624,67.0956,50.5502,20.6135,18.0297,42.5636,25.9385,39.7555,26.2782,72.4895,24.2834,2.4997,12.7876,28.588,17.1366
RAD52,9.2367,7.4611,11.6319,17.7316,6.5296,8.3786,10.7666,8.9715,7.8106,7.1984,11.0156,8.5022,6.6183,7.7828,5.861,2.8036,2.1085,6.9599,8.8736,2.217
